study_accession	sample_accession	experiment_accession	run_accession	scientific_name	read_count	base_count	run_alias	fastq_ftp	sample_alias
PRJEB14847	SAMEA4347613	ERX1610413	ERR1539556	gut metagenome	27015862	5273980457	run_AWF_HIOSW_1_C0UT3ACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539556/ERR1539556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539556/ERR1539556_2.fastq.gz	sample_AWF_749906_C1-031
PRJEB14847	SAMEA4347732	ERX1610252	ERR1539557	gut metagenome	22595060	4476801727	run_AWF_PDOSW_2_C1K1EACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539557/ERR1539557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539557/ERR1539557_2.fastq.gz	sample_AWF_749906_B1 008
PRJEB14847	SAMEA4347640	ERX1610282	ERR1539560	gut metagenome	23293889	4567852541	run_AWF_PHOSW_6_C1KG9ACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539560/ERR1539560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539560/ERR1539560_2.fastq.gz	sample_AWF_749906_A1 008-2
PRJEB14847	SAMEA4347529	ERX1610304	ERR1539561	gut metagenome	44005286	4262082496	run_AWF_BAOSW_6_C0BMEACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539561/ERR1539561.fastq.gz	sample_AWF_749906_A1-191
PRJEB14847	SAMEA4347532	ERX1610345	ERR1539562	gut metagenome	26821282	5184624076	run_AWF_LIOSW_1_D14MKACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539562/ERR1539562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539562/ERR1539562_2.fastq.gz	sample_AWF_749906_B1_113
PRJEB14847	SAMEA4347625	ERX1610289	ERR1539568	gut metagenome	30105212	5897286823	run_AWF_RIOSW_3_C1JJBACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539568/ERR1539568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539568/ERR1539568_2.fastq.gz	sample_AWF_749906_A1-018
PRJEB14847	SAMEA4347618	ERX1610156	ERR1539569	gut metagenome	24353098	4741372584	run_AWF_SLOSW_2_C4VR1ACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539569/ERR1539569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539569/ERR1539569_2.fastq.gz	sample_AWF_749906_A1-026
PRJEB14847	SAMEA4347471	ERX1610312	ERR1539575	gut metagenome	22902240	4457726003	run_AWF_MEOSW_2_D14RHACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539575/ERR1539575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539575/ERR1539575_2.fastq.gz	sample_AWF_749906_A1_075
PRJEB14847	SAMEA4347711	ERX1610228	ERR1539583	gut metagenome	21597380	4265985783	run_AWF_AACOSW_1_HAYK5ADXX.IND23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539583/ERR1539583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539583/ERR1539583_2.fastq.gz	sample_AWF_749906_B1_177
PRJEB14847	SAMEA4347551	ERX1610187	ERR1539585	gut metagenome	20656209	4093119266	run_AWF_AFOSW_6_C0KU9ACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539585/ERR1539585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539585/ERR1539585_2.fastq.gz	sample_AWF_749906_A1-051
PRJEB14847	SAMEA4347728	ERX1610287	ERR1539588	gut metagenome	22574121	4400999641	run_AWF_LSOSW_1_D14RHACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539588/ERR1539588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539588/ERR1539588_2.fastq.gz	sample_AWF_749906_B1_023
PRJEB14847	SAMEA4347515	ERX1610258	ERR1539590	gut metagenome	27749622	5495164647	run_AWF_KROSW_4_C0UW8ACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539590/ERR1539590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539590/ERR1539590_2.fastq.gz	sample_AWF_749906_B1-044
PRJEB14847	SAMEA4347744	ERX1610431	ERR1539592	gut metagenome	23769626	4673686963	run_AWF_QHOSW_2_C1JJBACXX.IND23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539592/ERR1539592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539592/ERR1539592_2.fastq.gz	sample_AWF_749906_B1 116
PRJEB14847	SAMEA4347740	ERX1610394	ERR1539597	gut metagenome	10302605	2032390285	run_AWF_AAFOSW_2_HAYK8ADXX.IND26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539597/ERR1539597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539597/ERR1539597_2.fastq.gz	sample_AWF_749906_A1_187
PRJEB14847	SAMEA4347549	ERX1610177	ERR1539599	gut metagenome	25635616	5032229779	run_AWF_FDOSW_2_D11TTACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539599/ERR1539599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539599/ERR1539599_2.fastq.gz	sample_AWF_749906_B1-102
PRJEB14847	SAMEA4347576	ERX1610176	ERR1539604	gut metagenome	23668903	4637715993	run_AWF_HLOSW_4_D11TTACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539604/ERR1539604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539604/ERR1539604_2.fastq.gz	sample_AWF_749906_A1-045
PRJEB14847	SAMEA4347520	ERX1610135	ERR1539611	gut metagenome	30756016	6008577813	run_AWF_TSOSW_4_C4UJUACXX.IND31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539611/ERR1539611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539611/ERR1539611_2.fastq.gz	sample_AWF_749906_B1-049
PRJEB14847	SAMEA4347589	ERX1610403	ERR1539613	gut metagenome	25814564	4974541265	run_AWF_SSOSW_1_C4VR1ACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539613/ERR1539613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539613/ERR1539613_2.fastq.gz	sample_AWF_749906_A1-039
PRJEB14847	SAMEA4347607	ERX1610226	ERR1539614	gut metagenome	27561743	5345767347	run_AWF_IKOSW_2_C0UT3ACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539614/ERR1539614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539614/ERR1539614_2.fastq.gz	sample_AWF_749906_C1-037
PRJEB14847	SAMEA4347737	ERX1610331	ERR1539620	gut metagenome	44683983	8777570651	run_AWF_NCOSW_6_C16GEACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539620/ERR1539620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539620/ERR1539620_2.fastq.gz	sample_AWF_749906_C1_015
PRJEB14847	SAMEA4347555	ERX1610318	ERR1539624	gut metagenome	18628876	3695873072	run_AWF_BCOSW_2_HAYJ5ADXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539624/ERR1539624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539624/ERR1539624_2.fastq.gz	sample_AWF_749906_C1-001
PRJEB14847	SAMEA4347456	ERX1610418	ERR1539625	gut metagenome	28782255	5659117369	run_AWF_IHOSW_2_D11VRACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539625/ERR1539625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539625/ERR1539625_2.fastq.gz	sample_AWF_749906_B1-155
PRJEB14847	SAMEA4347693	ERX1610327	ERR1539626	gut metagenome	25400175	4902875085	run_AWF_NEOSW_4_D14FJACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539626/ERR1539626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539626/ERR1539626_2.fastq.gz	sample_AWF_749906_A1_035
PRJEB14847	SAMEA4347504	ERX1610309	ERR1539630	gut metagenome	24855653	4875361652	run_AWF_FCOSW_2_D11TTACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539630/ERR1539630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539630/ERR1539630_2.fastq.gz	sample_AWF_749906_B1-052
PRJEB14847	SAMEA4347459	ERX1610105	ERR1539631	gut metagenome	20564896	4017506066	run_AWF_TNOSW_4_C4VR1ACXX.IND27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539631/ERR1539631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539631/ERR1539631_2.fastq.gz	sample_AWF_749906_B1-038
PRJEB14847	SAMEA4347645	ERX1610264	ERR1539634	gut metagenome	27167683	5381109602	run_AWF_ABFOSW_1_HAYJVADXX.IND39	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539634/ERR1539634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539634/ERR1539634_2.fastq.gz	sample_AWF_749906_A1_137
PRJEB14847	SAMEA4347558	ERX1610307	ERR1539635	gut metagenome	26993885	5294196888	run_AWF_IGOSW_2_D11VRACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539635/ERR1539635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539635/ERR1539635_2.fastq.gz	sample_AWF_749906_B1-105
PRJEB14847	SAMEA4347523	ERX1610424	ERR1539640	gut metagenome	50624665	9961003517	run_AWF_RROSW_7_C2420ACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539640/ERR1539640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539640/ERR1539640_2.fastq.gz	sample_AWF_749906_B1-168
PRJEB14847	SAMEA4347561	ERX1610369	ERR1539642	gut metagenome	26055309	5087520475	run_AWF_QAOSW_6_C1KG9ACXX.IND23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539642/ERR1539642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539642/ERR1539642_2.fastq.gz	sample_AWF_749906_B1-109
PRJEB14847	SAMEA4347505	ERX1610131	ERR1539643	gut metagenome	26912915	5309729928	run_AWF_NSOSW_1_C1K1EACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539643/ERR1539643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539643/ERR1539643_2.fastq.gz	sample_AWF_749906_A1 108
PRJEB14847	SAMEA4347657	ERX1610398	ERR1539644	gut metagenome	24029506	4650386884	run_AWF_LCOSW_1_D14MKACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539644/ERR1539644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539644/ERR1539644_2.fastq.gz	sample_AWF_749906_A1_013
PRJEB14847	SAMEA4347545	ERX1610185	ERR1539646	gut metagenome	28729173	5624021017	run_AWF_RTOSW_8_C1JDKACXX.IND18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539646/ERR1539646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539646/ERR1539646_2.fastq.gz	sample_AWF_749906_A1-067
PRJEB14847	SAMEA4347735	ERX1610356	ERR1539652	gut metagenome	36855861	3569934511	run_AWF_BMOSW_3_C0BCMACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539652/ERR1539652.fastq.gz	sample_AWF_749906_B1-081
PRJEB14847	SAMEA4347614	ERX1610134	ERR1539653	gut metagenome	16655647	3277721900	run_AWF_VROSW_1_HAYJ5ADXX.IND17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539653/ERR1539653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539653/ERR1539653_2.fastq.gz	sample_AWF_749906_B1_089
PRJEB14847	SAMEA4347745	ERX1610132	ERR1539655	gut metagenome	25603127	4960618540	run_AWF_MSOSW_5_D14FJACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539655/ERR1539655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539655/ERR1539655_2.fastq.gz	sample_AWF_749906_A1_184
PRJEB14847	SAMEA4347700	ERX1610367	ERR1539658	gut metagenome	28225915	5468415749	run_AWF_MNOSW_3_D14FJACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539658/ERR1539658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539658/ERR1539658_2.fastq.gz	sample_AWF_749906_C1_039
PRJEB14847	SAMEA4347729	ERX1610376	ERR1539664	gut metagenome	24502997	4818874357	run_AWF_QPOSW_8_C1JDKACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539664/ERR1539664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539664/ERR1539664_2.fastq.gz	sample_AWF_749906_B1 006
PRJEB14847	SAMEA4347698	ERX1610159	ERR1539667	gut metagenome	21362291	4228094471	run_AWF_IROSW_3_C0UW8ACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539667/ERR1539667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539667/ERR1539667_2.fastq.gz	sample_AWF_749906_B1-065
PRJEB14847	SAMEA4347540	ERX1610444	ERR1539668	gut metagenome	28917157	5642833470	run_AWF_FIOSW_2_D11TTACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539668/ERR1539668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539668/ERR1539668_2.fastq.gz	sample_AWF_749906_A1-062
PRJEB14847	SAMEA4347509	ERX1610164	ERR1539670	gut metagenome	18784554	3684283723	run_AWF_QDOSW_2_C1JJBACXX.IND20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539670/ERR1539670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539670/ERR1539670_2.fastq.gz	sample_AWF_749906_A1 116
PRJEB14847	SAMEA4347662	ERX1610434	ERR1539675	gut metagenome	26626831	5283810521	run_AWF_KDOSW_3_C0UW8ACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539675/ERR1539675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539675/ERR1539675_2.fastq.gz	sample_AWF_749906_A1-124
PRJEB14847	SAMEA4347701	ERX1610430	ERR1539676	gut metagenome	24772067	4850683950	run_AWF_FNOSW_3_D11TTACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539676/ERR1539676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539676/ERR1539676_2.fastq.gz	sample_AWF_749906_B1-062
PRJEB14847	SAMEA4347716	ERX1610350	ERR1539679	gut metagenome	20305335	4027611803	run_AWF_BNOSW_2_C0KU9ACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539679/ERR1539679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539679/ERR1539679_2.fastq.gz	sample_AWF_749906_B1-091
PRJEB14847	SAMEA104057384	ERX2033895	ERR1971009	gut metagenome	28602875	5733988380	run_BYQ_AAAGOSDA_2_C9GL9ACXX.12BA265	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/009/ERR1971009/ERR1971009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/009/ERR1971009/ERR1971009_2.fastq.gz	sample_BYQ_2_7_Ripley_Q
PRJEB14847	SAMEA104057386	ERX2033897	ERR1971011	gut metagenome	22520600	4515611815	run_BYQ_AAAIOSDA_1_C9GL9ACXX.12BA194	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/001/ERR1971011/ERR1971011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/001/ERR1971011/ERR1971011_2.fastq.gz	sample_BYQ_2_9_B_Q
PRJEB14847	SAMEA104057390	ERX2033901	ERR1971015	gut metagenome	26483834	5291701628	run_BYQ_AAAMOSDA_3_C9GL9ACXX.12BA192	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/005/ERR1971015/ERR1971015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/005/ERR1971015/ERR1971015_2.fastq.gz	sample_BYQ_2_13_DIR_1
PRJEB14847	SAMEA104057391	ERX2033902	ERR1971016	gut metagenome	30665061	6152078019	run_BYQ_AAANOSDA_3_C9GL9ACXX.12BA254	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/006/ERR1971016/ERR1971016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/006/ERR1971016/ERR1971016_2.fastq.gz	sample_BYQ_2_14_Muffet_1
PRJEB14847	SAMEA104057397	ERX2033908	ERR1971022	gut metagenome	16336631	3278785063	run_BYQ_AAATOSDA_3_C9GL9ACXX.12BA231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/002/ERR1971022/ERR1971022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/002/ERR1971022/ERR1971022_2.fastq.gz	sample_BYQ_2_20_Spike-in_1
PRJEB14847	SAMEA104057401	ERX2033912	ERR1971026	gut metagenome	40352842	8092317227	run_BYQ_AAAXOSDA_2_C9GL9ACXX.12BA279	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/006/ERR1971026/ERR1971026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/006/ERR1971026/ERR1971026_2.fastq.gz	sample_BYQ_2_24_Thistle_7
PRJEB14847	SAMEA104057403	ERX2033914	ERR1971028	gut metagenome	38413568	7714764339	run_BYQ_AAAZOSDA_1_C9GL9ACXX.12BA208	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/008/ERR1971028/ERR1971028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/008/ERR1971028/ERR1971028_2.fastq.gz	sample_BYQ_2_26_Huckleg_7
PRJEB14847	SAMEA104057404	ERX2033915	ERR1971029	gut metagenome	46454378	9325487447	run_BYQ_AABAOSDA_4_C9GL9ACXX.12BA220	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/009/ERR1971029/ERR1971029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/009/ERR1971029/ERR1971029_2.fastq.gz	sample_BYQ_2_27_Ripley_7
PRJEB14847	SAMEA104057406	ERX2033917	ERR1971031	gut metagenome	41980253	8430807368	run_BYQ_AABCOSDA_3_C9GL9ACXX.12BA244	ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/001/ERR1971031/ERR1971031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR197/001/ERR1971031/ERR1971031_2.fastq.gz	sample_BYQ_2_29_Spike-in_7
PRJEB14847	SAMEA4347661	ERX1610121	ERR1539341	gut metagenome	21898959	4305881879	run_AWF_AAIOSW_1_HAYK5ADXX.IND29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539341/ERR1539341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539341/ERR1539341_2.fastq.gz	sample_AWF_749906_B1_187
PRJEB14847	SAMEA4347707	ERX1610144	ERR1539342	gut metagenome	12105829	2393939884	run_AWF_AASOSW_2_HAYK8ADXX.IND31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539342/ERR1539342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539342/ERR1539342_2.fastq.gz	sample_AWF_749906_A1_047
PRJEB14847	SAMEA4347669	ERX1610409	ERR1539345	gut metagenome	25863799	5063557009	run_AWF_RVOSW_8_C1JDKACXX.IND19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539345/ERR1539345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539345/ERR1539345_2.fastq.gz	sample_AWF_749906_A1-117
PRJEB14847	SAMEA4347517	ERX1610199	ERR1539355	gut metagenome	23920171	4659300558	run_AWF_GCOSW_3_C0UT3ACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539355/ERR1539355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539355/ERR1539355_2.fastq.gz	sample_AWF_749906_B1-042
PRJEB14847	SAMEA4347714	ERX1610387	ERR1539358	gut metagenome	25948395	5022195922	run_AWF_LFOSW_1_D14MKACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539358/ERR1539358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539358/ERR1539358_2.fastq.gz	sample_AWF_749906_A1_163
PRJEB14847	SAMEA4347474	ERX1610203	ERR1539359	gut metagenome	25024762	4884072641	run_AWF_HFOSW_4_D11TTACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539359/ERR1539359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539359/ERR1539359_2.fastq.gz	sample_AWF_749906_B1-143
PRJEB14847	SAMEA4347567	ERX1610184	ERR1539364	gut metagenome	18570649	3673154348	run_AWF_BSOSW_3_C0KU9ACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539364/ERR1539364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539364/ERR1539364_2.fastq.gz	sample_AWF_749906_B1-131
PRJEB14847	SAMEA4347685	ERX1610143	ERR1539365	gut metagenome	43212228	8466741542	run_AWF_CDOSW_4_C0KU9ACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539365/ERR1539365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539365/ERR1539365_2.fastq.gz	sample_AWF_749906_B1-191
PRJEB14847	SAMEA4347718	ERX1610268	ERR1539368	gut metagenome	28970865	5653130377	run_AWF_GDOSW_3_C0UT3ACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539368/ERR1539368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539368/ERR1539368_2.fastq.gz	sample_AWF_749906_B1-092
PRJEB14847	SAMEA4347695	ERX1610407	ERR1539370	gut metagenome	33397174	6559217672	run_AWF_QROSW_8_C1JDKACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539370/ERR1539370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539370/ERR1539370_2.fastq.gz	sample_AWF_749906_B1 106
PRJEB14847	SAMEA4347636	ERX1610404	ERR1539373	gut metagenome	39950073	3866376267	run_AWF_APOSW_5_C0BMEACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539373/ERR1539373.fastq.gz	sample_AWF_749906_A1-131
PRJEB14847	SAMEA4347487	ERX1610196	ERR1539374	gut metagenome	24400813	4826627304	run_AWF_MQOSW_1_HAYK8ADXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539374/ERR1539374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539374/ERR1539374_2.fastq.gz	sample_AWF_749906_A1_084
PRJEB14847	SAMEA4347611	ERX1610352	ERR1539379	gut metagenome	26805277	5217526468	run_AWF_KLOSW_2_C0UT3ACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539379/ERR1539379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539379/ERR1539379_2.fastq.gz	sample_AWF_749906_C1-034
PRJEB14847	SAMEA4347579	ERX1610192	ERR1539381	gut metagenome	25519804	5011981334	run_AWF_RNOSW_3_C1JJBACXX.IND14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539381/ERR1539381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539381/ERR1539381_2.fastq.gz	sample_AWF_749906_B1-018
PRJEB14847	SAMEA4347581	ERX1610351	ERR1539382	gut metagenome	28132202	5538422196	run_AWF_FTOSW_3_D11TTACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539382/ERR1539382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539382/ERR1539382_2.fastq.gz	sample_AWF_749906_A1-042
PRJEB14847	SAMEA4347675	ERX1610162	ERR1539386	gut metagenome	17294394	3405658232	run_AWF_ABCOSW_1_HAYJVADXX.IND36	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539386/ERR1539386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539386/ERR1539386_2.fastq.gz	sample_AWF_749906_B1_076
PRJEB14847	SAMEA4347606	ERX1610406	ERR1539387	gut metagenome	26149825	5092543257	run_AWF_KAOSW_2_C0UT3ACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539387/ERR1539387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539387/ERR1539387_2.fastq.gz	sample_AWF_749906_C1-038
PRJEB14847	SAMEA4347582	ERX1610129	ERR1539390	gut metagenome	23846679	4672657377	run_AWF_AEOSW_1_D11KBACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539390/ERR1539390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539390/ERR1539390_2.fastq.gz	sample_AWF_749906_A1-041
