Abundance,1000IBD00135,1000IBD00599,1000IBD00046,1000IBD00556,1000IBD00269,1000IBD00563,1000IBD00689,1000IBD00613,1000IBD00680,1000IBD00060,1000IBD00407,1000IBD00610,1000IBD00132,1000IBD00670,1000IBD00565,1000IBD00682,1000IBD00017,1000IBD00256,1000IBD00577,1000IBD00387,1000IBD00053,1000IBD00645,1000IBD00121
t__SGB6148,0.25437,0,0.07282,0.36427,0.12991,0.28289,0.65106,0.3716,0,0,0.70786,0.6459,0.02583,0.11386,0.02321,0.51393,0.06407,0,0.00418,0,0.13971,0.02792,0.10459
t__SGB5089,0.24752,0.34691,0.16497,0,0,0.03962,0,0,0.87285,0.14381,0.02034,0,0,0,0.01495,0,0,0.66638,0.00304,0.01176,0.74242,0,0.15414
t__SGB4936,0.23638,0.27429,0,0,0,0.09323,0.01597,0,0,0,0.07648,0,0.25971,0,0.14309,0.04599,0,1.67883,0.27534,0.45805,0,0,0.46934
t__SGB4925,0.23318,3.987,2.73703,1.64193,0.05409,3.01511,0,8.8153,8.07598,0,0.12678,14.11102,0,0,3.93756,0.80506,7.58495,0,1.22192,5.76009,1.74044,1.61876,0.8496
t__SGB4832,0.22587,0,0,0,0.27549,0.26604,0.54162,1.12593,0,0.13642,0,0,0,0,0,0,0,0.03668,0.17091,0,0,0,0.42856
t__SGB14809,0.22089,0.47575,0,0.09999,0.41054,0.72412,0,0,0,0.44229,0,0,0,0.48337,1.17177,0,1.87093,0,0.00693,0,1.48932,0,0
t__SGB4659,0.21449,0.38738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89696,0.17302,0.38153,0,0,0
t__SGB4951,0.21052,0.21318,0.33751,0,0.04184,0.37694,0,0,0,1.08623,0.0083,0,0,0,0,0,0.09206,0.02783,0.28078,0,0,0,0.02493
t__SGB5190,0.20401,0.68071,0,0,0,0,0,0,0.0494,0,0,0,0.03127,0,0.11138,0.12757,0,1.03182,0,0.09344,0,0,0.06386
t__SGB4721,0.2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02718,0,0,0.24756,0,0,0,0,0
t__SGB9283,0.19842,0,0,0,0,0,0.00992,0.23622,0.01753,0,0,0.09477,0,0,0,0,0.06783,0,0,0,0.29149,0.65238,0
t__SGB4959,0.18854,0,0.10266,0,0.12225,0,0,0.38256,0.1214,0,0,1.41266,0.18345,0,0.85605,0.25342,0.23338,0,0.12027,0.13023,0,0.28353,0.37648
t__SGB2328,0.18742,0,0.60498,0,0,0,1.15452,0,0.02105,0,0.39771,0,0,0,0.02033,0,0,0,0.07664,0.09493,0,0,0.06535
t__SGB15373,0.1855,0,0,0,0.99846,0,0.05847,0.03772,0,0,0,0,0,0,0,0.03248,0,0,0.29537,0,0,0,0.01158
t__SGB4816,0.18343,0,0.02898,0,0.40905,0.04998,0,0.03711,0,0.23081,0,0,0.70266,5.71911,0,0.33087,0,0,0,0,0,0,0.02161
t__SGB4815,0.17551,0,0,0,0,0.19796,0.90754,0.10406,0.19801,0,0.00908,0.05086,0.51066,0,0.27278,0.2232,0,0,0.02019,0.23058,0,0,0.05927
t__SGB4042,0.16066,0,0,0.00467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74064,0,0
t__SGB4780,0.15991,0.49216,0.2408,0.02275,0.18898,0.42055,0,0.31799,0.03959,0,0.01792,0,0.17566,0,0.08291,0.13366,0,0.03273,0,0.05536,0,0,0.31786
t__SGB5087,0.1549,0.61721,0,0,0.14696,0.00487,0,0.03203,0,0,0,0,0,0,0,0,0,0.11112,0,0,0,0,0.03002
t__SGB3958,0.15046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00482,0,0.00496,0,0,0,0,0
t__SGB4571,0.14906,0,0,0,0,0.17317,0.47921,0.1067,0,0,0.02172,0.63578,0.13203,0,1.07151,0.12684,0,0.76497,0.39143,0.58064,0,0,0.08243
t__SGB15271,0.14255,0,0.20404,0,0.28421,0.0241,0.35229,0,0.0043,0.05456,0.22073,0,0.03584,0.058,0.21394,0,0.06764,0,0.01624,0.00296,0.1716,0,0.00701
t__SGB15451,0.13019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6140,0.12997,0,0.0929,0.02125,0.15043,0.23476,0.13016,0.08142,0,0.43397,0,0.06195,0,0.24659,0.03663,0,0.15452,0.02873,0.09855,0.01239,0.05465,0,0.01644
t__SGB4121,0.12389,0.02538,0.27803,0.01918,0.3421,0.06723,0.37238,0.01302,0.11157,0,0,0,0.03315,0,0,0,0,0.10472,0.06149,0.022,0.14904,0.07669,0
t__SGB5045,0.11817,0,0,0,0,0,0.13701,0,0,0,0,0,0.68701,0,0,0.07902,0.59068,0.12401,0.23026,0.03916,1.44812,0.67278,0.33173
t__SGB15316,0.11729,4.42972,0.02269,0.12513,0.35913,1.25387,0.08514,0.96737,0,17.51646,0,1.70792,0.1928,3.99261,0,0.03335,0.84176,0.05854,0.23362,0.1354,2.24025,0.37068,0.22671
t__SGB2311,0.11697,0,0,0,0,0,0,0,0,0,0.00725,0,0,0,0.19218,0,0,0,0.00054,0.16043,0,0,0
t__SGB4699,0.11632,0.19892,0,0,0,0,0,0,0,0.14433,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB47635,0.11037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05918,0,0,0,0,0
t__SGB4572,0.10689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4749,0.09659,0.31823,0.088,0,0,0.03796,0,0.00292,0.01206,0,0,0.02049,0.02137,0,1.73718,0,0,0.31712,0.01319,0.13832,0.01727,1.59822,0.0145
t__SGB4914,0.08944,0.25424,0.64487,0,0,0.00062,0.66705,0.42781,0.19709,0.03027,0,0.14924,0.53009,0,0,0,0,1.12254,0.01611,0,0.22862,0,0.05705
t__SGB14854,0.08366,0.01024,0.09533,0,0.05653,0,0.19923,0,0.03702,0,0,0,0.02044,0.00164,0.13823,0.0678,0,0.01852,0.01086,0.08771,0.1398,0,0.04673
t__SGB14853,0.08111,0.01372,0.0225,0,0.63251,0.02052,0.0724,0,0,0,0.02286,0,0.006,0,0.34888,0,0,0,0.04628,0,2.06298,0,0.04092
t__SGB1790,0.07928,0,0.26253,0.04802,0,0.05901,0.1162,0.09278,0.13925,0,0.33507,0.03587,0.17701,0,0.00168,0.07819,0.0075,0.01639,0.20357,0.0741,0.2127,0,0.10318
t__SGB14808,0.07747,0,0,0,0,0,0,0,0,0,0,0,0.00238,0,0.11519,0,0.15347,0,0,0,0,0,0
t__SGB3969,0.07675,0,0.04356,0,0,0.04888,0.07308,0.01619,0,0,0.00736,0,0,0.00405,0.02095,0,0,0,0,0,0.12071,0,0.00547
t__SGB4652,0.07513,0,0,0,0.01058,0.00525,0.03799,0.0249,0,0,0,0,1.09688,0,0.06731,0,0,0,0,1.28181,0,0,0
t__SGB1785,0.06842,0,0.02701,0,0,0,0,0,0,0,0,0,0.09468,0,0,0,0,0.0212,0,0,0,0,0
t__SGB4041,0.06705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14663,0,0,0,0,0,0.64391,0,0
t__SGB4716,0.0664,0.51813,0,0.36951,0,0,0,0.04811,0.04568,0.81017,0,0.39855,0.04352,0,0.00587,0.00218,0.11257,0.48565,0.0006,0.01616,0.16467,0.12658,0.03975
t__SGB4269,0.06633,0.74558,0.14018,0.20459,0,1.08857,0,0.17998,0.80144,1.53743,0.05132,0.33335,0.49828,0,0.25416,0.15964,0,0.97776,0.30984,0.94083,0.28297,0.01328,0.39474
t__SGB15124,0.06159,0,0.05915,0,0.01213,0,0.02781,0,0,0.05773,0,0,0.03707,0,0.00672,0,0,0,0.00056,0.04264,0.17661,0,0
t__SGB4768,0.05871,0,0,0,0,0.007,0,0,0,0,0,0.0467,0.08652,0,0,0.06291,0,0,0,0,0,0,0
t__SGB71759,0.05853,0,0,0,0,0.13548,0.32216,0.10114,0,0,0,0,0.02831,0,0,0.03793,0,0,0,0.05635,0,0,0.02453
t__SGB4035,0.05805,0,0,0.12796,0,0,0,0,0,0,0,0,0,0,0.00926,0,0.02407,0,0,0,0,0,0
t__SGB4447,0.05236,0,0,0,0,0.15541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15346,0.05218,0,0.847,0,0.15066,1.28715,0.14435,0.81684,2.16161,1.95208,0,1.6153,1.50942,0,0.29582,0.2845,0,1.36811,0.92124,0.66378,0,0,1.56814
t__SGB6847,0.04925,0,0,0.21849,0,0.1046,1.86089,0,0,0,0.0467,0.02601,0,0,0,0,0.03903,0,0.01018,0,0,0.11643,0
t__SGB14941,0.04921,0.03983,0.03739,0,0,0.0409,0.06544,0,0,0,0.00784,0,0,0,0,0,0,0,0,0.00486,0,0,0
t__SGB15154,0.04864,0.14791,0.11154,0.00668,0.05917,0.60383,0.02713,0.00099,0.11207,0,0.08998,0,0.24793,0.51091,0,0.13106,0,0.08607,0.02377,0.41203,0.47948,0,0.10817
t__SGB15291,0.04673,0,0,0,0,0,0.05546,0.7328,0.55323,0,0.02521,0,0.36878,0,0,0.18112,0,0,0,0,0,0,0
t__SGB6139,0.04163,0,0,0.31079,0,0.02793,1.01462,0.12801,0,0,0.05253,1.41593,0,0,0,0,0,0,0.04478,0.00559,0,0,0
t__SGB14798,0.03994,0.04586,0,0.04946,0,1.67279,0,0,0,0,0,0,0,0,0,0,0,0.04134,0,0,0,0,0
t__SGB4993,0.03958,3.555,0,0,0,0.01466,0,0.12957,0.25771,0,0.03594,0.48905,0.31978,0,0,0.06538,0,0.25482,0.60417,0,0,0,0.09812
t__SGB4037,0.03796,0.01818,0,0,0.0515,0.00147,0,0,0,0.40241,0.28197,0,0,0.21039,0,0,0.17304,0,0,0,0.00788,0,0
t__SGB66626,0.03692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB25493,0.03563,0,0,0,0,0.05071,0.08892,0.02967,0,0,0,0,0.05721,0,0.03026,0.01966,0,0.00445,0.01667,0.03116,0,0,0.00735
t__SGB5184,0.03556,0,0.07983,0,0,0,0,0,0,0,0,0,0,0,0.12472,0,0,0.11352,0,0,0,0,0
t__SGB4744,0.03481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825,0,0,0,0,0,0,0,0
t__SGB4553_group,0.03308,0,0,0,0,0,0,0.05358,0,0,0,0,0,0,0,0,0,0,0.00576,0.02493,0,0,0.07771
t__SGB7129,0.03308,0,0,0,0,0,0,0,0.00819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB8000,0.0329,0,0,0,0.00903,0,0,0,0.00606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB9347,0.03168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05188,0,0,0,0,0
t__SGB10068,0.03062,0,0,0,0,0,0.18307,0.00995,0.66612,0.03227,0.58821,0,0,0,0.00249,0,0,0,0,0,0,0,0
t__SGB8059_group,0.02976,0,0,0,0,0,0,0.01262,0,0,0,0,0,0,0,0,0.00478,0,0,0,0,0,0
t__SGB3574,0.02959,0.03052,0.06487,0,0.42967,0.05948,0,0.01293,0.01185,0,0,0,0.06345,0.09221,0.01307,0,0,0,0.03482,0.01665,0.30254,0,0.07556
t__SGB15317,0.02824,0,0.70152,0.20959,0.17292,0.31315,0,0.49158,0.55314,0,0,0.18981,1.18227,0,0,0.33107,0,0,0,0.15101,0,0,0.08407
t__SGB4831,0.02481,0.06364,0,0,0,0.10716,0.14705,0.04645,0.36806,0,0.20301,0.12521,0.01056,1.4067,0,0.35951,0,0.00418,0.34569,0.09249,0,0,0.06881
t__SGB15149,0.02458,0,0,0,0,0,0,0,0,0.06777,0,0,0,1.2123,0.3747,0,0,0.10614,0,0.29564,0,0,0
t__SGB4584,0.02394,0.03693,0,0.13237,0,0,0,0,0,0.06977,0,1.15729,0,0,0.38781,0,2.84034,0.27133,0,0,2.79136,0.03723,0
t__SGB4703,0.02377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14999,0.02284,0,0,0,0,0,0,0.00743,0,0,0,0.08335,0.00432,0.08264,0.02958,0,0,0.00142,0,0.028,0,0,0.02429
t__SGB14868,0.02159,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04003,0,0,0,0,0,0
t__SGB48424,0.02072,0,0.04255,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0,0,0,0
t__SGB6744,0.02027,0,0,0,0,0,0,0,0,0.11791,0,0.2459,0,0,0,0,0.46938,0,0,0,0.01197,0,0
t__SGB7248,0.02004,0,0,0.14451,0,0,0,0,0,0,0,0,0.04042,0,0,0,0,0,0,0.09298,0,0,0
t__SGB4742,0.01991,0.03104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0,0,0
t__SGB63101,0.01962,0.02299,0.02235,0,0.13272,0.08134,0.07959,0,0.01241,0,0.00668,0,0.00217,0,0,0,0,0,0.02054,0,0,0,0.0453
t__SGB4767,0.01923,0.18978,0,0,0,0.03499,0,0.22843,0.06544,0,0,0,0,0,0,0,0,0.18015,0.04023,0.04655,0,0,0.05957
t__SGB15132,0.01911,0.73054,0.16309,0.03875,0.02666,0.25674,0.00584,0,0.0022,0.11373,0,0.28278,0.00503,0.15894,0.46511,0,0.17154,0.06386,0.00805,0,0.64724,0,0
t__SGB25431,0.01908,0.01907,0.01632,0,0.01688,0.01751,0.04641,0,0,0,0,0,0.01898,0,0.12364,0,0,0.00323,0.00321,0,0,0,0.00933
t__SGB6173,0.01869,0,0.00149,1.30815,0,0.01523,0.47846,0.21172,0,0,0.10659,0,0,0,0,0,0,0,0,0,0,0,0.1159
t__SGB15350,0.01804,0.01705,0.0584,0.04051,0,0.0342,0,0,0.01998,0,0.01674,0,0.05093,0.09869,0.00929,0,0,0,0.02312,0,0.06304,0,0.05417
t__SGB14888,0.01798,0,0,0,0,0.00475,0,0,0,0,0,0,0,0,0.00869,0,0,0,0,0,0.01451,0,0
t__SGB14891,0.01758,0,0.05681,0.02824,0.15423,0,0,0,0,0,0.0478,0,0.01449,0.06166,0.00607,0,0,0,0,0.0309,0.1244,0,0.05667
t__SGB4804,0.01607,0,0,0.06319,0.23697,0.03804,0.33744,0,0.15851,0.02343,1.22761,0,0.02029,0,0,0.04302,0,0.03883,0.08735,0.03097,0,0,0.18886
t__SGB4772,0.01571,0,0,0,0,0,0,0.23691,0,0,0,0,0.0815,0,0,0.02619,0,0,0,0,0,0,0
t__SGB6769,0.0134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4608,0.01319,0,0,0,0,0.92328,0,0,0,0,0.66304,0,0,0.07526,2.65591,0,0.32408,0.51023,0.01111,0,0.5336,0,0
t__SGB4606,0.01253,0,0,0,0,0.01111,0,0,0,0,0,0,0,0,0.1973,0,0.19447,0.04266,0,0,0.10719,0.02516,0
t__SGB15143,0.01201,0,0.05984,0,0.04151,0.00524,0,0,0.01542,0,0,0,0.00547,0.00328,0.01196,0,0,0,0,0.00697,0,0,0
t__SGB4786,0.01167,0,0.06714,0,0,0.00253,0,0,0,0.32284,0,0,0,0,0,0,0.19583,0,0,0,0.40135,0,0
t__SGB4910,0.01161,0.6647,0,0,0.01539,0,0.01631,0,0,0,0,0,0.33128,0,0,0.17065,0,1.18248,0,1.88083,0,0,0.63659
t__SGB17168,0.01122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4026,0.01064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4797,0.00954,0,0,0,0,0.05064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB25437,0.00872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14807,0.00798,0.1135,0.20444,0,0.18505,0,0,0,0,0,0.00856,0,0.00484,0,0,0,0,0,0.05203,0,0.33375,0,0
t__SGB7253,0.00754,0,0,0,0,0.00107,0,0,0,0,0,0,0,0.2051,0.04119,0,0,0,0,0,0,0,0
t__SGB4036,0.00738,0,0.02883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6767,0.00734,0,0.00871,0,0.05899,0,0,0,0,0,0,0,0,0.59852,0,0,0.0113,0,0.00227,0,0.03288,0,0
t__SGB8056,0.00705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4750,0.00624,0,0,0,0,0.02174,0,0,0,0,0,0.25459,0.02747,0,0.01178,0.01135,0,0.01243,0,0.0919,0,0.02755,0.00522
t__SGB4778,0.00618,0,0,0,0,0,0.01399,0.04052,0,0,0,0,0.05058,0,0,0.03525,0,0,0,0.0951,0,0,0.09164
t__SGB4630,0.00564,0,0.00141,0,0,0,0,0,0,0.3044,0,0,0,0.06911,0.31998,0,0.13915,0,0,0.0609,0.13207,0,0
t__SGB4573,0.00516,0,0,0,0,0,0,0,0,0,0,0,0,0.00753,0.36698,0,0,0,0,0,0.53864,0,0
t__SGB63353,0.00459,0.00269,0.00117,0,0,0.01356,0,0,0,0,0,0,0,0,0.05551,0,0,0,0,0,0,0,0
t__SGB4940,0.00445,1.45853,0.22159,0.04041,0,0.3668,0,0.25899,0.90907,0,0,0.49703,0.62474,0,0.09329,0.26494,0,0.3836,0.22606,0.05269,0,0,0.77653
t__SGB7264,0.0044,0,0,0,0.00101,0.00202,0,0,0,0,0,0,0,0.00707,0,0,0,0,0,0,0,0,0
t__SGB4987,0.00423,0,0,0,0.32302,0,0,0,0,0,0,0,0,0.45201,0,0,0,0,0,0.00319,0,0,0
t__SGB8047_group,0.00414,0.52092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02143,0,0,0
t__SGB4762,0.00379,0.01818,0,0,0,0,0,0,0,0.04888,0,0,0,0,0,0,0.01085,0,0,0,0.08064,0,0
t__SGB8067,0.00369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB71394,0.00366,0.02068,0,0,0,0,0,0.00075,0,0,0,0,0,0,0.0012,0,0,0,0,0,0.00026,0,0.00461
t__SGB4882,0.00349,0,0,0,0,0,0,0,0,0.04514,0,0,0,0,0,0,0,0,0.00122,0,0,0,0.02695
t__SGB59869,0.00345,0,0.01901,0,0.0388,0.00395,0,0,0.00572,0,0.00893,0,0,0.04697,0,0,0,0,0.01119,0,0.0097,0,0
t__SGB4031,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14995,0.00172,0.0029,0,0,0,0,0,0,0,0,0,0,0,0.01929,0.01176,0,0.02317,0,0,0,0,0,0
t__SGB63369,0.00166,0,0,0,0.05825,0,0,0.06572,0.01352,0,0,0,0.01983,0,0,0.00295,0,0,0,0,0.02421,0,0.00049
t__SGB4813,0.00165,0,0,0.00873,0,0,0,0.63932,0.00977,0,0,0,0,0,0,0,0,0,0.11265,0,0,0,0.26854
t__SGB4613,0.00139,0,0.01756,0,0.01036,0,0,0,0,0.07268,0,0,0,0,0,0,0.01173,0,0,0,0,0,0
t__SGB14963,0.00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,0,0,0,0.00418,0,0
t__SGB4712,0.00041,0,0,0,0,0,0,0,0,0,0,0,0.03146,0,0,0,0,0,0,0,0,0.22215,0
t__SGB4761,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311,0,0,0,0,0,0
p__Verrucomicrobia,,1.07268,0,0,0,0,2.72941,0,0,0,10.63184,0,0,0,0.97717,0,0,1.83607,0.56208,0,1.335,0,0.8006
c__CFGB4806,,3.06896,0,2.21395,0,0,0,0,0,0,0.39612,0,0,0.43518,8.71285,0.1236,0,2.4504,0,0.18634,0,0,4.83131
c__Verrucomicrobiae,,1.07268,0,0,0,0,2.72941,0,0,0,10.46794,0,0,0,0.97717,0,0,1.83607,0.56208,0,1.335,0,0.8006
c__CFGB76783,,0.72606,0,0.55138,0,1.78905,1.30729,1.46393,0,0,0.26165,0,0,0.02499,0,0.74875,0,0.3776,1.27429,0.26092,0,0,0.33723
c__CFGB1249,,0.06025,0.15981,0,0.10831,0,0,0,0.027,0,0.00892,0,0.08522,0.82059,0,0,0,0,0.25978,0,0.02478,0,0.15005
o__OFGB4806,,3.06896,0,2.21395,0,0,0,0,0,0,0.39612,0,0,0.43518,8.71285,0.1236,0,2.4504,0,0.18634,0,0,4.83131
o__Verrucomicrobiales,,1.07268,0,0,0,0,2.72941,0,0,0,10.46794,0,0,0,0.97717,0,0,1.83607,0.56208,0,1.335,0,0.8006
o__OFGB76783,,0.72606,0,0.55138,0,1.78905,1.30729,1.46393,0,0,0.26165,0,0,0.02499,0,0.74875,0,0.3776,1.27429,0.26092,0,0,0.33723
o__OFGB1249,,0.06025,0.15981,0,0.10831,0,0,0,0.027,0,0.00892,0,0.08522,0.82059,0,0,0,0,0.25978,0,0.02478,0,0.15005
f__FGB4806,,3.06896,0,2.21395,0,0,0,0,0,0,0.39612,0,0,0.43518,8.71285,0.1236,0,2.4504,0,0.18634,0,0,4.83131
f__Akkermansiaceae,,1.07268,0,0,0,0,2.72941,0,0,0,10.46794,0,0,0,0.97717,0,0,1.83607,0.56208,0,1.335,0,0.8006
f__FGB76783,,0.72606,0,0.55138,0,1.78905,1.30729,1.46393,0,0,0.26165,0,0,0.02499,0,0.74875,0,0.3776,1.27429,0.26092,0,0,0.33723
f__FGB1249,,0.06025,0.15981,0,0.10831,0,0,0,0.027,0,0.00892,0,0.08522,0.82059,0,0,0,0,0.25978,0,0.02478,0,0.15005
g__GGB51647,,3.06896,0,2.21395,0,0,0,0,0,0,0.39612,0,0,0.43518,8.71285,0.1236,0,2.4504,0,0.18634,0,0,4.83131
g__GGB9699,,1.85776,0,0,0,0,1.32821,0.02879,0.07062,0,0.01133,0,0,0,0.22209,0.00152,0,0.15985,0.25013,0,0,0,0.03074
g__Veillonella,,1.12881,0,0.00227,0,0,0,0,0,0.07298,0,0,0,0,0,0,0,0,0,0,0,0,0.07208
g__Akkermansia,,1.07268,0,0,0,0,2.72941,0,0,0,10.46794,0,0,0,0.97717,0,0,1.83607,0.56208,0,1.335,0,0.8006
g__GGB80011,,0.72606,0,0.55138,0,1.78905,1.30729,1.46393,0,0,0.24857,0,0,0,0,0.74875,0,0.3776,1.27429,0.25925,0,0,0.33723
g__GGB9708,,0.72149,0,0,0,0,0,0.01509,0.19818,0,0.00511,0,0.09783,0,0,0.07064,0,0.04929,0,0.27169,0,0,0.77174
g__Butyricicoccus,,0.55735,0,0,0,0.1098,0,0.23569,0,0,0,0.00937,0.17278,0,0,0.06805,0,0,0,0,0,0,0
g__Negativibacillus,,0.55239,0.05824,0,0.15352,0.04105,0,0,0,0.97704,0,0,0,0.61586,0,0.17916,0,0,0,0,0,0,0.091
g__Parasutterella,,0.44659,0,0.85593,0,0.34343,0,0,0,0,0,0,0.17993,0,0,0,0,0.86096,0,0,0,0,0.0149
g__Limosilactobacillus,,0.24552,0,0,0.05154,0.0654,0,0.09024,0,0,0.02079,0,0,0,0,0,0,0,0,0,0,0,0
g__Desulfovibrio,,0.06663,0,0,0,0,0.13326,0,0.03043,0,0.04795,0.10632,0,0,0,0.39993,0,0,0.12198,0.0446,0,0.631,0.01797
g__Candidatus_Pararuminococcus,,0.0641,0,0,0.05485,0,0.0011,0,0.00243,0,0,0,0,0,0,0,0,0,0.00757,0,0,0,0.00174
g__GGB9619,,0.05416,0.07234,0.00132,0,0.01072,0,0,0.02675,0.00774,0,0,0,0.33853,0,0.0225,0,0,0.01073,0.11633,0.04111,0,0.09009
g__Lachnotalea,,0.04731,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0.00892
g__Merdimonas,,0.03798,0,0,0.73057,0,0,0,0.02699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963
g__GGB3034,,0.0304,0,0,0.05193,0,0,0,0,0,0,0,0.06899,0.21796,0,0,0,0,0,0,0.02478,0,0.03265
g__GGB3033,,0.02985,0.15981,0,0.05637,0,0,0,0.027,0,0.00892,0,0.01623,0,0,0,0,0,0.02407,0,0,0,0.08968
g__GGB2980,,0.02766,0.13641,0,0.14144,0.11027,0.34806,0,0.02782,0,0.07224,0,0.0521,0,0,0,0,0,0.02551,0.09218,0,0,0.02598
g__Pseudoflavonifractor,,0.02506,0.09838,0,0.05991,0,0,0.00637,0.0445,0,0.11602,0,0,0.06072,0.00864,0,0,0,0.01853,0,0.06153,0,0.09365
g__GGB9618,,0.02316,0,0,0,0,0,0,0,0,0,0,0.04032,0,0,0.02738,0,0,0,0,0,0,0
g__Anaeromassilibacillus,,0.0168,0.09244,0.06083,0,0,0.0929,0,0.02366,0.18055,0.07928,0,0,0.02545,0.03014,0,0,0,0.01238,0.01094,0.075,0,0.00959
g__GGB3534,,0.01569,0.00329,0.01982,0.0085,0,0,0,0.00419,0.1447,0.00077,0,0,0.06336,0,0,0,0,0,0,0.03091,0,0
g__GGB9568,,0.01374,0,0,0,0,0,0.38561,0,1.37924,0,0.09556,0,0,0,0,0,0,0,0,0,0.73538,0.40156
g__Luxibacter,,0.01062,0,0,0.00386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Merdibacter,,0.00916,0.02684,0,0.03165,0,0.00807,0,0,0,0,0,0.01766,0,0,0,0,0,0,0,0.01716,0,0
g__GGB3538,,0.00739,0,0.08935,0.0599,0,0,0.11141,0.14605,0,0,0,0,0,0,0,0,0,0,0,0.12248,0,0.03292
g__Harryflintia,,0.00358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9532,,0.00337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9646,,0.00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Ruminococcus_sp_BSD2780120874_150323_B10,,6.45788,0,0,0,0,0,0,8.4402,0,0,0,5.70964,0,0,0,0,0,0,12.13765,0,0,0
s__Streptococcus_salivarius,,5.00611,0.05996,0.52286,1.05877,0,1.6426,0.4743,0.04333,0,0,0,0,0,0.057,0.03813,0.16785,0.09853,0,3.24008,0.0617,0.30754,0.45919
s__GGB51647_SGB4348,,3.06896,0,2.21395,0,0,0,0,0,0,0.39612,0,0,0.43518,8.71285,0.1236,0,2.4504,0,0.18634,0,0,4.83131
s__Clostridium_SGB4909,,2.64661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03475,0,0,0,0,0,0,0.04548
s__Gemmiger_SGB15299,,1.86853,0,0,0,0.01833,0,0,0,0,0,0,0,0,0,0.84753,0,0,0,0,0,0,0
s__GGB9699_SGB15216,,1.85776,0,0,0,0,1.32821,0.02879,0.07062,0,0.01133,0,0,0,0.22209,0.00152,0,0.15985,0.25013,0,0,0,0.03074
s__Ruminococcus_bicirculans,,1.50807,1.30941,0,0.95674,0.39236,1.41136,0,2.68281,4.54438,0.82542,0,0.68255,5.57319,0,0.58678,0,1.23143,5.06034,0,0,0,0.48583
s__Veillonella_ratti,,1.12275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Akkermansia_muciniphila,,1.07268,0,0,0,0,2.72941,0,0,0,10.46794,0,0,0,0.97717,0,0,1.83607,0.56208,0,1.335,0,0.8006
s__GGB80011_SGB15267,,0.72606,0,0,0,0,1.30729,1.46393,0,0,0.19885,0,0,0,0,0.74875,0,0,1.27429,0,0,0,0
