Abundance,SAMN00034067,SAMN00034187,SAMN00095348,SAMN00078079,SAMN00073582,SAMN00147413,SAMN00070035,SAMN00146239,SAMN00042371,SAMN00069411,SAMN00142559,SAMN00144714,SAMN00099612,SAMN00146563,SAMN00143723,SAMN00088832,SAMN00095035,SAMN00063676,SAMN00031604,SAMN00143208,SAMN00073658,SAMN00097954,SAMN00041840,SAMN00141929,SAMN00143579,SAMN00146869,SAMN00143093,SAMN00146305,SAMN00095238,SAMN00037655,SAMN00142107,SAMN00065537,SAMN00065748,SAMN00087096,SAMN00034856,SAMN00085245,SAMN00034316,SAMN00147641,SAMN00097897,SAMN00087461,SAMN00146662,SAMN00141722,SAMN00088016,SAMN00076282,SAMN00139730,SAMN00085508,SAMN00087719,SAMN00069905,SAMN00142287,SAMN00100025,SAMN00034857,SAMN00086130,SAMN00085131,SAMN00082542,SAMN00074361,SAMN00100110,SAMN00142815,SAMN00037656,SAMN00087669,SAMN00042437,SAMN00146983,SAMN00088586,SAMN00096542,SAMN00084837,SAMN00087920,SAMN00075542,SAMN00141816,SAMN00141720,SAMN00039134,SAMN00087361,SAMN00146030,SAMN00143754,SAMN00094410,SAMN00082513,SAMN00147938,SAMN00146356,SAMN00099936,SAMN00087253,SAMN00139709,SAMN00142398,SAMN00087502,SAMN00142634,SAMN00088409,SAMN00146029,SAMN00095165,SAMN00083997,SAMN00045881,SAMN00099822,SAMN00147136,SAMN00139862,SAMN00145981,SAMN00142997,SAMN00073365,SAMN00095092
t__SGB15065,0.05718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0.00436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616,0,0,0,0,0,0,0,0,0,0
t__SGB1024,0.05526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15286,0.05341,0.33722,0.00403,0.06474,0.0789,2.32089,0.02265,0.08611,0,0.82488,0.10174,0.19294,0.00148,0.22322,0.29997,0.00928,0.20746,0,0.69486,1.0321,0.23887,1.60631,0,0,1.1801,0.6623,0.04958,0,0.06924,0,1.47812,5.69559,0.34413,0.00712,0.57679,0.55195,0.18396,1.7565,0.21955,1.88582,0.46247,0,0.20019,1.06203,0.09579,0.08398,0.07373,0.02463,0.00558,0.07913,0.97611,0,0.06483,0.99557,0.02746,0.09807,0.35006,0,0.35037,0.00843,0,0.14426,0,0.16273,0.32984,0.06449,0.47934,0.4697,0.20379,0.81588,1.14319,0.24723,0.53978,0.16867,0.28476,0.22143,0,0,1.09876,0.04404,0,1.34854,0.46186,0.76449,0.09831,0.0073,0.05257,0,5.54928,0,0.19697,0.03753,0.01014,0.41473
t__SGB8773,0.05309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15342,0.05093,0.08294,0.06945,0.13383,0.01271,0.16479,0.21146,0.68084,0,0,0.02852,0.02777,0.01733,0.41364,0.15904,0.07591,0.78406,0.07791,4.35246,0.95348,0.05865,1.17581,0.10002,0,0.26966,0.21863,0.11123,0,0.78114,0,0.60529,0.01373,1.05907,0.06088,0.22606,0.29596,0.46969,0.8438,1.03344,0.6357,4.06271,0,0.2168,0.24346,0.06893,0.09275,0.19097,0.08124,0.02185,0.41986,0.27115,1.26278,0.00823,0.00597,0.18082,0.2424,0.16275,0,10.44901,0.17487,0,0.1129,0.55324,0.275,0.05846,0.12192,0.00184,0.27803,0.0178,1.10287,0.03082,0.38778,5.08785,0.01598,5.96519,0.56508,2.83345,0.01224,0.19333,0.17381,0.06134,0.17426,0.53964,0.70787,0.73159,0.00197,0.08533,0,2.83311,0,0.14326,3.84346,1.2006,0.99818
t__SGB1941,0.0493,0.00871,0,0,0,0,0,0,0,0,0,0.02559,0,0,0,0,0,0,0,0,0.06717,0,0,0,0,0,0,0,0,0.00275,0.00072,0,0,0,0.08718,0,5e-05,0,0,0,0,0,0.00623,0,0,0,0,0.00074,0,0,0.11678,0,0,0,0,0,0,0.00409,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0.04369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07423,0
t__SGB15145,0.04917,0,0,0.03131,0,0,0,0,0,0.01732,0,0.0141,0.02083,0.0113,0.02127,0,0.04698,0,0,0,0.0065,0.00932,0,0,0,0,0,0,0.00092,0,0.00715,0,0,0.01383,0,0,0,0,0.03063,0,0,0,0,0,0,0.06238,0,0.01618,0.04294,0,0,0,0,0.00276,0,0,0.00539,0,0,0,0,0.01483,0,0,0,0,0,0.06125,0,0.01577,0,0,0,0,0.00612,0,0,0.03528,0.05883,0.02907,0,0,0.09804,0.03004,0.00321,0,0.01072,0,0,0,0,0,0,0
t__SGB4269,0.0473,0.11139,0.02488,0.21407,0.07193,0.01561,0.00675,0.0555,0,0.01581,0.07072,0.01299,0.00427,0.47036,0.0239,0.00746,0.34214,0.11543,0.0617,0.00312,0.02916,0.06173,0.0015,0,0.07694,0.02669,0.01981,0,0.0236,0.0062,0.10662,1.20995,0.00688,0.74806,0.24177,0.07878,0.02096,0.12657,0.03839,0.02834,0.08462,0.04773,0.04125,0.1472,0.02409,0.05484,0.08357,0.25528,0.08685,0.00915,0.32932,0.07233,0.08814,0.08285,0.01014,0.02915,0.09721,0.00686,0.10574,0.01322,0.95533,0.11306,0.15507,0.05558,1.47643,0.07984,0.00604,0.17224,0.00451,0.16664,0.02016,0.00776,0.24868,0,0.01582,0.08057,0.06714,0.08645,0.09227,0.42549,0.08625,0.036,0.05564,0.35952,0.12424,0.00116,0.03471,0.03112,0,0,0.04725,0.41206,0.00067,0.06981
t__SGB4951,0.04302,0.0092,0.49712,3.64501,0.03824,0,0,0,0,0.02456,0.00271,0.26377,0.05489,0,0.00391,0,0.30709,0.02644,0.32417,0.08494,0.18377,0.52308,0,0,0.26715,0.02399,0,0,0.01702,0.15966,0,0.06887,0.52374,0.39235,0,0.15911,0.00025,0.34446,0.14119,0.07915,0.08621,0,0.01149,0.5779,0.48054,0.72894,0.09677,0.00297,0.70485,0,0,0,0.22245,0.51341,0.062,0.24515,0.34375,0.15966,0.27,0,0,0.00312,0.05412,0.25005,0.05936,0.19338,0.2555,0.98815,0.05385,0,0,0.28876,0.06623,0.00984,0.1956,0.07257,0.03726,0.07987,0.04774,0.00808,0,0.2019,0.16712,0.15881,0.1171,0,0.00647,0.12845,2.67607,0,0.00986,0.33336,0,0
t__SGB15390,0.04137,0.01236,0,0,0,0.02374,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0,0,0.00834,0,0,0,0,0,0,0,0,0,0,0,0.02796,0.00575,0,0.03928,0,0,0.01239,0,0,0,0,0,0,0.80018,0,0,0,0.04719,0.00485,0,0,0,0,0.00078,0,0.0135,0,0,0,0,0.26738,0.01061,0.00898,0,0,0.05182,0,0,0.08288,0.1394,0.01224,0,0.1886,0,0,0,0.0189,0.0188,0.00057,0,0,0,0,0,0,0,0.01969,0.0275
t__SGB2276,0.03999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1862,0.03961,0.00144,0.00035,0.0033,0.01186,0,0.00266,0.00099,0.00535,0.10075,0,1.33833,0.30211,3.22472,0,0.00314,0,0.00256,0.00096,0,1.62529,0,0.01189,0,0,0,4.25496,10.47501,9e-05,4.61346,1.54389,0.00429,0.00779,0,1.13823,0.00692,0.58506,0,0.00389,2.10133,0,0,0.00052,0.00497,5.71406,0,0,0.14595,1.08107,0,1.34839,0,0.01054,0.0017,0.00027,0,0,5.036,0,3.8255,0.00275,0.00079,19.38812,0.00781,0.00215,0.01718,0,0,0,0,0,0,0.00076,0.0022,0,0,0,0,0.0879,0,0,0,0.00044,0.0428,0,0.00188,0.00321,0,0.00205,0.02957,1.05965,0.00077,0.11232,0.38052
t__SGB15469,0.03792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1861,0.03748,1.10761,12.40682,3.41138,0.00441,0.47385,0.00404,0,6.90909,1.69504,0,2.74036,0.04178,1.30458,0.2399,0.00347,4.15716,0.32976,3.0112,0.11706,2.65021,1.67955,0.36994,0,0.00664,0,1.13237,0,6.01848,3.25114,0.21767,2.69407,1.71139,2.8741,0.00256,4.0662,0.15116,0.29672,1.29551,0.79889,1.78447,0,2.21991,2.03641,3.32504,0.57285,0.3824,1.02922,0,0,0.00607,0,0.00318,0,0.00265,0,4.86292,3.70358,0,4.39347,0.01906,0.69838,0.0011,1.7969,1.96496,1.7619,6.37546,2.22203,0,2.43488,1.54253,0.80925,2.80283,1.63579,0.38739,2.36062,1.48498,1.53941,0.55709,0,0,0.11038,0.50845,0.22684,0.74148,1.05702,0.47444,0.00518,0,26.87804,0.09954,1.09442,0.45424,0.07198
t__SGB14861,0.03662,0.00643,0.17476,0.55876,0.42615,0.25533,0.03291,0.21227,0,0.14985,0.08064,0,0.004,0.22478,0.02605,0.01657,0.37496,0,0.07445,0.42791,0.00013,0.11381,0,0,0.05958,0.1353,0.14192,0,0.07699,0.00268,0.33194,0.04862,0.40017,0.03533,2.54055,0.04492,0.04979,0.05258,0.07348,0.07777,0,0.2746,0.03975,0.58544,0.003,0.17117,0.16292,0.02939,0.00333,0.06202,3.85991,0,0.13222,0.06767,0.09956,0.06997,0.03956,0.00185,1.78199,0.02743,0.04251,0.16903,0.07977,0.29197,0.03939,0,0.19323,0.13057,0,0.3792,0.08363,0.01395,0,0,1.26226,0,0,0.05125,0.14717,0.02925,0,0.05202,0.16775,0.01077,0.16447,0,0,0.60869,0.29887,0,0.00703,0,0.13671,0.21925
t__SGB4749,0.03408,0,0,0.00163,0,0.04126,0,0,0,0,0,0.11679,0.01049,0.01615,0.04061,0,0,0.01693,0.09853,0,0.01857,0,0.01885,0.04971,0.03678,0.0305,0.02626,0,0.02388,0.01293,0.10798,0.27129,0.0429,0.00129,0,0,0,0.00473,0.01373,0.00874,0,0,0.0107,0,0.00828,0,0.16005,0.00038,0.01702,0,0,0,0.01323,0.39554,0,0,0,0.01156,0,0,0.20285,0.02156,0,0.09166,0.05944,0.0172,0,0.12631,0,0.01053,0.00765,0.07257,0,0,0.01613,0.39687,0.04143,0,0,0.00542,0,0.00929,0.00555,0.00911,0.07311,0.02587,0.01055,0.01664,0.10999,0.04337,0.03722,0,0.05638,0
t__SGB15271,0.03316,0.03195,0.04578,0.06334,0.10305,0.41573,0.03939,0.05218,0.26818,5.63406,0.25826,0.02878,0.02056,0.0154,0.09045,0.27655,0.08249,0,0.13512,1.3088,0.02095,0.11625,0.03621,0.06486,0.19329,0.1099,0.17296,0.0135,10.09874,0,0.06904,0.33979,0.05671,0.05951,0.14627,0.01788,0.62236,0.03594,0.01864,0.32733,0.37415,0.8427,0.11739,0.01644,0.02164,0.05904,0.05163,0.03207,0,0.09132,0.23637,0.09352,0.21319,0.10844,0.04155,0.06125,0.10326,0.00271,0.29714,0.01976,0.02002,0.01532,0.11719,0.05578,0.55915,0.04435,0.25574,0.03785,0.01046,0.00844,0.05492,0.06353,0.1228,0,0.2013,0.03393,0.05918,0.03792,0.61655,0,0.03589,0.05245,0.02485,0.03056,0.15597,0,0.00626,0.06297,0.01222,0.1456,0.12623,0.05377,0.02297,0.02694
t__SGB15126,0.03168,0.06563,0,0.00773,0,0,0,0,0,0.00739,0,0,0,0.00175,0.02376,0.01398,0,0,0.01568,0.0101,0,0.08513,0,0,0.01892,0.02161,0.00754,0.00264,0,0.00265,0.00143,0.14376,0,0.09217,0.0216,0,0.01576,0.00829,0,0.01178,0.04634,0,0.05297,0.00062,0.01064,0.00443,0.01639,0,0,0.00404,0.03521,0.33005,0,0,0.00148,0.03337,0,0.00627,0.22592,0.00479,0.0089,0.00353,0,0,0.05508,0.10254,0.03251,0.01695,0.00481,0.00613,0,0.01274,0,0.00202,0.00896,0.03489,0.0497,0.04516,0.04596,0,0.0051,0.01379,0.00253,0.00616,0.00382,0,0,0.0081,0.02056,0,0.01133,0,0.0079,0.0224
t__SGB4714,0.03159,0.02199,0,0.01288,0,0.01721,0,0.1011,0,0,0.05614,0.00387,0,0.02337,0.00118,0,0,0.01137,0.04028,0,0.00345,0.04643,0,0,0,0.00673,0,0,0.00012,0,0.01761,0,0,0.23739,0,0.00865,0.01429,0.00176,0.00304,0,0,0,0.03327,0.02074,0.00919,0.00861,0,0.00754,0,0,0,0,0,0,0.00229,0,0,0,0.10741,0,0.12271,0.11826,0,0,0,0,0,0.10233,0.00204,0.03471,0,0.00025,0.12877,0,0,0,0,0.02538,0,0.24438,0,0.00161,0.03345,0.00893,0.16657,0,0.06175,0.01212,0,0,0.00405,0.23283,0,0
t__SGB4669,0.03062,0.0213,0.00459,0.02099,0,0.0687,0.00395,0,0,0,0.10915,0.00466,0,0.02468,0.01741,0.00716,0,0,0,0,0.00142,0,0,0,0.04127,0.01163,0,0,0,0,0.00587,0,0,0.07899,0,0,0.01079,0.01748,0.01074,0.01595,0,0,0.01589,0,0.01209,0.01068,0,0.01321,0,0.05566,0,0,0,0.02482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05603,0,0.04841,0.04473,0,0,0,0,0,0,0,0,0.00197,0,0.00413,0,0.0558,0,0,0,0,0,0,0,0,0.00895,0
t__SGB3574,0.03032,0.0179,0.04227,0.01783,0,0,0,0,0,0.04001,0,0,0,0.01282,0.03181,0,0.36439,0,0.03026,0.10535,0,0.16536,0.00655,0,0,0,0.09304,0,0.26112,0,0.00618,0.60426,0,0,0.10895,0,0.16477,0,0,0.0224,0,0.06173,0.00791,0.01071,0,0.02804,0.02341,0.0037,0,0.01259,0.15839,0,0,0,0.00289,0,0.35844,0,0,0.00882,0.0164,0.00213,0,0,0.27907,0,0.05765,0.07695,0,0.00258,0,0.07008,0.22709,0,0.11299,0.07838,0.13196,0,0.06536,0,0.02164,0,0,0.01952,0,0,0,0.02824,0.03398,0,0.08717,0.03253,0,0.04916
t__SGB4767,0.02934,0.025,0.00302,0.05223,0.00732,0.06067,0,0.05293,0,0,0.0304,0.02866,0.00334,0.06231,0.22063,0,0,0.00707,0.04428,0.01466,0.01442,0.07008,0,0.05966,0.1387,0.0385,0.08299,0,0.0035,0,0.03873,0.00965,0.00433,0.34541,0.02015,0.10594,0.00491,0.20639,0.01273,0.01847,0,0,0.01222,0.04305,0.00467,0.05018,0.02826,0.01271,0.03553,0.00035,0.02209,0,0.01548,0.06472,0,0,0,0,0,0,0.05952,0.01357,0,0.00761,0,0.00915,0.0029,0.05944,0,0.0233,0.04968,0.04968,0.0239,0,0,0.08606,0.04687,0,0,0.03763,0.01532,0.04488,0.01576,0.07348,0.21285,0,0.06714,0.07037,0.05241,0,0.09379,0.04872,0.00445,0.0372
t__SGB15459,0.02888,0,0.12254,0,0,0.00689,0,0,0,0.06465,0,0,0,0,0.03894,0,0,0,0.19497,0,0.00565,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.03076,0,0.02679,0,0.01955,0,0,0,0.03228,0,0,0,0,0,0,0,0,0,0,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03753,0,0,0.01417,0,0.00604,0,0,0.04222,0.01728,0.04518,0,0,0.00725,0,0,0,0,0,0,0,0,0.04249,0,0,0
t__SGB5090,0.02828,0.0577,0.00676,0.04741,0.01298,0.15353,0.00871,0.00479,0,0.00161,0.04585,0.01707,0.00165,0.32377,0.02786,0,0,0,0,0,0.01444,0.00626,0,0,0.2011,0.04848,0.00017,0,0,0,0.02725,0.03708,0,0,0.04118,0.04568,0.02579,0.13313,0.09447,0.00481,0,0,0,0.26784,0.02216,0.03868,0,0.57289,0.01012,0.03512,0.05144,0,0.00801,0.00269,0.02854,0,0,0,0,0,0.0183,0.03064,0.10934,0,0.01018,0.05841,0.00601,0.02671,0,0.08351,0.24403,0.10241,0,0,0.83843,0,0.02646,0.00015,0.13,0.00839,0,0.0113,0.0387,0.12908,1.09447,0,0.00912,0.06314,0.22391,0,0.01513,0,0.01599,0.06024
t__SGB14837,0.02791,0.00951,0.01008,0.01319,0.03026,0,0.01319,0.04512,1.41594,0.00805,0.01451,0.02287,0.00239,0.00093,0.00896,0.07273,0.00535,0,0.01103,0,0.01333,0.02308,0.00592,0.05305,0.00213,0.01481,0.0486,0,0.03055,0.08228,0.01246,0,0.03589,0.00771,0.06377,0.00077,0.01967,0,0.00838,0.01329,0,0.00846,0.00257,0,0,0.03022,0.04245,0.0133,0,0.00769,0.09169,0,0.20128,0.0248,0,0.0067,0.02201,0.1042,0.07915,0.01001,0.0041,0.01628,0.07402,0.06766,0,0.07616,0,0.02361,0,0,0.00609,0.00576,0.03496,0.00073,0.03273,0,0.02233,0.0157,0.00029,0,0.00895,0.00111,0.017,0.00211,0.00198,0,0.00313,0.01888,0.00619,0,0.03628,0.01492,0,0.00556
t__SGB5060,0.02774,0,0,0,0,0,0,0,0,0,0.03015,0.02167,0,0,0,0,0,0,0,0,0.01995,0,0,0,0,0.00499,0.027,0,0,0,0,0,0,0,0,0,0,0.01438,0,0,0,0,0,0,0,0,0,0.00888,0,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0.01738,0,0,0,0,0,0,0,0,0.02281,0,0,0,0,0,0,0,0.01234,0,0,0,0,0,0,0,0,0,0,0,0,0.14058,0.01947
t__SGB1857,0.02548,0.41206,0,0,0,0,0,0,0,0,0,1.21165,0,0,0,0,0,0,0,0,1.54065,1.42824,0,0,0,0,0,0,0,0,0,0,1.49337,0,0,0.18008,0,0,0,0,0,0,0.15712,0.01185,0,0,0,0.02917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86452,0,0,0,0,0,0,0,0.79645,0,0,0,0,0,0,0,0,0,0,0,0.12002,0,0,0,0,0,0,0,0,0.10987,0
t__SGB4046,0.023,0.01492,0,0.00132,0.01419,0,0,0.00929,0,0.03066,0.02133,0.00918,0.00564,0.00121,0.0193,0,0,0,0.00228,0,0.00507,0,0,0.07129,0.02018,0.00213,0,0,0.06184,0,0.00074,0,0.00517,0.02908,0.0015,0,0.02583,0.00048,0.00213,0.01722,0,0,0.00573,0,0,0.00102,0,0,0.00273,0.02587,0.00594,0,0.03195,0.022,0,0.01128,0,0,0.1147,0,0.01007,0,0.00607,0.01569,0,0,0.04734,0.00619,0.00092,0.00443,0,0.03072,0.02665,0,0.00853,0.02339,0.0389,0,0.02455,0,0,0,0,0,0,0,0,0.02041,0,0,0.02397,0.01315,0.00416,0.01469
t__SGB3940,0.02258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03431,0,0,0,0,0,0.00032,0,0,0,0,0,0,0,0,0,0,0,0.00088,0,0,0,0,0.01423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0,0.00615,0,0,0.00422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805,0,0,0,0,0,0,0
t__SGB53522,0.02199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0,0,0,0,0,0,0,0,0,0.18909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19495,0,0,0,0,0,0
t__SGB15012,0.02186,0,0,0,0,0,0,0,0,0,0,0,0.00268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02258,0,0.01657,0.00232,0,0,0,0,0.00437,0,0,0,0,0.00131,0,0,0,0,0,0.03874,0,0,0,0,0,0,0,0,0,0,0,0,0.01523,0,0.01846,0,0,0,0,0,0,0,0,0,0,0,0.08441,0,0.02339,0,0,0,0,0,0,0,0,0,0
t__SGB15346,0.02109,0,0,0.09001,0,0.09286,0.0112,0.1063,0,0,0.58574,0.0928,0,0.35692,1.06549,0.00025,0,0.01589,0,0,0.10129,0.20378,0,0,0.0758,0.19671,0,0,0,0,0.30049,0,0,0,0.05816,0.54387,0.01261,0.10434,0.55506,0.20248,0,0,0,0.45668,0.35649,0.05749,0,0.01053,0.01416,0.08109,0.07259,0,0,0.00329,0.00754,0,0,0,0,0,0,0.01674,0,0,0,0.14654,0.1778,0,0,0.03483,0.13881,0,0.25639,0,0.00164,0,0.00068,0.11165,0.00029,0.30103,0,0,0.23829,1.07854,0.23985,0.00169,0.09518,0,0.00109,0,0,0.02251,0.3415,0.18541
t__SGB4422,0.02106,0,0,0.62044,0,0,0.01028,0,0,0,0,0,0,0,0,0.02869,0,0,0,0,0,0,0,0,0.06086,0,0,0,0,0,0,0,0,0,0,0.09175,0.03845,0.0437,0.01031,0.04843,0,0,0,0.03346,0.03771,0.12701,0,0.02657,0,0.0454,0,0,0,0.10277,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06894,0,0.52931,0,0,0,0,0,0.1797,0,0,0,0.01595,0.27994,0,0,0,0,0.06633,0,0,0.64755,0.04236,0
t__SGB15127,0.02064,0.01557,0,0.00668,0,0.00914,0,0,0,0,0,0,0,0,0,0,0.08395,0,0,0,0.00043,0.00542,0,0,0.01579,0,0,0,0,0,0,0.00446,0.00016,0.0034,0.0056,0.00043,0.00698,0,0,0,0,0,0.01672,0,0,0.00165,0,0,0,0.04113,0.01211,0.00262,0.01286,0,0,0,0.03701,0,0,0,0.0044,0.00568,0,0,0,0,0.02887,0.00259,0,0,0,0.00163,0,0,0.0039,0.04567,0.03131,0.00966,0,0,0,0.00331,0.00816,0,0,0,0,0,0,0,0,0,0.0659,0.02872
t__SGB1867,0.02054,0.48482,0,5.31513,0.01566,0,0.40282,0.0034,19.65868,10.60076,0,0.02964,0.28562,0.00329,0.34427,0.13347,1.86325,3.44024,0.0014,0,0.08141,0.00417,3.11733,0,1.46967,0,0.15879,0,0,1.41844,5.4254,8.62949,1.12223,0.15742,0.09928,6.08334,0.00058,0.33201,0.14355,1.92532,0,0,0.79786,4.01747,0.01657,1.36762,0.00032,0.91644,0.17425,0,0.15034,0,0.01524,2.30132,0.00326,0.00218,2.60264,1.44131,0.07919,0.54053,26.92616,0.00521,0.00054,2.05931,5.56315,0.02083,2.28592,0.13078,0.02834,0.49458,0.42955,0,1.76266,3.78083,0.00131,2.93276,0.74576,0.35988,5.87025,1.042,0,0.0018,0.31606,0.0255,0.00782,4.57558,2.50632,3.00323,2.94134,0.02787,0.39906,0.45169,0.13686,1.15783
t__SGB4581,0.0198,0,0.04613,0.00613,0,0.00338,0.01223,0.10502,0,0.11778,0,0.00385,0.00832,0.06484,0.00548,0.02983,1.05363,0.02575,0.10423,0,0.01102,0.00733,0.00981,0.14211,0.06629,0.01856,0.02401,0,0.12544,0.00683,0.0381,0.02835,0.01884,0,0.24272,0.02482,0.02089,0.01614,0.00219,0,0,0,0,0.06085,0.00368,0.02452,0,0.01091,0.01795,0.04262,0.36603,0,0.01214,0.06258,0.0006,0,0.09959,0.00753,0,0,0.10014,0.01521,0.11908,0.01439,0.01246,0,0,0.02288,0,0.01307,0,0,0.03832,0,0,0.12806,0.02621,0.01053,0.06666,0.03485,0,0,0.02945,0.01928,0.00077,0,0.00464,0.06156,0.03835,0,0,0.04879,0.61758,0.04365
t__SGB4721,0.01916,0,0.00442,0.02289,0,0.0394,0.00364,0,0,0.01853,0.03302,0,0.03374,7e-05,0.07495,0.00037,0.15891,0,0.04511,0.1669,0,0.00047,0.00341,0,0.05122,0.06549,0.05526,0,0.1028,0.0012,0.06383,0.05377,0.01833,0.0108,0,0.00886,0,0.01735,0,0.05563,0,0,0,0,0.0039,0.00747,0.1251,0,0,0.08918,0,0,0,0.03213,0,0,0.05746,0.00324,0.33176,0,0.12749,0.04043,0,0.04897,0.00173,0,0.00986,0,0,0.03003,0.04254,0.20389,0.06042,0.00514,0.07649,0,0.00211,0,0.03893,0,0,0,0.02888,0.00436,0.13379,0,0.01257,1.14122,0.01276,0,0.02565,0.04495,0,0.01495
t__SGB15132,0.01873,0.00953,0.01404,0.0019,0.03055,0.10895,0.04267,0.40687,0.44389,0.85955,0.06517,0.00719,0.02638,0.00219,0.03761,0.10851,0.11991,0.0309,0.03863,0.69047,0.00257,0.02288,0.01648,0.33771,0.01968,0.00833,0.07667,0.02287,0.36918,0.03867,0.07453,1.02526,0.08091,0.0046,0.05061,0.00787,0.26036,0.00093,0,0.20675,0,0.64475,0.00991,0.00047,0.01331,0.00184,0.07322,0.00065,0.03293,0.00368,0.08426,0,0.14729,0.02951,0,0.05493,0.05286,0.0492,0.41432,0.07631,0.05293,0,0.25744,0.14037,1.1165,0.05698,0.03549,0.00623,0.01311,0.00897,0.00185,0.01667,0.44171,0.01478,0.26242,0.12489,0.0436,0.09303,0.1295,0.00389,0.12756,0.00118,0.01309,0.00617,0.00814,0.02369,0,0.06803,0.08954,0.46216,0.77201,0.16261,0,0.00628
t__SGB6952,0.01765,0.02192,0,0.05494,0,0,0.00124,0,0,0,0,0.00216,0,0,0.004,0.00241,0.00943,0.00217,0,0,0,0.00119,0.0003,0.04618,0,0,0,13.22506,0,0.00409,0.02216,0.00891,0.01935,0.01194,0.00333,0.00047,0.00248,0,0.00676,0,0,0,0.02048,0.00147,0.00362,0.0076,0,0.01427,0.07056,0,0.00395,0.83525,0,0.01091,0.00131,0.00023,0,0.00157,0.02456,0.00129,0.00085,0.03529,0.00037,0.00575,0.00559,0.00271,0,0.01872,0,0.00434,0,0,0,0.00018,0,0.00168,0,0,0.00089,0.00252,0.00641,0,0.03119,0,0.04276,0.00586,0,0,0.0098,0.05137,0.00708,0.00187,0,0.01945
t__SGB15089,0.01708,0.00349,0.01285,0.09711,0.04626,0.07127,0.01846,0,0,0.27567,0.05929,0.00982,0.0308,0.02335,0.89596,0.0089,0,0.00264,0.03709,0.28914,0.00702,0.07898,0.37177,0,0.28457,0.01309,0,0,0.3555,0,0.29424,0,0,0.12624,2.62547,0.65055,0.02866,0.01454,0.02054,0,0.01919,0,0.02747,0.12356,0,0.0661,0.05756,0.03702,0.02375,0,2.7707,0,0.21181,6.74621,0,0,0,0,0.74653,0.00896,0,0.01271,0,0,0,0,0.00349,0.02033,0.03807,0.12668,0,0,0.91409,0.00577,3.00325,0,0,0,0.98362,0.12297,0,0.13807,0,0.01028,0.00936,0,0.24514,0,0.03095,0,2.8463,0.36813,0.03935,0.34349
