Abundance,SAMN08049831,SAMN08049826,SAMN08049839,SAMN08049838,SAMN08049841,SAMN08049829,SAMN08049824,SAMN08049834,SAMN08049836,SAMN08049837,SAMN08049828,SAMN08049822,SAMN08049820,SAMN08049840,SAMN08049827,SAMN08049821,SAMN08049830,SAMN08049832,SAMN08049825,SAMN08049833,SAMN08049823,SAMN08049835
s__GGB9621_SGB15073,0.0036,0.06268,0,0,0.0855,0,0,0,0,0,0,0.18859,0.00812,0,0,0,0,0.02204,0.0056,0,0,0.04824
s__Mediterraneibacter_glycyrrhizinilyticus,0.00358,0,0,0,0,0,0.01057,0,0,0,0,0.13882,0,0,0,0,0.00241,0,0,0,0,0
s__GGB9719_SGB15272,0.00296,0.01216,0,0,0.03146,0.03485,0,0,0.04376,0.0305,0,0,0,0,0.01486,0,0.01225,0.09574,0,0,0.00076,0.12143
s__Escherichia_coli,0.00274,0.00615,0,0.19819,0,0,0,0,0,0.01591,0.05185,0.05255,0,0.01326,0.04739,0.34977,0.01391,1.41626,0.00823,0,0.03254,0.31808
s__Anaerobutyricum_soehngenii,0.00236,0.06907,0,0,0,0,0.12871,0.00587,0.07408,0,0.02196,0,0,0.27782,0.23897,0.35951,0,0.0928,0.28328,0.08286,0.00186,0
s__Dysosmobacter_sp_NSJ_60,0.00179,0.01279,0,0,0.00536,0.00557,0.00416,0,0,0,0,0,0,0,0.01557,0.0247,0,0,0,0.00905,0.06193,0.01254
s__GGB9743_SGB15349,0.00177,0,0,0,0,0,0,0,0.01827,0,0,0,0,0,0,0,0,0,0,0,0.01332,0
s__Candidatus_Neoruminococcus_faecicola,0.00133,0,0,0,0,0,0,0,0.00261,0,0,0,0,0,0,0,0,0.00687,0,0,0,0
s__Clostridium_leptum,0.00102,0.0384,0.02973,0.11712,0.26507,0.01798,0.0157,0.00139,0.05722,0,0.02976,0.12837,0,0.01938,0.07038,0,0.01415,0.01375,0.03942,0.02878,0.03041,0.18799
s__Anaeromassilibacillus_sp_An250,0.00098,0,0.01202,0.08541,0.00859,0.02205,0,0,0.04215,0.02404,0,0.01668,0.00948,0.00866,0.00374,0,0.01256,0.11341,0.01731,0.09673,0.04633,0.15855
s__Anaerosacchariphilus_sp_NSJ_68,0.00077,0.00273,0.00026,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0.01673,0,0,0
s__GGB9302_SGB14263,0.00051,0,0,0,0,0,0,0,0.00144,0,0,0,0,0.0151,0,0,0,0,0,0,0,0.67604
s__Clostridiales_bacterium,0.00049,0.00778,0,0,0,0.00578,0.12525,0,0,0,0,0,0,0,0.01377,0,0.00164,0,0,0.03796,0.03521,0.00615
s__Harryflintia_acetispora,0.00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3534_SGB4722,0.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341,0,0,0,0.04042
s__Lachnotalea_sp_AF33_28,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0.00055,0,0,0,0,0,0,0,0.02685
t__SGB4933,18.99955,0.04464,1.79821,2.0086,0.7602,0.01021,5.61386,5.22231,2.85107,0.99378,3.33405,0,5.26849,7.65437,0.13785,0.94752,12.38896,1.79827,1.77116,11.94221,0.00451,0.09309
t__SGB4826,6.19179,0.02352,0.83672,10.46918,3.19846,0.00138,4.09312,2.78152,1.8482,0.11213,0.51033,0,0.48038,0.03448,0.07435,0.57191,7.73248,0.61854,0.89005,4.53889,1.19723,1.58377
t__SGB15286,5.22016,2.34058,4.56438,0,0.6277,1.20567,1.58244,3.74884,1.56226,7.06941,1.84941,0,1.27378,4.93666,0.87933,1.90352,3.59051,2.37014,14.40674,0,2.2377,1.00668
t__SGB17248,4.23361,0.01549,1.74641,0.01422,1.52915,0.28331,1.25193,0.1201,2.87958,7.20889,0.86516,9.67042,0.53553,9.89006,0.14855,8.47382,0.00467,0.61719,0.4322,7.97062,4.02486,6.58451
t__SGB4837,4.14972,5.34297,4.29731,12.75696,9.3039,8.66419,11.76555,8.74989,7.31979,1.37993,4.36639,0.00086,0.79916,4.23797,4.51018,5.56481,15.60973,2.95332,4.13329,3.50121,1.63604,0.47777
t__SGB15332,3.72401,0.02449,0.38599,0,3.25697,0,5.16303,0,0.12545,0,0,0,0,0,0,7.27556,0,0,1.00906,0,0.3621,0
t__SGB4581,3.61247,0.25406,1.98716,3.57117,1.74205,1.415,0,3.68633,1.26505,2.56177,0.43502,0,0.67164,0.26725,0.27144,0.2381,3.54062,0.88676,1.97027,1.57024,0.11232,0.72531
t__SGB4874,3.49357,0.29128,1.36742,2.72568,2.46285,1.08531,2.76178,3.19082,1.8463,0.79795,0.7047,0,0.98102,1.93696,0.10872,4.54808,5.83414,2.06462,0.73809,5.26059,1.36313,0.42283
t__SGB5825_group,3.30095,0,0,2.88848,4.53696,0,3.56886,2.93475,0,0,0.75508,0,1.75085,0,0.01205,2.04637,0,0,0,0,0,0
t__SGB4532,2.77768,1.71937,1.09848,0,2.71822,2.33395,1.55278,2.2542,1.66319,1.79805,0.9025,11.15023,0.71178,1.05762,0.42443,0.62688,1.18961,0.23622,0.23805,1.98959,1.34745,1.72042
t__SGB2087,2.28395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4925,2.118,0.6785,2.34599,9.20911,9.97205,1.13033,1.58268,2.43465,0,0.6043,0.83588,0,0.57702,0.74188,0,0,0,8.17715,2.013,6.78355,5.65093,0.00781
t__SGB4280,2.10297,0,0,0,0,0,0,0.00192,0,0,0,0,6.62091,0,0,0,0,0,0,0,2.28316,0
t__SGB4871,2.00954,0.73341,0.09541,0,0,0.11556,1.58788,1.13269,0.34414,0,0.47073,0,0.34591,0.00087,0.00266,0,0,0.36929,0.2104,0.64828,0.79073,0
t__SGB4540_group,1.98976,1.16046,0.10828,6.53089,2.16327,1.62292,1.9196,1.76503,0.58911,0.81136,0.54208,0,0.8975,2.27889,1.16039,0.9042,2.56041,0.06912,1.31739,0.66522,1.60566,2.39538
t__SGB14535_group,1.75735,2.70344,8.03377,0.00548,1.01987,2.02541,3.28495,2.54999,5.89673,0.63384,1.50576,0,0.86506,1.3499,0.7553,0,4.75608,4.24086,2.73969,2.14469,2.12307,1.89273
t__SGB4577,1.61776,1.55401,1.17875,1.55741,1.96282,0.87095,0.82821,1.75539,1.10073,0.25299,1.05221,0,0.28612,0.82616,0.40817,1.40543,1.80377,0.5926,0.90349,1.63634,0.55184,0.0354
t__SGB5042,1.52198,0,0.01136,0,0.00776,0,0,0,0,0,0,0,0.214,0.01774,0.13086,0,0,0,0.03733,0,0.1065,0
t__SGB15318,1.51579,0.70968,1.20521,0.10229,2.09152,0.58198,3.18114,0.7604,0.65912,0.22673,0.73861,5.55867,1.37863,1.12855,0.7142,2.53821,0.91775,0.22141,0.93341,4.68694,0.96732,0.0723
t__SGB1814,1.31685,0.06717,0,0,0.58046,0.14825,0.81528,0.337,0.02017,0.27687,1.81268,1.86002,0.79154,0.86842,0.70919,2.03716,0.06927,0.33051,1.55817,0,1.91057,0.97969
t__SGB4262,1.19654,0.03473,0.01724,1.38794,0,1.68694,2.34792,0,0,0.94798,0.55259,0,0.37855,0,0,0.21104,3.12387,0.89368,0.75152,2.02775,1.67927,0.81035
t__SGB5117,1.16151,0.10976,0.10041,0,0,1.55309,1.29592,0,0,0.84911,0,0,0,1.10758,0.12089,7.23662,0,0,0.04808,0,0,0.17768
t__SGB4811,1.01055,0.44377,0.59578,0.28331,1.78608,0.88117,2.80439,1.24378,0.90338,0.29646,0.41084,0.29866,0.2861,0.87218,0.51429,0.92434,2.53323,0.28797,0.70271,0.43435,1.0312,0.09793
t__SGB1836,0.96334,0.85138,0.04244,0,0.89391,0.18808,1.2607,0.17687,0.05578,1.64511,1.84026,1.25577,1.08205,0.70135,0.06854,5.49014,0.01118,0.37674,1.15889,0,0.50262,0.45947
t__SGB4868,0.82096,0.62168,0.26925,3.06116,1.82073,1.59857,0,2.8825,1.43469,0.09298,0.32581,0,0.21891,0.73699,0.19696,0,2.551,0.1538,0.68023,0.73317,0.29697,0
t__SGB4575,0.75396,0.8323,0.39811,0.20453,0.55456,0.77297,0.46572,0.82916,0.90053,0.42098,0.44191,0,0.2562,0.21438,0.08701,0,0.37731,0.33884,0.47992,0.40851,0.36354,0.05207
t__SGB4828,0.67333,1.27523,2.38221,0.00284,0.19844,4.0415,0,0,7.46166,1.33902,1.01927,0,0.0801,2.45602,0.19584,1.17279,0.0006,0.25331,0.26297,0,0.26769,0.48526
t__SGB4809,0.64473,0.68922,0,0,0.12628,0,0,0,0.03117,0,0.0388,0,0.05309,0.25412,0.05175,0,0.1006,0.00642,0,0,0.00524,0.01148
t__SGB4269,0.60343,0.94936,0.31583,0.78173,2.06872,1.12186,0.31812,2.44911,1.14026,0.27637,0.51409,0,0.07151,1.05513,0.59665,0.01167,1.02279,0.54362,0.83243,1.31629,0.58238,0.15627
t__SGB4820,0.60125,1.29187,1.36853,0.14198,2.65778,0.80791,1.14972,1.214,0.56125,3.05851,0.27426,13.32828,0.64229,0.76048,0.03452,1.15646,0.69946,0.43336,1.64739,1.8964,1.34356,0.27388
t__SGB4914,0.5949,0,0,0.0096,0.04261,0.56873,0.07735,0.68016,0.00341,0.08566,0,0,0.05889,0.01129,0,0.23084,0.02218,0.04869,0.00899,1.36098,0.01522,0.13388
t__SGB5090,0.5842,0.89966,0.27431,0,0.6215,0.18626,0.51155,0.82289,0.02061,0.0561,1.05349,0.45493,0.32631,0.40739,0.20232,0.54907,0.37636,0.09131,0.79789,1.02601,0.09515,2.36414
t__SGB14993,0.53594,0.07383,0.30869,0.16236,0.46953,0.30424,0.5362,0.42338,0.30424,0.22309,0.37366,0,0.12505,0.23747,0.06126,0.08586,0.20125,0.11941,0.97665,0.60063,0.27326,0.023
t__SGB4705,0.52731,0.03917,0,0,0.03314,0.00861,0.18252,0.09998,0.00069,0,0.0553,0,0.06426,0.04073,0.05586,0.13643,0.00758,0.11659,0.04056,0.06158,0.01032,0
t__SGB14874,0.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4670,0.52541,0.35055,0.22749,0,0,0.53815,0,0.37495,0.34846,0.4809,0.18761,0,0.244,0.48817,0.47771,0,0.22839,0.30714,0.35544,0,0.16688,0.45518
t__SGB15342,0.51728,0.73244,0.51704,0,0.49345,0.37384,0.52972,0.34406,1.47872,0.43207,0.28914,0,0.45074,0.24883,0.16093,0.56059,1.55457,1.88167,0.63703,0,0.94402,0.00402
t__SGB1871,0.49007,0.03021,0,0,0.01835,0,0,0.03841,0.01521,0.06395,0.17322,0.14856,0,0.00403,0.02593,0,0.02527,0.11922,0,0,0.08882,0.3438
t__SGB4563,0.47893,2.28536,0.93436,0.8663,0.7876,0,1.38869,2.37444,0.87241,0.33961,0.49175,0,0.52811,1.06889,0.95645,1.5578,0,0.60879,0.90335,0.64183,0.84074,0.03399
t__SGB15249,0.47399,0.28365,0,0,0.05019,0.15466,0.03139,0.02145,0,0.13758,0,0,0.27708,0.02862,0.3463,0,0,0,0.15895,0,0.58411,0.69009
t__SGB15300,0.47334,0.15081,0.7511,2.41147,1.46192,2.17146,1.04609,0.06572,2.78924,1.47177,0.67757,0,0.63886,1.41393,0.65076,3.02783,2.63295,0.09465,0.85517,0,0,0.20416
t__SGB15346,0.46567,0.36828,2.51559,0,0.43679,0.30612,0.26052,0.45527,0.61804,0.42115,0.2409,0,0.77727,0.75331,0.27052,1.503,0.79202,0.56312,0.9721,0,0.40877,0.0167
t__SGB4749,0.44441,0.01904,0.00522,0.17293,0.07552,0.00072,0.24451,0.00228,0,0,0.00846,0,0.01509,0.02135,0.03489,0.07167,0,0.15311,0.07913,0.01386,0,0.00119
t__SGB4936,0.42507,0.09905,0,0,0.22352,0.29916,0.28445,0.14129,0.00985,0.04327,0.07117,0,0.4777,0,0.03989,0.01522,0,0.01102,0.00105,0.16488,0.11247,0.03734
t__SGB4959,0.4195,0.4941,0.13144,0.49478,1.0725,0.13073,0.21245,0.70215,0.22019,0.01514,0,0,0.0429,0.10991,0,0.12799,1.04627,0,0.4835,0.34483,0.07959,0
t__SGB4993,0.41873,0.31771,0.05975,0.52985,0.0976,0.56809,0.05407,0.9382,0.57683,0.14567,0.07593,0,0,0.06865,0.0177,0.09453,0.33085,0.39128,0.37044,0,0.38845,0.11248
t__SGB5089,0.4146,0.00474,0,0,0,0.07725,0,0,0,0.04362,0.00081,0.00546,0.08297,0.1496,0,0.0414,0,0,0.03798,0.00728,0.0334,0.06179
t__SGB15254,0.38297,1.61922,0.1059,0,0.7178,0.42176,0.01662,0.34508,0.13942,0.28971,0.31492,0,0.56356,0.41339,0.08226,1.37421,0,1.16247,0.32606,0,0.81706,0.08275
t__SGB2318,0.35093,2.52218,0.04492,0.14556,0.2377,0.7539,0.46567,0.54313,0.41989,0.59273,1.2417,0,0.07522,0.52966,3.40318,0,0,0.91988,0.86149,0,2.54184,0.88796
t__SGB14342,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14797,0.33559,0,0.30861,0,0.03585,0.11372,0,0.62224,0.22367,0.37864,0.08897,0,0.02429,0,0.43152,0,0.98084,0.3021,0.19806,0.94175,0.08947,0.00512
t__SGB15120,0.33461,0,0,0,0.40901,0,0.44681,0,0.59107,0,0.45228,0,0,0,0.50509,0.73917,0,0,0,0,0.48585,0
t__SGB14873,0.32818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14861,0.31823,0.34466,0.16604,0,1.49878,1.08946,0.11602,0.61178,0.73795,1.19415,0.45212,0,0.27403,2.67846,0.33242,0.28773,0.30015,0.25194,0.83253,1.01237,0.36562,1.99154
t__SGB4608,0.28272,0.14555,0.00137,3.78147,1.58075,0.91645,0.23295,0,0.02295,0,0.00578,0,0,0.01819,3.3629,0.51768,2.0067,0.45851,0.33111,0.04375,0.04537,1.10723
t__SGB14924,0.26321,0.08552,0,0,0.01993,0.01532,0,0.11211,0,0.02363,0,0,0,0.10591,0,0,0,0.26323,0.07823,0,0.01305,0
t__SGB4780,0.25988,0.13285,0.33852,0.14346,0.2358,0.14958,0.09237,0.40114,0.1611,0.06381,0.1155,0,0.18294,0.02999,0.13635,0.13069,0.12969,0.2281,0.12807,0,0.0841,0.00218
t__SGB4831,0.22026,0.16062,0.17828,0,0.00463,0.69743,0.24391,0.92898,0.24077,0.07254,0.07213,0,0.30887,0.05802,0.35743,0.00286,0,0.16431,0.29335,0.07657,0.25001,0.03584
t__SGB15091,0.2119,0.1697,0,0,0,0.01959,0.06007,0,0.00218,0.54456,0,0,0.3713,0.06022,0,0,0,0,0.30274,0,0,1.59802
t__SGB4644,0.20888,0.15511,0.00823,0,0,0.23729,0,0,0.00553,0.2012,0.06638,0,0.10765,0,0.04711,0.5683,0,0.11625,0.01983,1.47304,0.01202,0.2469
t__SGB15299,0.17842,0.19841,0.24996,0,0.07786,0,0.09494,0.09219,0.11218,0.05094,0.3659,0,0.08598,0.10096,0,0,0,0.4347,0.02095,0,0,0.03476
t__SGB1861,0.17637,0.06562,0,0,0.02582,0.00565,0,0.04631,0.00554,0,0,0.38633,0.00034,0.07191,0.05206,0.25939,0,0.13857,0.15059,0.11025,0,0.10224
t__SGB4421,0.16285,0,0,0,0,0,0,0,0,0,1.07935,0,0,0,0,0,0,0,0,1.24692,1.23481,0.1189
t__SGB53446,0.16121,0,0,0,0,0,0,0,0,0.00333,0,0,0,0,0,0,0,0.19423,0,0,0,0
t__SGB9286,0.15944,0,0,0,0.03125,0,0.0165,0,0,0,0.04929,0,0.05057,0.00527,0.01342,0,0,0,0,0,0,0
t__SGB4781,0.14985,0.62049,0.20666,0,0.13931,0.36296,0.13245,0.32715,0.1905,0.15361,0.0461,0,0.14136,0.15642,0.11241,0.00756,0,0.16324,0.09959,0,0.06081,0.07474
t__SGB4198,0.14873,0,0,0,0.16405,0,0,0,0.01558,0.21206,0.11973,0,5.89175,0,0.55433,0,0,0.44355,0.04253,0.10501,0,0
t__SGB15374,0.14428,0.32355,0.12233,0,0.0738,0.28684,0,0.11057,0.00188,0.0983,0.20068,0,0.21451,0.16809,0.39059,0,0,0.3339,0.10887,0,0,0.01649
t__SGB15154,0.14176,0.07779,0.00484,0.02931,0.0297,0.05314,0.00115,0.1194,0.00422,0.05504,0,0,0.02052,0.04061,0.03247,0,0.09053,0.18,0,0.49054,0.13938,0.34784
t__SGB4815,0.12692,0.38341,0.32962,0,0.24036,0.78432,0.12088,1.46533,0.84733,0.21979,0.0692,0,0.22164,0.28737,0.0889,0,0.08895,0.14998,0.19317,0,0.16078,0.03989
t__SGB2303,0.12259,3.93347,0,0,0.10567,0.25937,0,0.13393,0.02465,0.04008,0.02981,0.29383,0,0.0442,0.08075,0,0.0814,0,0.03487,0,1.03156,0.10251
t__SGB4571,0.12156,0.12272,0.35494,0,0.11798,0.4163,0.24293,0.189,0.66809,0.07241,0.17627,0,0.0603,0,0.01336,0.46647,0.41738,0.21316,0.11359,0,0.02024,0.03729
t__SGB4552,0.11803,0.80842,0.24317,0,0.25256,0.20983,0,0.37676,0.32304,0.18165,0.20347,0,0.10236,0.18745,0.3407,0.13379,0.40781,0.09765,0.31011,0,0.22395,0.0682
t__SGB4721,0.11369,0,0,0,0,0.01152,0,0,0,0,0.02146,0,0,0,0.1085,0,0,0.05489,0,0.10606,0,0
t__SGB4711,0.11353,0.00366,0,0,0.00576,0,0.00952,0.02399,0,0,0,0,0.02497,0.00855,0.02429,0,0,0,0,0,0,0
t__SGB4832,0.1123,0.08072,0.29934,0,0,0.07426,0.04727,0,0.75487,0.43375,0.08834,0,0.17903,0.13281,0.10981,0.08745,0,0,0.03004,0,0.23897,0
t__SGB4750,0.10512,0.05656,0,0.00578,0,0,0.01976,0.01014,0,0,0,0,0,0.0161,0.02707,0,0,0.00541,0.02149,0.01144,0.01175,0
t__SGB4940,0.10207,0.15432,0.15007,0.06745,1.43535,0.03112,0.68977,0.06656,0.06891,0.05567,0.26061,0.25744,0.07407,0.06334,0,0.1084,0.01978,0.00642,0.24393,0.16683,0.12718,0.06304
t__SGB4133,0.0994,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4584,0.09795,0,0,3.45052,0.16103,0.00129,0.01053,0,0,0,0,0.15031,0,0,0,0,0.19082,9.625,0,0,0,0
t__SGB4716,0.09466,0,0,0.01654,0,0,0.01953,0.00327,0,0,0.02044,0,0.02052,0,0.00414,0.02092,0,0,0,0,0.00427,0
t__SGB4767,0.08829,0.11577,0,0,0.04015,0.07027,0.02313,0.06788,0.00256,0,0,0,0.10207,0.00536,0,0,0.00845,0.06168,0.08566,0,0.03383,0.00047
t__SGB3964,0.08608,0,0,0,0,0.10356,0.05052,0.05761,0,0,0,0,0,0,0,0,0.1237,0,0,0.11276,0,0.29625
t__SGB15316,0.08269,0.08838,0.01534,0.02822,1.21868,0.90158,0,0.5157,0.30047,0.22993,0.12109,0,0.30374,0.03255,0.01951,0.54663,0.10503,2.57581,1.2309,0,0.21732,0
t__SGB4768,0.08253,0.01004,0,0,0.00065,0.00229,0.01751,0,0,0,0,0,0.04003,0.00207,0,0,0,0.01248,0.01382,0,0.01791,0.00076
t__SGB2328,0.08142,0,0,0,0.03313,0,0.02074,0.03524,0.02526,0.1715,0.04657,0,0,0.03562,0.00699,0,0.0072,0.09856,0.01976,0,0.19778,0.57038
t__SGB15053,0.07626,1.08874,0,0,0.04648,0,0,0,0,0.22816,0.20942,0,0.33467,0.0808,0.13692,0.41748,0,0.28718,0.22237,0,0,0
t__SGB15081,0.07365,0.09271,0,0,0.02439,0.0209,0,0.00235,0.00227,0,0,0,0,0.02658,0,0,0,0,0.00054,0,0,0.01194
t__SGB4778,0.06965,0.0345,0.01645,0,0.1319,0.03267,0.00911,0.21024,0.01534,0.02698,0.00957,0,0.02546,0.03656,0.00265,0,0,0.00848,0.06669,0,0.0239,0.00883
t__SGB4771,0.06958,0.0273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02972,0,0,0
t__SGB15078,0.06896,0.20598,0.01892,0.32684,0.12514,0.04972,0.19347,0.00129,0.00925,0.01857,0.04929,0.0193,0,0.00396,0.05033,0.06061,0.0246,0.30968,0.07656,0.20773,0.48281,0.42193
t__SGB6305,0.06839,0,0,0,0,0.52553,0,0,0.09402,0,0,0,0.03529,0.0047,0,0,0,0,0.00047,0.05235,0.15431,0
t__SGB4652,0.0671,0.9697,0.32781,0,0,0.14084,0.33876,0.54378,0.04989,0.06651,0.39623,0,0,0.0029,0,0,0,0.02037,0.5849,0,0.01495,0
t__SGB4964,0.06657,1.44586,0,0,0.27562,0.17464,0.0198,0.00784,0.08549,0.77463,0.22373,0,1.44314,0.24876,0.13054,0,0,0,0.14974,0.26042,0.01749,0.24265
t__SGB4119,0.06637,0,0,0,0,0,0,0,0,0,0,0.07926,0,0,0,0,0,0,0,0,0,0
t__SGB15267,0.06582,0,0,0,1.22471,0,0,0.05392,0.00393,0,0,0,0,0,0,0,0,0,0.18283,0,0.11214,0
t__SGB14909,0.0624,0,0,0,0,0.09976,0.02741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15225,0.0603,0.06491,0,0,0.02533,0.03042,0,0.0267,0,0.11935,0,0,0.03104,0.02981,0.08182,0,0,0,0.01237,0,0,0.05671
t__SGB6148,0.05702,0.00831,0.92089,0.28117,0.1731,0.15307,0.00432,0.00312,0,0.42462,1.09117,0.01628,0.06326,0.02754,0.4979,0.25063,0.59214,0,0.14049,0,0.00838,0.01443
t__SGB14125,0.05436,0,0,0,0.0164,0,0,0,0,0,0,0.50542,0,0.00205,0.00849,0,0,0.0254,0,0,0,0.07411
t__SGB4825,0.05162,0,0,0,0.37566,0,0,0,0,0,0,0,0,0,0,0.26677,0,0,0,0,0,0
t__SGB15233,0.05152,0.04029,0,0,0,0.04545,0,0,0,0,0.05777,0,0.29229,0.09608,0.17571,0,0.00058,0.03462,0.01495,0,0.5369,0.43426
t__SGB3957,0.04967,0.34516,0.10443,0,0.02741,0.3513,0.17407,0.15644,0.34013,0.24276,0.24537,0.42108,0.06139,0.08064,0.24643,0,0.31152,0.19057,0.23567,0,0.11216,0.41586
t__SGB3574,0.0491,0,0,0,0.02863,0,0.08089,0.0137,0,0.00382,0,0,0,0.03938,0.0455,0,0.09286,0.09022,0,0,0.09304,0.2986
t__SGB15452,0.04832,0.24794,0,0.00025,0,0,0.01893,0,0,0.0507,0.00155,0.3334,0,0.00164,0,0.09111,0,0.00307,0.1574,0.00065,0.16032,0.04688
t__SGB1855,0.04601,0,0,0.27669,0,0,0,0.06163,0,0,0.22627,0,0,0.00721,1.93462,0,0,0.09826,0.1682,0,0,0
t__SGB1877,0.04442,0.00768,0,0,0.03094,0.03267,0.01974,0.15567,0.0048,0.06778,0,0.74665,0,0.27986,2.9847,0.60994,0,0.93874,0.24871,0,6.15823,1.80433
t__SGB8007_group,0.0441,0.2529,0.46732,0.2209,0.24643,1.35704,0.24282,0.48839,0.04317,0,0.09945,0.1647,0.07765,0.00352,0.09063,0.13105,0.33609,0.01354,0.11625,0.0659,0.84747,0
t__SGB4687,0.04281,0,0,0,0,0.02171,0,0,0.00119,0,0,0,0,0.0049,0,0,0.00623,0.0137,0,0.08539,0,0.02527
t__SGB4804,0.0422,0.41879,0.56387,0,0.05879,0.03455,0.06607,0.60628,0.21323,0.46489,0.22366,0,0.08471,0.2632,0.14318,0,0,0.58369,0.20525,0,0.18819,0
t__SGB4753,0.04084,0,0,0.06131,0,0,0.00268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14749,0.0387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13007,0.18674,0,0,0,0.185,0,0
t__SGB14972,0.03752,0,0,0,0.00855,0.22296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB8002,0.03733,1.06252,2.04574,2.05878,2.23691,0.34018,0,0.12638,0,0.11403,0.11634,0.02066,0.03289,0.36786,0.12095,0,3.25664,0,0.16886,0.03486,0.01569,0.13125
t__SGB2286,0.03635,0.45228,0,0,0.03993,0.24335,0,0,0.01992,0.10009,0,0,0,0.02253,0,0,0,0,0.01939,0.9488,0.03708,0.05475
t__SGB15244,0.03424,0.10134,0,0,0,0,0,0,0,0.36368,0,0,0.48442,0.00336,0.21535,0,0,0,0.15684,0,0,0
t__SGB1815,0.03354,0.1749,0,0,0.05289,0.19477,0.02362,0,0.0237,0.13691,0.01012,0,0,0.36505,0,0,0,0,0,1.02202,0.42213,1.49171
t__SGB4770,0.03241,0.00743,0,0,0.02013,0.0137,0.01015,0.01154,0.0041,0,0,0,0,0.00403,0,0,0,0.00199,0.04992,0,0.01124,0
t__SGB25493,0.03103,0.02897,0.02449,0,0,0,0.02765,0.01646,0.07489,0.0473,0.01649,0,0.01913,0.05995,0.029,0,0.03195,0.0552,0.08321,0,0.05734,0.01303
t__SGB14807,0.03101,0,0.14525,0.09946,0.07535,0,0,0.00454,0.00031,0.01643,0,0.82996,0,0.0066,0,0.12957,0.10976,0,0.00225,0.05435,0.01822,0
t__SGB3959,0.02894,0.17164,0,0,0.05751,0,0,0.02694,0.20168,0.05594,0,0,0.0534,0.03097,0.10504,0,0,0.06035,0,0,0.00684,0.0536
t__SGB4727,0.02808,0,0,0,0,0,0,0,0,0.01262,0,0,0,0,0.00929,0,0,0,0,0.02908,0,0.0041
t__SGB2295,0.02783,0.14868,0,0,0.03574,0.09626,0.16637,0.0168,0.0061,0.25346,0.42066,0.42323,0.02783,0.02216,0.14733,0,0,0.05371,0.19704,0,0.47135,0.23638
t__SGB15271,0.02505,0.04503,0.00141,0.03416,0.03681,0.04555,0.05063,0.02151,0.04414,0.0091,0.00182,0.34581,0,0.01274,0.32961,0,0.03297,0.04595,0.01629,0.01873,0.06675,0.9895
t__SGB2290,0.02434,0.36859,0,0.00525,0.00766,0.05428,0.02365,0,0,0.09876,0.44024,0,0.02139,0.17654,0.072,0,0,0.02486,0.21296,0.08219,0.6787,0.35425
t__SGB14966,0.02364,0.00815,0,0,0,0.00653,0.00066,0.01423,0.01094,0,0,0,0,0,0,0,0.01593,0.0684,0.00396,0,0.02399,0
t__SGB15049,0.02201,0.00749,0,0,0,0,0.0125,0,0,0,0,0,0.01657,0,0,0.04349,0,0,0,0,0.00396,0
t__SGB15390,0.02093,0,0,0,0,0,0,0,0.01582,0.34845,0,0,0.0062,0.01291,0.30636,0,0,0.02233,0,0,0.04736,0.7358
t__SGB6140,0.01958,0.00035,0.1101,0.25236,0,0,0,0.04141,0,0,0.07112,0.02467,0.02247,0.04661,0.00252,0.06322,0.26247,0.09976,0.11716,0,0.15294,0.12423
t__SGB14921,0.01865,0.18809,0,0,0.03921,0.08209,0,0.04618,0.00616,0.24875,0,0,0.05818,0.14548,0.02233,0,0.04887,0.02423,0,0,0.04852,0.12779
t__SGB1934,0.01777,0.08219,0,0,0.02275,0.07328,0.06489,0.04869,0.01592,0.04195,0.15616,0.49066,0.03645,0.06938,0.42684,0.09454,0,0.12061,0.16205,0.02436,1.60612,0.06739
t__SGB4046,0.01753,0,0,0,0.00464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01305
t__SGB5082,0.01737,0.55217,0,0,0.11799,0.1766,0.04003,0.00747,0.01385,0.03276,0.00197,0,1.08904,0.00319,0.00743,0.25709,0.02825,0.00418,0,0.08541,0.2809,0
t__SGB14999,0.01638,0.0015,0,0,0.04526,0.00306,0.01647,0,0,0,0,0,0,0.00297,0,0,0.01106,0.02508,0,0.01619,0.07385,0.00654
