Abundance,SAMN03351695,SAMN03351542,SAMN03351487,SAMN03351503,SAMN03351584,SAMN03351571,SAMN03351475,SAMN03351603,SAMN03351602,SAMN03351489,SAMN03351666,SAMN03351563,SAMN03351468,SAMN03351659,SAMN03351447,SAMN03351485,SAMN03351448,SAMN03351537,SAMN03351599,SAMN03351478,SAMN03351453,SAMN03351689,SAMN03351647,SAMN03351461,SAMN03351495,SAMN03351476,SAMN03351708,SAMN03351718,SAMN03351482,SAMN03351454,SAMN03351444,SAMN03351521,SAMN03351466,SAMN03351477,SAMN03351627,SAMN03351544,SAMN03351713,SAMN03351706,SAMN03351467,SAMN03351677,SAMN03351449,SAMN03351510,SAMN03351608,SAMN03351452,SAMN03351723,SAMN03351490,SAMN03351492,SAMN03351450,SAMN03351493,SAMN03351441,SAMN03351555,SAMN03351628,SAMN03351672,SAMN03351633,SAMN03351497,SAMN03351566,SAMN03351532,SAMN03351703,SAMN03351486,SAMN03351578,SAMN03351648,SAMN03351572,SAMN03351617,SAMN03351455,SAMN03351543,SAMN03351442,SAMN03351481,SAMN03351660,SAMN03351549,SAMN03351460,SAMN03351595,SAMN03351479,SAMN03351446,SAMN03351577,SAMN03351488,SAMN03351445,SAMN03351484,SAMN03351654,SAMN03351469,SAMN03351513,SAMN03351483,SAMN03351506,SAMN03351491,SAMN03351451,SAMN03351496,SAMN03351443,SAMN03351494,SAMN03351480,SAMN03351683
s__Lawsonibacter_asaccharolyticus,,0.1477,0.00801,0,0.00237,0.19717,0.03361,0,0.07522,0.22294,0.07048,0.02872,0.00103,0.0,0.08911,0.03715,0.00044,0.0,0.51471,0,0.3201,0.06588,0.02931,0.00554,0,0.02178,0.00824,0,0.01066,0.26738,0.0393,0,0.01556,0.00351,0.0222,0.10248,0.04964,0.01115,0,0.1009,0.08361,0.11735,0.02564,0.06339,0.08276,0.01037,0.0366,0.00182,0.61199,0.022,0.04816,0.26232,0.31329,0.01798,0,0.20556,0.00617,0,0.00043,0.18817,0.48661,0.00502,0.00889,0.00325,0.04107,0,0.00344,0.06352,0.0119,0,0.24266,0.00303,0.15086,0.00456,0,0.00808,0,0.01528,0.01902,0.02102,0,0.04328,0.03685,0,0.00961,0.0429,0.02388,0.12105,0.01583
s__Candidatus_Cibionibacter_quicibialis,,0.14571,0.47971,0.35017,1.36074,0.015,2.25062,0,0.07925,0.15248,0.46127,0.45686,0,0.0,0.41675,0.1356,0,0.0,0.64114,0.29656,0,1.23689,0,0.57072,0,0,1.15293,0.1941,0.25827,0,0.041,0.14273,0.13544,0,1.45243,0.18782,0.33294,0.85938,0,0.08005,0.55991,0.07314,1.75925,0.2393,1.05949,0.05814,0.08713,0.01543,0.08358,0.70784,0.17503,0.56595,0.00725,0,0,0.09073,0.01996,0.04206,0.52523,2.13473,0.31761,0.14137,3.50685,0.0271,0,0.2458,0.31336,1.29751,1.28083,0.09607,0.22314,0.06541,0.38305,0.428,1.01021,0.35322,0.70632,1.30728,0.47154,0.16363,0.30052,0,0.43264,0,0,0.30834,0.52814,1.38267,0.39428
s__Faecalicatena_fissicatena,,0.13935,0.08694,0.15042,0.31814,0,0.00063,0,0,0,0,0.45082,0,0.0,0.02601,0.03378,0.07482,0.0,0.35974,0.02721,0.00561,0.00796,0,0,0.03802,0,0.07115,0,0,0,0,0.02465,0,0,0.04409,0.0084,0,0.02791,0,0.07568,0,0.34342,0.03011,0,0.1798,0.00175,0,0,0,0.06875,0.01542,0.0286,0,0,0,0.59582,0.0183,0.02156,0,0,0.44177,0,0,0,0,0,0.00937,0,0.57376,0,0.61582,0.00731,0.12345,0.78974,0.04019,0.305,0.08491,0.06315,0,0.02882,0.24187,0,0,0,0.00573,0.01136,0,0.3949,0.30117
s__Dorea_formicigenerans,,0.13135,0.02537,0.03093,0.09077,0.01287,0.01655,0,0.22285,0.12914,0.00943,0.01388,0.00032,0.0,0.0861,0.01283,0.02443,0.0,0.01939,0.03459,0.06404,0.00471,0.00925,0,0.01077,0.09042,0.04273,0.00168,0.03449,0,0.22233,0.0341,0.04639,0.00627,0.01362,0.02305,0.15389,0.08304,0,0.02256,0.29947,0.02831,0.10509,0.01883,0.09072,0.00867,0.02427,0.00214,0.05261,0.06507,0.05061,0.14606,0.03627,0,0,0,0.00149,0,0.06787,0.00175,0.34344,0.00598,0.02557,0.02488,0.01765,0.01173,0.10373,0.05572,0.01573,0.08766,0.12982,0.01738,0,0.0028,0.07304,0.13329,0.04656,0.23104,0,0.08128,0,0,0.05806,0,0.03405,0.01301,0.03006,0.08705,0.01808
s__GGB9627_SGB15081,,0.12996,0,0,0,0,0,0,0,0.08617,0,0.01475,0,0.0,0,0,0,0.0,0,0,0,0.06645,0,0.10341,0,0,0,0,0,0,0,0,0,0,0.01257,0,0,0,0,0.01045,0,0,0,0.02062,0,0,0,0,0,0.01658,0,0,0,0,0,0.07652,0,0,0.00208,0.17018,0,0,0,0,0,0,0.02221,0,0,0,0,0,0,0,0.01725,0.13746,0,0,0,0,0,0,0,0,0,0,0,0,0.00768
s__Coprococcus_comes,,0.12428,0.01861,0.02192,0,0,0.05249,0,0.03246,0.30671,0.04554,0,0,0.0,0.06478,0.00651,0,0.0,0.16701,0.09958,0.01477,0.00924,0,0.16977,0,0.05346,0,0,0.07053,0,0.0666,0.03887,0.08831,0,0.12792,0.00089,0,0.8416,0,0.12791,1.44771,0.12849,0.11293,0.08678,0.16836,0,0.0036,0,0.03927,0.07472,0,0,0.02386,0.01088,0,0.26319,0.00829,0.01005,0.04592,0.0232,0.17808,0.01089,0,0,0,0.08594,0.03037,0,0.06018,0.01281,0.15684,0.0088,0.17631,0.01117,0.09716,0.12491,0.02393,0,0.07842,0.01009,0.01866,0.04621,0.02805,0,0.04,0.54234,0.03701,0.4364,0.00517
s__Dysosmobacter_sp_NSJ_60,,0.10929,0.02309,0,0.0253,0.00055,0.00793,0,0.01622,0.05566,0.06951,0,0,0.0,0.01878,0,0.08538,0.0,0.06673,0.03665,0,0.01616,0,0.02277,0.08821,0.00763,0.04365,0,0.02093,0,0.04784,0,0.04313,0.01016,0.01174,0.02416,0.00543,0.01866,0,0.0177,0.15483,0.02685,0.00772,0.05385,0.0444,0.01874,0,0.02698,0.16522,0.0043,0.0454,0.04661,0.00106,0,0,0.0249,0,0,0.0101,0.01584,0.10933,0.00132,0,0,0.01367,0,0.00373,0.00528,0,0,0.02907,0.00584,0.08536,0,0,0.01141,0.00039,0.02932,0,0.0006,0,0.00497,0.01659,0,0.01522,0.01518,0.0172,0.0909,0.00219
s__GGB2653_SGB3574,,0.10473,0,0,0.10984,0,0.00632,0,0.009,0.00163,0.0196,0.03962,0,0.0,0.11484,0,0,0.0,0,0,0,0.00975,0,0.0134,0.01612,0,0.02252,0.0069,0,0.00221,0.26099,0,0.20392,0,0,0,0.00618,0.00507,0,0,0,0,0.01881,0,0,0,0,0,0,0.06192,0,0.02781,0,0,0,0.01062,0,0,0.04844,0.06405,0.03685,0.01937,0.10258,0.01039,0,0,0.03164,0.0087,0.23363,0.05768,0.03116,0,0.00256,0.01976,0.02827,0.05396,0,0,0,0.01047,0,0,0.00116,0,0.01344,0.00249,0,0.07103,0
s__Blautia_massiliensis,,0.10233,0.04334,0,0.12973,0,0.01501,0,0.02249,0.10084,0.21096,0,0.00742,0.0,0.05323,0.00496,0.08911,0.0,0.14645,0.01828,0,0.02997,0,0.184,0.03048,0,0.06363,0,0.0102,0,0.00798,0,0.05728,0.00325,0.00959,0,0,0.0085,0,0.09961,1.95666,0.18635,0.02687,0.00394,0.11895,0,0.00425,0,0.10313,0.61268,0.00108,0,0.04842,0.02745,0.00065,0.08175,0.00021,0,0,0.02832,0.27747,0.00407,0.05159,0,0.01972,0.03215,0.04729,0.00343,0.03116,0,0.06699,0,0.02155,0,0.03986,0.02421,0.01268,0,0.30365,0,0,0.00142,0.01118,0,0,0.41621,0.07985,0.31904,0.06712
s__GGB9501_SGB14898,,0.09917,0.00146,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00531,0,0,0,0,0.01783,0,0,0,0.01827,0,0.0151,0,0.00542,0.00499,0,0,0,0,0,0,0,0,0,0.00596,0,0,0,0,0,0,0,0,0,0,0.03159,0,0,0,0,0,0,0,0,0,0.0095,0.00485,0,0,0,0,0,0,0,0,0,0,0,0,0.01029,0.02721,0
s__GGB9619_SGB15067,,0.08556,0.01869,0,0,0,0,0,0.0166,0,0,0.00189,0,0.0,0,0,0.00917,0.0,0,0,0,0,0,0,0,0,0,0.01994,0,0,0,0,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01816,0,0.00951,0,0.08679,0,0.01465,0,0,0,0,0,0,0,0,0,0,0,0.00583,0.081,0
s__Lacrimispora_amygdalina,,0.08372,0.07156,0,0.00713,0,0,0.02043,0.01939,0,0.00248,0.00734,0,0.0,0,0.03271,0.10503,0.0,0,0.00384,0.03063,0,0.05286,0.00666,0.03086,0.01956,0,0.05562,0,0.06463,0.04955,0.03149,0,0.00166,0.00018,0.00876,0,0,0,0,0.01632,0,0,0,0,0.03466,0,0.01172,0,0,0.05409,0.00268,0,0,0,0.11723,0,0.07248,0,0,0.06114,0,0,0,0.00534,0,0,0.00644,0.05736,0,0.2046,0,1.23598,0.02086,0.03384,0.0637,0.0003,0.00237,0,0.00873,0.00322,0,0,0,0,0,0.06877,0.06536,0.00301
s__Clostridiaceae_bacterium_AF18_31LB,,0.07359,0.01142,0.00114,0,0,0,0,0.06547,0,0.04273,0.01699,0,0.0,0.00085,0.04245,0,0.0,0,0,0.12699,0.01783,0.0307,0.03479,0,0.0364,0,0,0,0,0,0.27889,0.03319,0,0.04736,0.02202,0.032,0.07688,0,0.00518,0.10731,0.14048,0.01071,0,0.04601,0.02068,0,0.00774,0,0,0.03482,0.06086,0.00475,0,0,0.02621,0,0.02349,0.00551,0.09558,0.42955,0,0,0.00071,0,0,0.00576,0.00812,0.11387,0.0214,0.22652,0,0,0.03763,0.26628,0.11599,0.02591,0,0,0.03493,0,0,0.01049,0,0,0,0.37304,0,0.09251
s__Candidatus_Metalachnospira_gallinarum,,0.07209,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02823,0,0,0,0,0,0,0,0,0.00373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Anaerostipes_hadrus,,0.07135,0.08583,0,0.06281,0.01819,0.1051,0,0.04564,0.2466,0.08412,0.00172,0,0.0,0.06865,0.05649,0.19242,0.0,0.88364,0.08803,0.00628,0.02364,0.03893,0.05126,0.04082,0.07367,0.01631,0.0242,0.03548,0,0.00869,0.03776,0.01433,0.04612,0.02845,0,0,0.03562,0,0.01835,4.04034,0.23505,0.1731,0.00455,0.10238,0,0.00993,0,0.0478,0.4988,0.14047,0,0.04734,0.06168,0,0.18799,0,0.05367,0.12917,0.01276,0.47794,0.00722,0,0.00585,0.05609,0.00792,0.03828,0.00294,0.15332,0,0.12698,0,0.08733,0.02358,0.15067,0.07964,0.00697,0.00182,0.0894,0,0.00198,0.23506,0,0,0.00444,0.82098,0.03515,0.2588,0.11611
s__Blautia_sp_OF03_15BH,,0.0708,0,0,0,0,0,0,0,0.00375,0,0,0,0.0,0.00551,0,0,0.0,0,0,0,0,0,0,0,0.00172,0,0,0,0,0,0,0.00528,0,0,0,0,0.00591,0,0,0,0,0,0,0,0,0,0,0,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093,0,0,0,0,0.02509,0,0,0,0,0.00037,0.00204,0,0,0,0,0,0,0,0,0.00605,0.00023,0,0
s__GGB9760_SGB15373,,0.06313,0.18757,0.05464,1.54985,0,0.10051,0,0,0.11547,0.04791,0.01218,0,0.0,0.06188,0.02136,0,0.0,0,0,0,0,0,0.01476,0,0,0,0.01389,0.05212,0,0,0,0.03269,0,0,0.01394,0,0.00314,0,0,0.06474,0,0.37674,0.05621,0,0,0.01291,0,0,0,0.09091,0,0,0,0,0.07502,0,0,0,0,0,0,0.82543,0,0,0,0.12511,0,0.04503,0,0.0853,0.01491,0,0,0,0.04759,0.02284,0,0.14236,0,0.01885,0,0.03959,0,0,0,0.07664,0.06935,0.03641
s__GGB9480_SGB14874,,0.06298,0,0,5.32207,0,0.90792,0,0,0,0,0.06848,0,0.0,0,0,0,0.0,0,0.00214,0,0,0,0,0,0,0.20679,0,0,0,0,0,0,0.01266,0,0,0,0,0,0,0,0.30061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72075,0,0,0,0,0.84072,0,0,0,0,0,0,0,0,0,0,0,0.27476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Blautia_faecis,,0.05987,0.00994,0,0.64065,0,0.05099,0,0.00597,0.14924,0.23222,0.00765,0,0.0,0.06862,0.00938,0.28839,0.0,0.44658,0.00445,0,0.05293,0.009,0.05231,0.0742,0.02297,0.05373,0.01277,0,0,0,0.04488,0.03444,0.01231,0.00448,0.0071,0,0.19237,0.71312,0.00893,0.55263,0.07819,0.04482,0.05398,0.091,0,0,0.00436,0.02552,0.17152,0.0137,0,0.00395,0,0,0.15338,0,0.00985,0.01119,0.03244,0.09357,0.01428,0.0844,0,0.01685,0.04943,0.027,0.02588,0.0585,0,0.16105,0.00431,0.75564,0.00361,0.00463,0.07792,0.02341,0.0011,0.22351,0,0.00063,0.03977,0.06177,0,0,0.97539,0.01224,0.22058,0.11022
s__Ruthenibacterium_lactatiformans,,0.05986,0.07701,0.00607,0.86695,0,0.11726,0,0.07725,0.38996,0.05968,0.01218,0,0.0,0.11761,0.00393,0.16981,0.0,0.39346,0.19188,0.14511,0.03772,0.15659,0.33989,0.31985,0.03829,1.47785,0.01279,0.03042,0.07982,0.78769,0.0428,0.08645,0.06873,0.09032,0.01364,0,1.89812,8.01018,0.02353,0.26505,0.09013,0.66094,0.02271,0.98784,0.3427,0.01542,0.04708,0.10187,0.1048,0.01962,0,0.08735,0.19119,0,0.01701,0.00358,0,0.07524,0.06649,0.21989,0.04117,0.31299,0.00116,0.05816,0.41379,0.01431,0.00027,0.0884,0.00059,0.14636,0.19476,0.02196,0.0048,0,0.19422,0.01038,0.11276,3.55684,0,0,0.89664,0.09947,0,0.62518,0.37259,0.01429,0.20896,0.01139
s__Clostridium_fessum,,0.05212,0.02506,0,0.17411,0.00845,0.00449,0,0.02085,0.09827,0.03404,0.00263,0,0.0,0.03651,0.01173,0,0.0,0.05067,0,0.09737,0,0.01172,0.04398,0,0.08172,0.08281,0,0.00446,0,0,0.03717,0.05922,0,0.01341,0.01316,0,0,0,0.01917,0.36497,0.10751,0.04002,0,0,0.00879,0,0,0,0,0.01906,0,0.00052,0,0,0.01737,0,0,0.00515,0,0.2997,0,0,0,0.00675,0.00079,0,0.01063,0.04445,0.01913,0,0.06185,0.27296,0,0,0.16419,0.113,0.12456,0,0,0,0,0,0,0.00612,0,0.03279,0.12946,0
s__Clostridium_sp_AM33_3,,0.03521,0,0,0,0,0,0,0.00273,0.0127,0.00335,0,0,0.0,0.0026,0.00152,0,0.0,0,0.0028,0.00549,0.00229,0,0,0,0,0,0,0,0,0,0.00213,0.00281,0,0,0,0,0,0,0.00251,0.0072,0.01687,0,0,0,0,0,0,0,0,0,0,0,0.00653,0,0,0,0.00129,0,0,0.0711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502,0,0,0,0,0,0,0,0,0,0,0.00415,0,0.01102
s__Faecalibacillus_intestinalis,,0.03064,0.00287,0,0.02855,0,0.0109,0,0.09697,0.05199,0,0,0,0.0,0.0016,0.01627,0,0.0,0,0.01815,0,0,0.02374,0.03128,0,0,0,0.01056,0,0,0,0.16094,0.00593,0,0.00788,0.00619,0.00812,0.05191,0,0.00401,0.22118,0,0.08544,0.01026,0.06036,0,0,0,0.0338,0.02094,0,0.02712,0.0366,0,0,0.01463,0,0.00276,0.02866,0,0,0,0,0,0.00733,0,0,0,0,0,0.11365,0,0.0344,0.01808,0.07829,0.09424,0,0,0.02553,0.00167,0,0,0,0,0,0.09077,0.0751,0.11344,0.03167
s__GGB3602_SGB4574,,0.02974,0,0,0,0,0,0,0,0.00297,0,0,0,0.0,0,0,0,0.0,0.00201,0,0,0,0,0,0,0,0,0,0.01584,0.01295,0,0,0,0,0,0,0,0.01746,0,0,0.46543,0,0.01939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0.02052,0,0,0,0,0,0,0,0.00488,0,0,0,0,0,0,0,0.11822,0,0,0.02523,0,0,0,0,0,0,0
s__Eisenbergiella_massiliensis,,0.02557,0,0,0.03061,0,0.00147,0,0,0,0,0,0,0.0,0,0,0,0.0,0.00032,0,0,0,0,0.03874,0.04319,0.01159,0,0,0,0,0,0,0,0,0,0,0,0,0.98658,0,0,0,0,0,0,0,0,0,0.05951,0,0,0,0,0,0,0.0574,0,0,0,0,0,0,0,0,0.00347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00709,0,0,0.01315,0,0.00853,0
s__Agathobaculum_butyriciproducens,,0.02462,0.02703,0,0,0,0,0,0.02358,0.05096,0.01057,0.01124,0,0.0,0.03356,0.0084,0.09192,0.0,0.05919,0.01134,0,0.05419,0.01865,0,0.04898,0.04494,0,0.0448,0,0.03068,0.03356,0,0,0.00346,0.0164,0.02235,0,0,0,0.11908,0.52395,0.15542,0.03378,0.00224,0.00449,0,0,0.01128,0.05892,0.0882,0.01783,0,0.01188,0.02025,0,0.00274,0,0,0.01789,0.09608,1.17991,0,0.03682,0,0.03614,0,0.0071,0.00745,0.17317,0.04335,0.49319,0.00887,0.01997,0.12571,0.09288,0.03291,0.00063,0.01875,0,0,0.0023,0.02227,0.0198,0,0,0.51588,0.07615,0.00056,0.02652
s__GGB9210_SGB14149,,0.02236,0,0.14741,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04143,0,0.14759,0,0,0,0,0.00357,0,0,0,0,0.03194,0,0,0,0,0,0,0,0.07916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43424,0,0,0,0,0,0,0,0,0,0,0,0,0.04143,0
s__Clostridiales_bacterium_Choco116,,0.02025,0,0,0,0,0,0,0,0,0,0,0.00676,0.0,0.07507,0,0,0.0,0,0,0.08314,0,0,0,0,0,0,0.00655,0,0,0,0,0.0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10267,0,0,0,0.18093,0,0,0,0.0115,0,0.10188,0.42399,0,0,0,0,1.24784,0,0,0,0,0,0.03317,0,0,0.11457,0
s__GGB14025_SGB14906,,0.01997,0,0,0,0,0.21606,0,0,0.03974,0,0,0,0.0,0,0,0.56023,0.0,0,0.01546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,0.00186,0.00804,0,0,0,0,0.02867,0,0.00631,0,0,0,0,0,0,0,0.05123,0,0,0,0,0,0,0,0,0.08676,0,0,0,0,0,0,0.00553,0.0182,0,0.00732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03383,0,0,0
s__GGB9699_SGB15216,,0.01822,0.02055,0.11597,0,0.00547,0.03457,0,0,0.06901,0,0.03811,0,0.0,0.12488,0,0.09986,0.0,0.0785,0,0,0.07039,0,0,0.07168,0,0,0,0.01627,0,0,0,0.00998,0.00098,0.28721,0,0.01507,7.46958,0,0.05117,0,0,0.29219,0.03207,0.30446,0,0.00791,0,0,0.00034,0.08904,0.0766,0,0,0,0.12414,0.00896,0,0,0.06843,0,0.02524,0.03291,0,0,0.0051,0.07176,0.00855,0,0,0.12779,0.03023,0.46793,0.01466,0.02359,0.19788,0.01258,0,0,0.01152,0.00218,0,0.00852,0,0,0.02542,0.00915,0.40555,0.21481
s__Faecalibacterium_SGB15346,,0.0173,0.31235,0.12184,0,0,0.10215,0,0,0,0,0,0,0.0,0.02426,0.10773,0,0.0,0,0.30536,0,0,0,0,0,0,0,0,0,0,0,0,0.03876,0,0.76538,0.4785,0.15379,0,0,0,0,0.48817,0,0,0.03727,0.01362,0.07078,0.0067,0,0.02196,0.05022,0.04813,0,0,0,0,0,0,0.12359,0,1.30518,0,0,0.0231,0,0.00286,0.01151,0.01212,0.17405,0,0,0,0,0,0.1183,2.12521,0.49618,0,0,0.02958,0.05001,0,0,0,0,0.17497,0.46474,0,0.50385
s__Enteroscipio_rubneri,,0.01672,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Anaerotruncus_colihominis,,0.01533,0.01302,0,0.08347,0,0,0,0,0.01154,0.00097,0,0,0.0,0.01921,0,0.03392,0.0,0.04079,0,0,0,0,0,0.00233,0,0.07031,0,0,0,0,0,0,0.01992,0,0,0,0.00088,0.00385,0,0.016,0,0.00637,0,0.04757,0,0,0,0.02159,0,0,0.01226,0,0.03628,0,0,0,0,0,0,0.00419,0,0,0,0,0,0,0,0.00313,0,0.00233,0,0.00459,0,0,0,0,0,0,0,0,0.14835,0,0,0,0,0,0.01605,0
s__Eggerthella_lenta,,0.01514,0,0,0.08626,0,0,0,0,0.00041,0.02037,0,0,0.0,0,0,0.00282,0.0,0.02459,0,0,0,0.0053,0,0,0.01664,0.02278,0,0,0,0.00686,0.161,0,0.00092,0,0,0,0.0575,0.01836,0,0.00132,0,0.00573,0,0,0,0,0,0.01747,0.03293,0,0,0.00352,0.00324,0,0,0,0,0.02821,0,0,0,0,0,0.00191,0,0,0,0,0,0.01748,0,0,0,0,0,0,0,0.02768,0,0,0.02143,0.00512,0,0,0.00316,0.00077,0.01287,0
s__Desulfovibrio_SGB5077,,0.01499,0,0,0.22843,0,0,0,0,0.0073,0,0,0,0.0,0,0.14818,0.44447,0.0,0,0,0,0.14621,0,0,0.11596,0,0,0,0.0371,0,0,0,0,0,0.00016,0.07562,0.16631,0.00166,0,0,0.19074,0,0,0,0,0,0,0,0.03712,0,0,0.48754,0,0,0,0,0,0,0,0.04599,0.23546,0,0,0,0.28468,0,0,0,0,0.16633,0.21023,0.28475,2.92985,0,0,0,0.11906,0,0,0.34117,0,0,0,0,0,0,0.04099,1.31161,0.2862
s__Intestinimonas_butyriciproducens,,0.01466,0.024,0,0.02448,0.01969,0.08115,0,0,0,0,0.04341,0.00124,0.0,0.00513,0,0.17707,0.0,0.04667,0.00592,0,0,0.08544,0,0.17521,0,0.25956,0,0.02207,0.07882,0.00233,0,0,0.01662,0,0,0.02232,0.00768,2.05645,0,0.00599,0,0,0,0,0.02107,0,0.01244,0.02466,0.09841,0.00654,0.04782,0,0,0,0,0,0,0.0161,0,0.00437,0,0,0,0,0,0.00052,0,0.04793,0,0.06457,0.00561,0.05117,0.05141,0,0,0.00346,0.02714,0.24122,0.00377,0.01584,0,0,0,0,0,0,0.01953,0.05686
s__Coprococcus_SGB4669,,0.01359,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.00043,0,0.0,0,0,0,0.03537,0,0.04816,0,0.01216,0,0,0,0,0,0,0.02699,0,0,0.01497,0.00888,0.05304,0,0,0,0.03502,0,0,0,0,0,0,0,0.01955,0,0.03066,0,0,0,0,0,0,0.01544,0.04132,0.08413,0,0.0636,0,0,0,0,0,0,0,0.07635,0,0,0,0,0.00188,0,0,0,0.00129,0.01815,0,0,0,0,0,0,0,0.02543
s__Lachnospiraceae_bacterium_OM04_12BH,,0.01274,0.28259,0,0,0,0.05934,0,0,0.00271,0.00235,0.03335,0,0.0,0,0.41525,0,0.0,0,0.52252,0,0,0,0,0,0,0.00947,0,0,0,0,0,0,0.16765,0.006,0,0.00294,0,0,0,0,0,0,0,0,0,0,0,0,0.02915,0.29302,0.01799,0,0,0,0,0,0,0,0,0.01866,0,0,0,0,0.14114,0,0,0.38258,0.01532,0.00033,0,0,0,0.0073,0.02114,0.02551,0.01622,0,0.0015,0,0,0,0,0,0.02373,0.08074,0.05937,0
s__GGB9529_SGB53518,,0.01163,0,0,0,0,0,0,0,0.00027,0,0,0,0.0,0,0,0.08001,0.0,0,0.05893,0,0,0,0,0.07994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0.02619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715,0,0,0
s__Dorea_sp_AF36_15AT,,0.0111,0.00288,0,0.0118,0,0.00482,0.02397,0,0.02025,0.00758,0,0,0.0,0.00235,0.00163,0.02547,0.0,0.00056,0,0,0,0,0.02021,0,0,0,0,0,0,0,0,0.02557,0.00946,0,0,0,0,0,0.00458,0,0,0,0.00044,0,0,0.00156,0,0,0.00922,0,0,0.00668,0,0,0,0.0028,0,0,0.01151,0.00763,0,0,0,0,0.01589,0.0561,0,0,0,0,0,0,0,0.01373,0,0,0.04951,0.02926,0,0,0,0.00027,0,0,0.02039,0.02093,0,0
s__Turicibacter_bilis,,0.01053,0,0,0,0,0,0,0.02992,0,0,0,0,0.0,0,0.00065,0,0.0,0,0,0,0,0,0,0,0.00071,0,0,0,0,0,0,0,0,0.00212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02186,0,0,0,0,0.03472,0,0.00697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06723,0,0,0,0,0,0,0,0,0,0
s__Phocea_massiliensis,,0.00927,0.01047,0,0,0,0,0,0.06413,0.01024,0,0.02857,0.126,0.0,0,0,0.05769,0.0,0.01848,0.02628,0,0,0.00906,0.00334,0.08199,0.03005,0,0,0,0.03444,0,0,0.02722,0.01708,0.01174,0.00473,0.02549,0,0,0.01275,0.01717,0,0,0,0,0,0.00195,0,0.04087,0.00795,0.01446,0.05741,0.01053,0,0,0,0,0,0,0,0.01967,0,0.0082,0.01868,0.02794,0,0,0.02638,0,0,0.01488,0.01004,0.0243,0.00923,0,0.00172,0.00412,0.00264,0.00822,0.02165,0,0,0.00502,0,0.00032,0,0.00309,0.03579,0
s__GGB79734_SGB15291,,0.00903,0,0,0,0,0,0,0,0,0,0.07067,0,0.0,0.13299,0.1596,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04873,0,0,0,0.0406,0,0,0.00573,0.04916,0,0.02036,0,0.01975,0,0.00451,0.0215,0,0,0,0,0,0,0,0.01162,0,0,0,0,0,0,0.00885,0.01168,0,0,0,0,0.00403,0,0,0.04156,0,0.00487,0,0,0,0,0,0,0,0,0,0,0,0.0661
