Abundance,PSM6XBSE,ESM5GEZA,PSM6XBSG,CSM5MCYU,CSM67U9H,MSM5LLIQ,CSM7KOU7,CSM79HLY,CSM5FZ4E,MSM9VZN4,CSM67U9T,MSM79H9U,CSM79HGH,CSM67UEW,CSM7KOUJ,CSM67U9R,HSM5MD44,CSM79HQT,ESM5MEC7,CSM5MCYO,CSM79HGD,CSM79HGL,CSM5FZ4G,MSM5LLHV,CSM5MCYQ,CSM7KONY,ESM5MEA7,CSM7KONS,CSM79HNG,CSM79HQR,CSM5MCUW,ESM5GEZ6,ESM5MEEJ,CSM79HGJ,MSM79HF1,CSM5MCUQ,CSM5MCUS,CSM7KONW,CSM79HPM,ESM5GEZ4,CSM7KOQ5,MSM6J2N6,HSM7J4JV,CSM5MCUE,CSM5MCUY,CSM79HM5,MSM9VZJF,CSM67UF1,ESM5MEAB,MSM5LLFU,CSM79HM9,CSM5MCUC,CSM67U9P,CSM5MCU8,HSM7CZ2X,HSM7CZ1T,CSM5MCUG,PSM7J1C2,CSM5FZ4K,CSM7KOMR,HSM5MD87,MSM5LLFK,CSM5MCYM,CSM5MCUK,CSM5MCWM,HSM6XRQE,CSM67UEP,ESM5MEA9,HSM7J4JT,MSM5LLFM,CSM67UET,CSM5MCWS,CSM79HGF,CSM79HGN,HSM5MD47,CSM7KOMV,MSM79HD8,CSM5MCTZ,CSM5MCUA,HSMA33P2,CSM5MCXB,CSM79HPQ,CSM5FZ4A,MSM9VZNV,MSM5LLFO,MSM79HD6,CSM5MCYI,HSM5MD43
s__Dielma_fastidiosa,,0.01019,0,0,0,0,0.35065,0,0,0,0.00361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138,0.03861,0.00527,0,0,1.08462,0.05286,0,0,0.01964,0,0,0,0,0.14814,0,0.01228,0,0,0,0,0,0,0,0,0,0.0284,0,0.00537,0,0.02504,0,0,0.09026,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.03186,0,0,0,0,0,0.00227,0,0,0,0
s__Enterocloster_citroniae,,0.00819,0,0,0.00077,0,0,0,0,0,0.00116,0,0,0,0,0,0,0,0,0,0.04059,0,0,0.06626,0,0,0,0,0,0,0,0.04271,0,0,0,0,0,0.07524,0,0,0,0,0,0,0,0,0.02153,0,0,0,0,0.00847,0,0.02654,0,0,0,0,0,0,0,0,0,0.00253,0,0,0,0,0,0,0,0.0,0.0377,0,0,0,0,0.0011,0,0,0,0.00117,0,0,0,0,0,0
s__Enterocloster_lavalensis,,0.00526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08361,0,0.004,0,0,0,0,0,0,0,0.12939,0.07164,0.01315,0,0,0,0.03028,0.00522,0,0.01425,0,0,0,0,0.02129,0,0,0,0,0,0,0.05281,0,0.05343,0,0,0,0,0,0,0,0,0,0.01043,0,0,0,0,0,0,0,0.0,0.01387,0,0,0,0,0,0.01465,0,0,0,0.04086,0,0,0.01625,0,0
s__Pseudoflavonifractor_gallinarum,,0.00244,0,0,0,0,0,0,0,0,0.01529,0,0,0,0,0,0,0,0,0,0,0,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01039,0,0,0,0,0.0068,0,0,0,0,0,0,0,0,0,0,0.0,0,0.00203,0,0,0,0,0,0,0,0,0,0,0.00547,0,0,0
s__Waltera_intestinalis,,0.00114,3.49662,11.32454,0.56062,0,0.30152,0,0,0.03536,0.01401,3.87811,1.27117,0.0688,0.21629,0.45074,0,0.02889,0.1477,0.02079,0.52075,11.07071,0,0,0.07193,0,0,2.45502,0.16412,0,0,0.03106,0,11.6295,0.01953,0,0,7.03959,20.87127,0,0,0,0,0,0,0,0.7704,0.11065,0,0,0.2048,0,1.34605,0,0,0,0,0,0,0.00538,0,0,0.37503,0.05944,0,0,0,0,0.00391,0,0,0.0,4.15213,0.2123,0,0.04675,0.00064,0,0,0.1731,0.09116,13.89556,0,0,0,0,0.14518,0
t__SGB2318,,8.66373,0.17601,0,0,0,4.45174,0,5.02337,0.02111,0.0062,0.50709,0,0,0.01002,0,0,0,1.09972,0.85663,0,0,6.56596,0,0,0,0.24539,0,23.03302,0,2.03262,8.79335,0,0,0.00484,2.93446,2.09479,0.41588,0,0,0.15739,1.28569,2.56948,0.05311,2.22623,0,0.01716,0,0,0,0.15792,0,0,0.13895,0,0,3.04614,0,5.60347,0,0,0,0,6.37929,3.9015,0,0,0,0,0,0,0.0,0,0,0,0,1.68114,3.54442,0,0.94298,0.35263,0,0,0,0,7.54861,0,0
t__SGB1815,,6.83405,2.19778,1.35264,0.91134,0,1.72139,0,14.19214,9.11221,15.44451,0.37752,3.85254,0,7.75941,6.0214,0.16065,0,0.51715,0.17908,3.6485,5.76239,20.11085,0.4058,0,0.18999,0.67698,0.24506,0,0,25.55999,8.38309,4.50365,3.96822,0.61321,22.76385,13.94268,0.81444,1.57069,8.37094,0,0.67201,0,0,25.24501,0,0.04961,0,0,0,0.78255,0,3.31923,0,0,0,0,0.01217,25.0718,0,13.32564,0,0.31264,0,45.42332,0,0,0,0,0,0,0.0,3.47081,1.09015,9.59038,0,0.04799,0.30812,0,0.04082,0,0.49897,0,0,0,0.76344,0.10675,11.79529
t__SGB4644,,4.9096,0,0,0,0,0.06313,0,0,0,0,0,0,0.04921,0,0,0,0.0148,0.02491,0,0,0,0,0,0.10353,0,0,0,1.31666,0,0.07635,1.53102,0,0,0.17656,0,0.22486,0,0,0.73232,0,0,0,0.03942,0.13259,0,0,0.20054,0,0.13192,0.15758,0,0,0,0,0.91207,0,0,0,0.25842,0.31691,0,0.06187,0,0,0,0,0,0,0,0.46239,0.0,0,0,0,0.19291,0,0,0,0.06533,0.05204,0,0,0,0.08959,0,0.12981,0
t__SGB1949,,3.33345,0,0,0,0,0.71019,0,0.00347,0.42746,0,0.24216,0,0,0,0,0,0,0.31696,0.08611,0,0,0,0,0,0,0,0,0,0.66682,6.39553,1.45679,1.65519,0,0.29247,4.65894,6.2858,0.07856,0,2.84391,0.0279,0.30833,1.50145,0.91991,4.7572,0,0.15573,0,9.53084,0,0.02703,2.27927,0,1.3713,2.48598,0,0.11347,6.94064,0,0,5.71044,0,0,0.11272,0,0,0,6.95997,2.91357,0,0,0.0,0,0,0,0,0.20206,0.39883,2.42424,0.58925,0.01471,0,1.29823,3.97818,0.00353,0.52291,0,0.49184
t__SGB15333,,2.67855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03082,3.04481,0,0,0,0,0,0,1.08353,0,1.9078,0,0,0,0,1.47622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.12186,0,0,0,0,0,0,0
t__SGB15053,,2.22552,0,0,0,0,0.76304,0,0,3.88846,0,0.10523,0,0.03958,0.33602,0,0,0.0726,0,0.07394,0,0,0.02065,0,0.17224,0,0,0,0,0,0.00433,0.87951,0.58827,0,0.31647,0,0,0,0,1.50443,0,0,0.56959,0,0.03143,0.16344,0.50223,0.21805,0,0,0.17147,0,0,0,0,0,1.45377,0,0.00562,0.10432,0.11348,0,0.08938,0.97417,0.03678,0,0,0,0.1037,0,0.17906,0.0,0,0,0,0.44462,0.03583,0.69871,0,1.76868,0.35367,0,0,0,0,0,0.29489,0.24923
t__SGB15317,,1.92379,0,0,0,0,0,0,0,0.11804,0,0.59161,0,0,0.13841,0,5.65144,0,0.36813,0.55878,0,0,0,0,0,0,0,0,0,0,0,1.90301,4.33606,0,0.95287,0,0,0,0,4.25953,0,0,0.10661,0,0,0,0.60097,0,0,0,0.00216,0,0,0,0,0,0.26966,0,0,0,1.45408,0,0,0.17853,0,0,0,0,0,0,0,0.0,0,0,0.74395,0,0,0.16617,0,0.16471,0,0,0,0.8836,0,0,0,1.69501
t__SGB4993,,1.77483,0,0,0,0,0.13955,0,0,0,0,0.03101,0,0.15715,0,0,0,0.40976,0.30684,0.21678,0,0,0,0.04056,0.08122,0,0,0,0.62576,0,0.0196,1.58891,0.59052,0,0,0,0.09063,0.28256,0,0.63191,0,0.2317,0,0.01682,0.01807,0,0,0.24227,0,0.20172,0.08277,0,0,0,0,0.07833,0,0,0,0,1.42712,0.25281,0.02534,0,0,0,0.4936,0,0,0,0.20123,0.0,0,0.00785,4.25056,0,0.06197,0,0,0.07485,0.26803,0.03336,0,0,0.43841,0.00326,0.6026,0
t__SGB15342,,1.39223,0.39694,0,0,0,0.57407,0,2.74297,0.35118,0,0.03492,3.16933,8.63776,0.27969,0,1.66572,0.58279,0.03707,2.01029,0,1.31977,8.24328,0.61549,0.34288,0,0.4711,0.18505,3.95182,0.29796,4.61844,3.0242,10.23234,0,0.3827,4.83645,8.32175,0.41912,0,4.04207,0.39367,0.22103,1.90721,0.07918,1.28638,2.05843,1.2419,0.54857,0,2.86732,0.32013,0.48567,0,1.15784,0,2.2964,0.91381,0,3.53514,0.615,8.75767,5.88337,1.29501,0.33511,2.47696,0,0.20578,0,5.30874,1.46733,0.36474,0.0,2.49225,0.02931,14.31062,1.46557,0.98235,0.46103,0.09824,6.27675,0.68383,2.35369,1.08797,0.13949,4.50355,5.55553,0.26389,11.4567
t__SGB9283,,1.35758,0,0,0,0,0,0,0,1.32962,0,0.04443,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0.65289,0.73602,0,0,0,0,0.02919,0,0.87184,0.01196,1.41936,0,0,0,0,0.20105,0,0,0,0.03011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.11947,0,0,1.42889,0,0,0,0,0,0,0,0
t__SGB5082,,0.65193,0.31104,0.27198,0.32289,0,0.89243,0.43841,0,1.96065,0,0.1607,0,1.21538,0.28882,0,0,2.06758,0.00454,1.94924,0.06713,0.69141,0,0.91691,2.98748,0,0,0.36609,1.44561,10.52221,0.34763,1.3473,0,0,0.24496,0.31035,0.74287,0.66257,0.32441,2.21829,0,0.30292,0,0.09673,0.18151,0.31525,1.89496,1.21939,6.64467,0,1.00854,0.00942,0,0.27909,0,0.00273,0.41439,0,0,1.48566,0,0,1.07868,2.75129,0,0,1.2733,5.27909,0,0,2.32291,0.0,1.14933,0,0,2.23195,0.02898,1.13647,0.00475,0,3.33303,0.27753,0.07327,2.04157,0,0.60494,1.44095,0
t__SGB4714,,0.52856,0.02623,0,0,0,0,0,0.01883,0.23911,0,0,0,0.6787,0.09125,0,0,0.72967,0.84498,0.55896,0,0,0.02786,0,0.61284,0,0,0,0,0,0,0.31617,0.22321,0,0.0997,0,0,0,0,0.44008,0,0,0,0,0,0.10749,0.36294,0.84676,0,0,0.63875,0,0,0,0,0,0.09038,0,0.22274,0.57611,0.03467,0,0.31057,0.13714,0.05247,0,0.60672,0,0.15216,0,0.15746,0.0,0,0,0,0.29878,0.00945,0.17364,0,0.27136,0.54988,0,0,0.46393,0,0.08288,0.83612,0.1067
t__SGB15318,,0.51838,0.31435,4.39913,0.53567,0,0.78028,0,0.47488,0.16198,0.00493,0.77125,2.82425,5.25884,0.28582,1.43975,0,0.51395,0.22729,2.0971,5.83654,0.34007,2.86394,1.93731,0.5533,0.09877,0.04406,2.09162,0,10.26403,0.17514,0.61358,0.60224,0,3.05914,0.17527,2.7359,0.82971,0.54138,0.4384,6.93027,0.15938,0.60199,0.03911,0.22601,0.46978,3.53868,1.10334,0,0.15157,0.11851,0,0.50335,0,0,0,0.92384,0,2.75463,0.5655,0,0,2.67343,0.86199,1.58641,0,1.34799,0,1.58653,0.4722,2.32324,0.0,5.19612,0.13693,0,0.61727,0.42045,2.07929,0,0.58234,1.36106,0.84491,0,4.60338,0.27505,0,0.76965,0
t__SGB4925,,0.40054,0.19973,0,0,0,0.20135,5.61981,0,0.35518,0,1.80349,0,2.03829,0.04704,0,0,8.73623,0.58697,6.02053,0,0.60657,0,0.05939,8.40634,0,0,0,0,5.42627,0,2.29542,6.50892,0,19.87203,0,0,0.06933,0.153,0.517,0.00405,0,2.04889,0.49977,0,2.31681,3.5178,6.79793,0,0,10.2671,0,0,0,0,2.48621,0,0,0,14.53646,2.95753,0,3.9406,0,0,0,10.90747,7.10332,0,0,16.91969,0.0,0,0,4.14689,3.22342,0.29584,0,0,1.69802,22.77211,0,0,0.19743,0,2.16269,21.96229,0
t__SGB15078,,0.35373,0.2617,1.02131,0.29542,0,0.1074,0,0.18393,0.00359,0.96534,0.03505,2.45438,0.01193,0.07706,0.90565,0,0,0.41928,0.2424,1.96041,0.84545,0.34767,0.58965,0.17623,0,0,0.35662,0.05478,0,0.70138,1.02152,0.21651,0.33888,0.03301,1.3314,0.13452,3.40847,1.85245,0.48736,0.75318,0,0,0.50339,0.37542,0.04089,0.63855,0.07163,0,0,0.27405,1.97181,0,2.2848,0,0.38422,0.07113,0,0.37464,0.03223,0.15131,0,0.4387,0.1142,0.07258,0,0,0.47577,0.33412,0,0.24559,0.0,1.76229,0.40921,0,0.07212,0.06873,0.06957,1.24324,0.06168,0.29573,1.02679,0.86677,0.52168,0,0.11846,0.20327,0.06251
t__SGB14999,,0.22811,0,0,0,0,0,0,0.03756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11457,0,0,0,0,0,0,0,0,0.29463,0.12018,0,0,0,0,0.04855,0,0.24982,0,0,0,0.03281,0,0,0.05954,0,0,0,0.01863,0,0,0,0,0,0,0,0.02032,0,0.12559,0,0,0,0.00976,0,0,0,0.05957,0,0,0.0,0,0,0,0,0,0.04216,0,0,0.0029,0,0,0,0,0,0,0
t__SGB1857,,0.20931,0,0,0,0,0,0,0.76356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97783,0,0,0,0,0,0,0,0,0.09511,1.45824,0,0,0,0,0,0,0.37393,0,0,0,0,0,0,0,0,0,0,0.08856,0,0,0,0,0,2.10116,0,1.18284,0,0,0,0,1.33381,0.62472,0,0,0,0,0,0,0.0,0,0,0,0,0,0.7153,0,0.36956,0,0,0,0,0,0,0,0
t__SGB1812,,0.20581,0.25967,0,0,0,9.96858,0,0,0,0.01353,2.15488,0,0,0,0,0,0,0.01876,1.51252,0,0,0,0,0,0,0,0,0,0,0,0.74307,0.76169,0,0.75186,0,0,0,0,1.20334,0,0,0.96722,0.10254,0,0,0,0,0.16321,0,0.01438,0,0,0,0,0,0,18.19602,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1.5438,0.01578,0,0,0,0,9.68122,0.00421,0
t__SGB5825_group,,0.20108,0,0,0,0,0,0,0,0,1.07606,0,0,0.02206,0,0,0,0.66543,0.40921,1.82872,0,0,0,1.93795,0.09301,0,0,0,0.52682,0,0,0.38797,1.20463,0,0,0,0,0,0,0.77946,0.85993,0,0,0.11728,0,0.04364,0,0.12145,0.33287,1.17285,1.14292,0,0,0.02861,0.11283,0,0,0,0,1.31132,0.9145,1.58441,0.18541,0,0,0,0.50811,0,0.19692,0.40121,0.6181,0.0,0,0,1.0111,0.52335,0.70113,0.00362,0,0.95052,0.87198,0,0,0,0.05684,0.01553,2.57669,0.17845
t__SGB15286,,0.17227,0,0.12121,0.03941,0,0.20397,0,3.05418,0.05448,0,0.08504,0.16189,0,0.0424,0.12395,0,0.54876,0,0.71598,0.21204,0,5.24863,1.25364,0.09921,0,0.23429,0,0,0,0,0.11151,0,0,1.31027,0,0,0.05515,0,0,0,0.16364,0,0.02003,0,0,0,0.45229,0,0.09634,0.08661,0,0.34882,0.02377,0,0,0.01952,0,3.19241,0.70221,0.02052,0,0.31416,0.03437,0.49448,0,0.49418,0,0.02767,0,0.47481,0.0,0.99338,0,0.12122,0.05914,0.10228,0.05266,0,0,0.70263,0.05033,0,0.03438,0.08343,0,0.32713,0.1245
t__SGB17244_group,,0.16992,0,0,0,0,0,0,0,0,0,0,0,3.5324,0,0,0,12.29326,0.04726,7.33598,0,0,0,0.09203,1.92497,0,0,0,0,0,0,0.60424,0.0349,0,0,0,0,0,0,0.11763,0,0.78609,0,0,0,0.49118,0.36612,1.36204,0,0,0.824,0,0,0,0,0,0,0,0,3.87338,0,0,0.70233,0.01432,0,0,14.43622,0,0,0,1.75174,0.0,0,0,0,2.11058,0,0,0,0.13874,1.50795,0,0,0,0,0,3.98564,0
t__SGB5077,,0.15577,0.39755,0,0,0,0,0,0,0.83374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2213,0.00874,0,0.27498,0,0,0,0,0,0,0,0,1.90683,0,0,0.03906,0,0,3.34386,0,0,0,0,0,0,0,0,0.31106,0.69376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.1044,0,0,0,0,0,0.36476,0,0.57717,0,0.04974
t__SGB4581,,0.11356,0,0,0,0,0,0,0.15023,0,0.25843,0.12197,0,0.13678,0,0,1.70235,0.46158,0,0.20426,0,0,0.25675,0.15449,0.08641,0,0,0,0,0,0.01932,0.31923,0.0081,0,0.20382,0,0.10627,0,0,0.05531,0,0.07392,0.01267,0.06804,0.04879,0,4.21016,0.21649,0,0.53668,0.13637,0.00037,0,0.11322,0.29596,0.05078,0.0751,0,0.40563,0.15286,0.13732,1.02732,0.01504,0.01159,0.09357,0,1.00143,0,0,0,0.03699,0.0,0,0,0.25908,0.04218,0,0.09564,0.01434,0.03261,0.05312,0,0.01822,0,0.26112,0,0.22725,0.05206
t__SGB15346,,0.10354,0.03886,2.86153,2.05096,0,0,0,0,0.08076,0,0.41049,2.22167,4.19414,0.05142,0.43018,0.48365,0.79033,0.28449,0.76464,4.85539,0.19547,0,0,0.60922,0.00151,0,1.88464,0,22.71268,0.43783,0.31852,0.39522,0,0.43961,1.09488,3.50632,3.79649,0.16367,0.21677,0,0,0,0,0.28171,1.22735,1.90007,0.79299,0,0,0.38409,0,0.76257,0,0,0,0.82971,0,0,0.52754,4.14313,0,1.7508,0.6472,0,0,0.27482,0,0.5934,0,0.09673,0.0,7.14152,0.10745,0.32237,1.09075,0,0.36412,0,4.83158,0.59573,0.57413,0.20757,3.15371,0,0,0.27116,3.40338
t__SGB4749,,0.09958,0.01101,0,0,0,0,0,0.39079,0.07414,0.00071,0.56109,0,0,0,0,0,0,0.06922,0.03968,0,0,0.10922,0,0,0.07453,0,0.0604,0,0,0.79974,0.19738,0.02617,0,0.04087,0,0.45814,0.0905,0.34407,0.04322,0.03071,0,0,0.5314,0.31319,0,0.3065,0,0,0,0.11765,0.09005,0,0.34242,0,0.05321,0.00433,0,0.18845,0,0,0,0,0.04262,0.30112,0,0,0,0.0014,0,0,0.0,0,0.5049,0,0,0.0079,0.04361,0.15339,0.38866,0,0.12579,0.2018,0,0,0,0,0.01301
t__SGB4577,,0.09663,0,0,0,0,0.04315,0,0.1234,0,0,0.00584,0,0,0,0.02789,0,0,0.09579,0.02803,0.06293,0,0.22914,0,0,0,0,0,0,0,0,0.09098,0.01641,0,0.21241,0,0,0,0,0.03056,0,0,0,0.00619,0,0,0.55092,0,0,0,0.0916,0,0,0,0.24129,0.03285,0.02396,0,0.37166,0.10028,0.10022,0,0,0.01127,0.03569,0,0,0,0,0,0,0.0,0.02535,0,0,0.03924,0,0.0486,0,0.02664,0,0,0,0,0,0,0,0.12417
t__SGB4828,,0.08886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31498,0,0,0,0,0,0,0,0,0,0.00289,0,0,0,0,0.0908,0,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0,0.00729,0,0,0,0,0.05791,0,0,0.0,0,0,0,0,0,0.01308,0,0,0,0,0,0,0,0,0,0
t__SGB15350,,0.07642,0,0,0,0,0.01926,0,0,0,0.02918,0,0,0,0.01635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15102,0.01226,0,0,0,0,0.06944,0,0,0,0.30274,0,0,0,0.12474,0,0.01587,0,0,0,0,0,0,0,0,0.0055,0.1028,0,0,0,0,0,0,0.1625,0,0,0,0.39774,0.1382,0,0,0.0,0,0,0,0,0,0.13716,0,0,0,0,0,0,0,0,0,0
t__SGB9262,,0.07106,0,0,0,0,0,0,0,0,0,0.01598,0,0.16912,0.2401,0,0,0.40222,0.16751,0.44917,0,0,0,0.45141,0.22702,0,0,0,0,0,0.25854,0.17625,0.11074,0,0.26433,0,0.04631,0,0,0.21606,0,0,0,1.46819,0.09868,0.01564,0,0.38221,0,0,0.15321,1.11712,0,4.55304,0.96677,0.31945,0.07907,0,0,0.45522,0.11096,0,0.53146,0.13577,0,0,0.21905,0,0.03432,0,0.14989,0.0,0,0,0,0.08761,0.0252,0.17484,1.05172,0,0.56678,0,0.36089,0,0,0.19895,0.19302,0
t__SGB15315,,0.06906,0,0,0,0,0,0,0,0.12988,0,0.14458,0,0.78666,0,0,0.49846,0.5129,0,0.1699,0,0,0,0,0.47824,0,0,0,0,0,0,0.03835,0.21397,0,0.00207,0,0,0,0,0.1062,0,0,1.27794,0,0,0.6003,0.85234,1.43129,0,0,0.16585,0,0,0,0,0,3.10913,0,0,0.74126,1.84138,0,0.28474,2.08971,0,0,0.42917,0,0.07578,0,0,0.0,0,0,0,1.43084,0.02818,0.78671,0,0.47157,0.96222,0,0,0,0,0.85589,0.46536,0.8943
t__SGB4914,,0.06103,0.05785,0.32538,0.19328,0,0.42877,0,0.01804,0.20406,0,0.21593,0,0.70165,0,0,0,0.00362,0.10343,0.13023,0,0,0,0,0.36818,0,0,0.03072,0.9793,0.03154,0.30202,0.24767,0.06306,0,1.21677,0,0.06048,0.62294,0,0,0.21741,0.06314,0,0.09387,0.04676,0.48694,0.2924,0.13468,0,0.03052,0.00904,0,0,0,0.13397,0.5587,1.78479,0,0,0,0.00782,0,0.56346,2.79875,0,0,0.15816,0,0.03717,0,0,0.0,0,0,0,0.04628,0.15376,0.08052,0,0.12822,0.04741,0.11864,0,0,0,4.23462,0.19721,0.0197
t__SGB4262,,0.06061,0,0,0,0,0.91691,0,0,0.47967,0,0.27529,0,0.32844,0.28015,0,0,1.05033,0,1.22028,0,0,0,1.5197,4.74596,0,0,0.34458,0,0,0.04721,0.24288,0,0,0,0.37333,0.18441,0,0,0.00659,0.85839,0,0,0.21996,0.16666,0.41833,0,3.43633,0,0.02907,2.05164,0,0,0,0,0.11235,0.17765,0,0,7.50117,0.10881,0,1.17628,0.53825,0,0,0.66483,0,0,0,6.79703,0.0,0,0,0,0.8531,0.00521,0.27313,0,0.00132,1.57819,0.45123,0,0.0279,0.00769,0.42456,1.88185,0.38161
t__SGB4767,,0.04659,0.0578,0,0,0,0,0,0,0.22094,0.03538,0.06874,0,0.27079,0,0,0,0.008,0,0.02401,0,0,0,0,0.06699,0,0,0,0,0,0,0.07596,0,0,0.20672,0,0,0,0,0.01042,0,0,0,0.0055,0,0,0,0.10473,0,0,0.13033,0,0,0,0,0,0.02079,0,0,0.01715,0.07387,0,0.02942,0.14752,0,0,0.11128,0,0,0,0,0.0,0,0,0,0.03638,0.02149,0.04854,0,0,0.10946,0,0,0,0.00908,0.00645,0.22802,0.04265
t__SGB15326,,0.04492,0,0,0,0,0.41853,1.10799,0,0,0,0,0,19.71753,0.39884,0,0,3.3304,0.11186,1.22991,0,0,0,0,4.80575,0,0,0,0,0,0,0.17842,0,0,0,0,0,0,0,0.07795,0,0,0,0,0,4.25186,0,4.94457,0,0,2.72504,0,0,0,0,2.56793,1.7571,0,0,3.05109,0,0,5.9838,4.00426,0,0,1.01128,0,0,0,1.70651,0.0,0,0,0,3.7264,0,7.16102,0,0,1.62742,0,0,0,0,1.49043,2.05702,0
t__SGB14535_group,,0.04206,0,0,0,0,0,0,0,0.0467,0,0.0061,0,0.72733,0,0.08756,5.27958,1.00389,0.05898,0.36886,0.17653,0,0,0.00283,0.073,0,0,0,0,0,0,0.17852,0.012,0,0.21523,0,0,0.0285,0,0.0101,0,0.2354,0.02625,0.08167,0.0186,0,0.23124,0.34588,0.20563,0,0.06589,0.00753,0,0.266,0.03465,0,0.0083,0,0,0.41936,0.0679,0,0.1345,0.02248,0,0,0.32068,0.98315,0.11538,0,0,0.0,0.30287,0,0,0.07334,0,0.01913,0.02077,0,0.17676,0,0,0,0,0.00387,0.20421,0.03588
t__SGB17256,,0.03217,0,0,0,0,0,0,0,0,0,0,0,0.01218,0,0,8.36901,0.01344,0,0.50299,0,0,0,0,0,0,0,0,0,0,0,0.10561,0,0,0,0,0,0,0,0.00627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47376,0,0,0,0,0,0.01845,0,0,0,0,0,0,0,0.11222,0,0,0.0,0,0,0,0,0,0,0,0,0.01658,0,0,0,0,0,0,0.04515
t__SGB17247,,0.02804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4987,,0.02675,0,0,0,0,0,0,0,0,0.07281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29142,0,0,0.33522,0.01191,0,0,0,0,0,0,0.01492,0,0,0,0.2152,0,0,0,0,0,0,0,0.19439,0.44129,0.68556,0,0.01688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12466,0,0,0,0,0.00098,0.0253,0.23375,0,0,0.02363,0,0,0,0,0
t__SGB15159,,0.02492,0,0.08884,0.00388,0,0,0,0.27281,0,0.12945,0,0.34753,0,0,0.16011,0,0,0,0,0.95405,0,0.38478,0.256,0,0,0,0,0,0,0.10248,0,0,0,0,0,0.07175,0.39767,0.21475,0,0,0,0,0.71199,0.08694,0,0,0,0,0,0.10289,0.38888,1.13704,1.77515,0,0.42162,0,0,0.52084,0.01563,0,0,0,0,0.12528,0,0,0,0,0,0,0.0,1.29064,0.14926,0,0,0,0,0.49799,0,0,0,0.13201,0.04194,0,0.09859,0,0
t__SGB4269,,0.02389,0,0,0,0,0.04561,0,0.03132,0.04569,0,0.00886,0,0.02238,0.06837,0,0,0.29229,0,0.04544,0,0,0.05722,0,1.48898,0,0,0,0.17795,0,0.07848,0.11211,0,0,0.27196,0,0,0,0,0.01801,0,0,0,0,0.13681,0,0,0.50845,0,0,0.12872,0,0,0,0,0.00789,0,0,0.03578,0.15329,0.63898,0,0.04807,0,0.10016,0,0,0,0,0,0,0.0,0.05781,0,0,0.01991,0.03577,0,0,0,0.16517,0,0,0,0,0.00567,0.00887,0
t__SGB4705,,0.02161,0,0,0,0,0.07411,0,0,0.02473,0.39908,0.20052,0,0.03628,0,0,0,0.0641,0.03593,0.11879,0,0,0,0,0.14953,0,0,0,0,0,0,0.06568,0.04733,0,0.16529,0,0,0,0,0.00319,0,0,0.05446,0.0676,0,0,0.2572,0.21102,0,0,0.17368,0.10764,0,0.38045,0,0.02822,0.13956,0,0,0.26523,0.00628,0,0.08591,0.13864,0,0,0.17157,0,0.01785,0,0.05033,0.0,0,0,0,0.10992,0.07518,0.11289,0.05577,0.25953,0.20538,0,0.04751,0,0,0.01786,0.259,0
