Abundance,HSM6XRT2,HSM7CZ2L,ESM5GEZ3,HSM5MD59,HSM67VFX,MSM9VZMQ,HSM67VGA,HSM5MD6U,HSM7CYYZ,ESM5GEYU,HSM5MD8B,MSM79H94,MSM6J2M3,HSM67VGE,HSM67VDX,HSM5MD6O,HSM5MD8N,HSM6XRQC,CSM79HGR,HSM5MD6G,HSM7CZ2J,MSM6J2PQ,PSM6XBTZ,HSM5MD82,HSM67VG2,HSM5MD6S,HSM5MD6I,HSM67VGI,HSM5MD5D,HSM6XRTG,HSM5MD6K,PSM7J19X,HSM5MD8H,HSM67VDR,HSM5MD8D,HSM5MD5F,HSM6XRSZ,HSM6XRTE,HSM6XRSX,MSM79H52,HSM5MD5B,ESM5GEZ1,HSM7CYYV,HSM5MD8P,HSM6XRT4,MSM79H8J,CSM6J2H9,MSM6J2JF,HSM5MD57,MSM79HCN,HSM67VG6,HSM6XRTC,HSM6XRT6,ESM5ME9H,HSM67VDT,MSM9VZFJ,HSM5MD8L,HSM7CYYR,HSMA33J1,HSM5MD6E,HSM5MD8A,HSM5MD5Z,MSM6J2JH,HSM6XRTA,ESM5MEBP
t__SGB1934,2.58381,0.53828,0,0.6096,0.75117,0.17106,5.34997,1.98845,2.64069,0.06739,0.80798,1.47824,0.41118,1.73042,2.63901,13.14442,1.96872,0,0.8949,0.0,2.00039,0.09066,1.88396,0.90831,1.21015,0.99591,0,6.39726,2.91621,0.68418,0,0,0,2.74842,0.66037,0.62365,2.52897,1.50538,0.35764,3.97413,0.90656,0,0.98762,0.91023,3.29339,0.68629,0.63143,2.01175,1.42207,0,1.8049,1.03299,0.34405,0,2.28141,1.61922,0.5874,5.72279,0.02848,0,1.77557,3.58629,1.18402,0.44399,0
t__SGB2303,2.57142,1.12631,0,0.50574,1.43813,2.5657,3.53103,9.80425,0.75316,0,0.99429,0,0.58759,0.3341,2.39828,5.03383,3.11224,0,6.24528,0.0,5.19225,0,0.6499,3.22255,3.96594,2.43591,2.41141,3.53682,1.58145,0.91929,3.47599,0,0.2752,0,0.56652,0.49247,6.23387,4.13206,0.77436,0.43367,0.70249,0,1.99652,0.64782,6.88128,1.87422,1.22567,0.01885,3.14312,0,3.88776,1.24277,0.33193,0,2.49746,0,0.39529,4.00209,0.79739,0.00988,2.29857,6.57256,0.03182,0.90417,0
t__SGB4290,2.34395,0,2.45251,0,5.73049,0,0,0.00484,0,3.94306,0,0,0,0,0,0,0,0,0,0.0,0,20.22563,0,0,1.51952,0,0,0,0,0,0,0,0,0,0,0.03725,0.39387,0,0,0,0,3.54066,0,0,1.69398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00252
t__SGB15286,2.29392,1.24945,0,0.17777,0.85224,0.1817,0,0.03722,0.54591,0,0,0,0.4873,0.77936,0.09797,0.02344,0,0,0.01306,0.0,1.93411,12.15107,0.00909,0,0,0.06383,0.35732,0.90675,0.59614,0,1.73522,0,0.84149,0.02659,0,4.87222,1.01598,0,3.9999,0,0.34147,0,0.77064,0,0.55845,0.74049,0.06435,0.24544,1.23783,0.02665,1.14125,0,5.45259,0,0.24856,0.0412,0,0,0.10393,0.56535,0.09607,0,0.14018,0,0
t__SGB15342,1.85172,12.77029,24.26813,4.91875,3.94419,1.30967,7.15026,4.67465,4.99598,7.6353,5.99111,0.5071,1.25541,2.21877,0,1.3517,4.6678,0,0.06301,0.0,0.28044,0.14802,0.59171,16.80302,0.00774,11.01751,5.57654,3.40381,5.17168,13.55413,8.04964,0,7.78301,0.42953,14.95696,1.84223,3.04464,8.56282,3.74835,0.04474,3.89485,6.55519,9.91012,4.80237,0.53222,3.5003,4.39228,0.13479,1.65454,0.68651,0.06862,14.08871,2.21454,17.99764,1.58187,0.20895,9.12941,0.57469,7.6232,9.6633,0.01411,0.58822,0.31092,8.67166,18.18958
t__SGB15318,1.74508,3.66211,0,0.83435,5.43303,0.33987,0.92928,1.57321,0.56864,0,0.29829,0,1.20386,0.5725,0.05741,0.68511,0.33594,0,0.22184,0.0,0.06654,0.32887,0.82024,2.38224,0.13244,2.20894,2.69031,0.69656,3.02368,1.15837,3.76847,0,2.71523,3.75805,0.4261,3.7201,1.15853,0.8821,1.29785,0,2.45113,0,0.54637,0.5691,1.06122,0.71433,0.90855,1.7189,0.47664,0,2.78984,1.40665,1.35078,0.01881,0,2.73065,0.57917,0.27371,1.54111,4.74933,0.05229,0.09221,0.63541,0.26851,0
t__SGB2301,1.67344,1.0821,0,0.79672,1.12558,0,5.23311,1.26786,0.09412,0,0.27451,1.5936,0.1026,0.19044,0.94615,0.18533,0.85782,0,0,0.0,3.50768,0.02167,1.25752,0.23271,2.31198,0.04747,0.39604,0.62046,3.73305,0.14002,2.01422,0,0.41579,0,0.19614,0.43215,4.53068,1.17906,1.918,0.63488,0.59632,0,0.32134,0.205,4.69206,0.22883,0,2.12988,1.80906,0,1.77368,0.34648,1.6721,0,1.38832,0,0.13814,3.36138,0,0,0.15652,0.25458,0.29059,0.17637,0
t__SGB1871,1.6383,0.27541,0,1.11125,0.36148,0,0.39483,3.63131,0.20776,0,0.03939,0,0.7668,0.37176,1.14523,2.23975,0.16186,1.8152,0.20008,0.0,0.68676,0.00413,0.45798,0.05681,0.57041,3.197,6.2147,0.23957,0.92736,0.01415,6.16966,0,7.7009,3.16642,0.00429,0.58091,1.15188,0.07616,0.91376,0.6446,0.39835,0,0.05733,0.12309,1.59354,2.14822,0.02817,6.60367,1.39927,0,2.00944,0.00314,0.53102,0,2.72453,0.76613,0.02662,0.63162,0.9272,14.22716,5.06749,4.18366,0.21126,0.41002,0
t__SGB9224,1.58516,2.79579,0,0.77117,1.21845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.50916,0,0,0,4.1323,0,0,0,7.38854,0,0,0,0,0,0,6.01031,5.8224,0,5.52371,0,0.9649,0,0,0,9.47896,0,0,0,8.2701,0,8.74526,0,14.65777,0,0,0,0,0,0,0,0.33738,0,0.04238,0,0
t__SGB1862,1.48424,2.23425,0,1.45553,0.81728,2.36956,0,0.00366,0.15094,0,0,0.00286,1.13209,0.12728,0,0,0,0,0,0.0,1.28738,0.01943,2.38437,0,0.32618,0,0,0,0.61614,0,0,0,0,0.85263,0,0.37832,0.7549,0,0.61612,0,0.65602,0,0,0,1.38898,2.08139,0,0.01322,0.49466,0,0.58641,0,0.83412,0,0,0,0,0,0,0,1.68221,0,0,0,0
t__SGB10068,1.39491,0.82186,0.05766,0.11778,0.3176,0,0,0.02058,0.03747,0.80355,0.06719,0.06119,0,0.03723,0.27458,0,0,0.36925,0,0.0,2.65433,0,0,0.29407,4.34301,0.03001,0,0.02862,0.0012,0,0,0.79854,0,0,0,8.01917,0.16577,0,2.51227,0,0.14605,0.41703,0,0,7.72721,0,0,0.34563,3.5402,0,0.64397,0,5.8084,0.00562,0.03043,0.06111,0,0,0,0,0.62756,0,0,0.04024,0.04495
t__SGB4933,1.31124,2.44158,5.78836,1.75273,1.74825,1.39343,0,0.31836,0.64012,5.08808,0,0,2.51815,0.35006,4.82613,0.37088,0,2.69708,0.37526,0.0,0.59607,0.78056,2.59385,0,0.01283,1.69165,3.88651,0,1.72303,0,3.44537,0,19.62577,1.2959,0,7.04977,0.90622,0.01223,2.08463,0.91859,1.96928,7.52083,0,0,0.27829,0.76853,1.23957,1.94012,0.45909,0.04218,1.04128,0,1.3103,2.09605,1.2579,1.74423,0,0,0.86511,2.87966,4.58003,0,0.86482,0,11.24251
t__SGB4993,1.28318,0.16942,0.46426,0.64446,0.67483,0.08966,0.12461,1.52185,2.69403,0.41674,0.02398,0,0.36496,1.51131,0.01592,0.02468,0.24081,0,0.08924,0.0,0,10.64183,0.03881,0.4903,0,0.14044,0.826,0,2.5937,0.1609,0.74249,0,0.7198,0.15008,0,0.27107,0.03342,0.50518,1.63653,0,2.26239,0.94248,1.46825,0.04117,0.03677,0.4486,0.78685,0.00752,0.91219,0,0.21101,0.20501,0.88165,0.18471,0.01184,0.16693,0.04157,0.01307,0.55532,2.01912,0.03247,0,0.12522,0.24362,0.0129
t__SGB5825_group,1.16244,0,0.41578,1.14962,0,0,3.04411,1.68945,15.05474,2.57973,6.40622,0.50841,0.12951,36.96073,0,0.53968,2.13471,0,0,0.0,0,0,0.22461,6.7146,0,0.46111,0,4.62488,1.0369,0.34708,0.08676,0,0.20942,0.12801,1.67701,4.39312,0.61339,8.31378,4.0434,0,1.42256,2.9308,3.72327,4.02175,0.73125,0.07267,0,0.45446,2.11314,1.73641,0,11.68563,0.92359,0.61638,0.44633,0,0.91561,1.9861,0,0.00869,0.53663,0.40796,0,16.95361,1.43206
t__SGB4328,1.09071,8.42903,0,10.09483,17.93046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04243,0.0,8.08747,0,0,0,0,0,0,0,4.23549,0,0,0,0,0,0,12.45944,0.70878,0,4.57333,0,7.25979,0,0,0,0,0,0,0,8.57261,0,0.4556,0,1.04067,0,0,0,0,0,0,0,0.1032,0,3.14592,0,0
t__SGB4925,0.94732,0.53355,10.13784,16.61735,5.04379,0.65217,0.49639,0.71186,0.42922,2.95024,0.29613,0,5.42274,0.90898,0.33544,0.12335,0.76192,0,0.20725,0.0,0.41843,2.2964,0.04257,0,0,1.7001,0,1.36875,0.55219,0.27625,0,0,0,0,0.62821,0.63692,0,0.3693,2.54506,0,9.96388,14.17257,9.72602,0.09555,0.35434,21.40305,4.74321,0.12196,0.82641,0.01,0.27052,0,0.04906,2.51052,0.12551,1.12908,5.27537,0,0.12585,0,3.07757,0,0.79849,0,6.61505
t__SGB15452,0.92922,0.57628,0,0.29632,0.97857,0.03121,0.38283,0,0.44137,0,0.24499,0.09353,0,1.66309,0.10961,0,0.07221,0,0.01732,0.0,1.45582,0.02972,0.13553,0.14347,0.11448,0,0.22446,0.36344,0.56426,0.10774,0.57584,0,0.035,0,0.13422,1.89483,0.37943,0.54076,1.47658,0,0.11593,0,0.1855,0.14509,0.57588,0.26008,0.09353,0,1.05282,0,0.14771,0.58422,3.90432,0,0,0,0.04019,0.07833,0.21708,0,0.34076,0,0,0.36921,0
t__SGB15333,0.78195,8.56104,0,7.47662,8.85668,0,0,0.00456,0,0,0,0,0.27823,0,0.80266,0,0,0,0,0.0,0.24796,0,0,0,0.02267,0,0,0,8.33169,0,0,0,0,0,0,5.20405,1.20837,0,2.1758,0,9.26743,0,0,0,0.41852,0,0,0,1.78933,0,5.18689,0,3.33098,0,0,0,0,0,0,0,0.02899,0,0.09075,0,0
t__SGB1830,0.74343,0.62354,0,0.70211,0.61267,3.20364,0.05919,7.68332,1.62837,0.00745,0.59521,0,1.4709,1.4134,8.96885,11.6994,0.46318,7.42052,0,0.0,1.77111,0.38901,12.84602,2.19106,1.18466,6.36582,34.97813,2.07716,0.33615,0.2599,24.11934,0,12.57699,4.53307,0.07787,0.24781,0.84781,0.66644,1.13635,0,0.69089,0,0.2116,0.7155,0.18414,0.02506,8.72843,0.13045,0.88928,0,3.85826,0.029,0.06927,0,29.83962,0.19917,0.12109,0.25636,6.38095,25.99687,0.59281,27.59508,0,0.39524,0
t__SGB9297,0.58267,0.9386,0,0,0.94906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.26025,0,0,0,0.03456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19049,0,0,0,0,0,0.38372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1861,0.56344,0.25709,0,0.25899,0.18974,3.22819,5.15837,0.03997,0.32256,0,1.25243,4.39734,0.4431,0.79202,0.96051,0,6.2376,0.89207,3.44532,0.0,0.25702,0.04074,0,3.76155,0.06629,0,0,2.96139,0.40041,1.37771,0,0,0,0,0.56148,0.13817,0.7634,2.39073,0.30081,0.0364,0.21211,0,0.92569,0.69242,0.99066,0.00834,0.21673,2.51053,0.24568,7.46707,0.20636,1.98289,0.23993,0,0.35852,0.80935,0.6406,8.18811,0.59332,0,0.93399,0,0.33295,0.75778,0.03342
t__SGB14861,0.51713,0.02714,0,0.11626,0.13257,0,0,0,0,0,0,0,0.13533,0,0.12448,0,0,0,0.0088,0.0,0.6156,0.58749,0,0,0.13406,0,0.03397,0,0.18486,0,0.02686,0,0.01896,1.09024,0,0.1661,0.17895,0,0.12916,0,0.10887,0,0,0,0.08456,0.00124,0,0,0.38738,0,0.30288,0,1.13863,0,0,0.01349,0,0,0.01178,0.59054,0.11062,0,0.00481,0,0
t__SGB4705,0.51021,0.16542,0,0.22878,0.4106,0,0.01921,0.08414,1.24694,0,0.09999,0,0.02292,0.48852,0.03961,0,0.02931,0,0.03984,0.0,0.61239,0.13612,0.0421,0.07376,0.01353,0.06959,0.23362,0.13022,0.93668,0.02091,0.13429,0,0.09294,0.15098,0.02491,0.72432,0.21265,0.11456,0.72644,0,0.13216,0,0.05888,0.02179,0.06785,0.68571,0.10927,0.11242,0.60419,0.03782,0.08834,0.01171,1.12255,0,0,0.55183,0.00617,0,0.36385,0.21125,0,0,0.09011,0.22872,0
t__SGB15132,0.40455,0.10673,1.63089,0.11929,0.41996,0.00917,0,0.25224,0,1.70328,0.09243,0.19246,0,0.02954,0.21118,0.07059,0.09257,0,0,0.0,0.43301,0,0,0.10626,0.20606,0.07419,0.31226,0,0.51502,0.01683,0.32441,5.68409,0,0,0,0.09751,0.59021,0.26739,0.40688,0.10498,0.0644,1.08873,0,0.00802,0.11598,0.004,0.05431,0.69535,0.5848,0,0.38122,0,0.04398,0.36272,0.06528,0.09151,0,0.02375,0.34183,0.15281,0.10649,0,0,0.23059,0
t__SGB17256,0.39757,0.29806,0,0.00177,0.19662,0,0.41054,0,0.21145,0,1.5396,0,0,0.36663,0,0,0.03416,0,0,0.0,0.00254,0.09114,0.01217,0.27903,0.0376,0,0,0,0.03454,0.04488,0,0,0,0.06886,0.1492,0.58334,0.02193,0.82355,0.21157,0,0.05372,0,0,0.04,0.1222,0,0,0.36367,0.03399,0,0.02907,0.26071,1.48453,0,0,0,0.00985,0,0,0,0,0,0,0.41047,0
t__SGB15089,0.37717,0.08502,0,0.1145,0.17822,0.0112,0.19824,0.30013,0.06658,0,0.22914,0,0.01496,0.05414,0,0,0.06461,0,0.00353,0.0,0.61489,0,0,0.26822,0.19742,0.03827,0.00759,0.10701,0.65287,0,0.00468,0,0,0,0,0.34,1.55149,0.168,0.91215,0,0.24545,0,0.55293,0,1.41065,0.19635,0.04066,0,0.70992,0,0.543,0.13416,0.15116,0,0.03902,0.08293,0.06369,0,0.14889,0.00817,0,0,0,0.05914,0
t__SGB15053,0.35878,0.61958,0,0.25529,0.36711,0.42964,0,0.52309,0,0,0,0,0.56322,0,0,0.19798,0,0,0.79617,0.0,0.81734,0.01321,0.42958,0,0.29625,0.24298,0.16755,0,1.12196,0,0.38473,0,0.09942,0.49654,0,0.05509,0.59789,0,0.18643,0,0.1439,0,0,0,0.37785,0,0,0.01505,0.60094,0.37867,0,0,0,0,0,0.49811,0,0,2.34529,0.63904,0,0,0.64149,0,0
t__SGB5045,0.35154,0.43562,0,0.54652,0.44448,0,0.12779,0,0.00662,0,0.27049,0,0,0.45574,0,0,0.14045,0,0,0.0,0.04245,0.23809,0,0.03455,0,0,0,0,1.73831,0.01926,0,0,0,0.01655,0.00355,2.76759,0.70946,0.13899,0.61671,0,0.70762,0,0,0.06071,0.0402,0.08966,0.42686,0,0.81002,0.07399,0.59294,0.33482,0.26629,0,0.38718,0.24295,0.07205,0.02815,0.30738,0,1.8059,0,0.0216,0.27399,0
t__SGB1912,0.26719,0,0,0,0,0,0,20.97595,0,0,0,0,0,0,0,28.75154,0,0,0,0.0,0,0,0,0,0,39.32994,0,0,0,0,0,0,0,0,0,0,0,0.02729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.38777,0,0,0
t__SGB4874,0.2233,0.04409,0.0543,0.02061,0.1121,0,0.43274,0.23094,0.29459,0.07158,0.52636,0,0.1231,0.9378,0.0771,0.00464,0.1901,0,0,0.0,0.26292,0.27161,0.20988,0.2827,0,0.06032,0.29073,0,0.16713,0.00603,0.67126,0,0.69096,0.11349,0.01692,0.64502,0.27462,0.66649,0.17743,0.31137,0.02207,0.04385,0.06092,0.21917,0.10531,0.25623,0.33482,0.30825,0.14221,0,0.084,0.03648,0.85512,0.14777,0,0.22048,0.06192,0,0.18851,0.19126,0,0,0,0.68525,0.02425
t__SGB15158,0.21563,0.16901,0,0.01481,0.14507,0,0.40639,0,0.09035,0,0.30141,0,0,0.01255,0,0,0.17484,0,0,0.0,0.17872,0,0.03496,0,0.08979,0,0,0,0.23226,0.15386,0,0,0,0,0.03734,0.08832,0.49804,0.58255,0.76184,0,0.03821,0,0,0.02645,0,0.25255,0,0.25564,0.50537,0,0.37867,0,0,0,0,0.26457,0.06557,0.05793,0,0,0.35376,0,0,0.12071,0
t__SGB4262,0.19744,1.18164,1.27417,1.78542,1.01182,0.02486,0,0.07675,0.0093,0.14393,0,0,0.15519,0,0,0.09252,0,0,0.39362,0.0,0.0369,1.07647,0.23272,0,0.06176,0.00961,0.07711,0,1.13987,0,0.0651,0,2.01377,0,0,0.28642,1.22591,0,1.71933,0.19947,4.79248,1.60483,0,0,0.21895,2.15742,0.85173,0,1.4135,0,0.08992,0,0.26174,0.25103,0,0.3304,0,0,5.30418,1.69664,0.0142,0,0.49159,0,0
t__SGB1626,0.18686,0,0,0,0,0,0.7483,0.287,32.41944,0,54.06859,0.18079,0,18.47718,0,0,15.87456,0,0,0.0,0,0,0,26.0053,0,0,0,33.97062,0,63.01305,0,0,0,0,64.78583,0,0,12.77149,0,0,0,0,44.71523,63.64997,0,0.1526,0,1.36564,0,0,0,40.41351,0,0,0,0.00993,68.7823,35.84435,0.59953,0.17997,0,0,43.2488,13.64428,0
t__SGB4532,0.18327,0.04217,0,0,0.04817,0,0,0.14051,0,0,0.04568,0,0,0.18528,0.23666,0,0.01949,0,0,0.0,0.00899,1.15582,0.03948,0.3117,0,0.01082,0.12137,0,0.06345,0,0.0692,0,0.07912,0.00752,0,0.14808,0,0.07247,0.10275,0,0,0,0,0.00979,0.02095,0.07616,0.00694,0.07655,0.06183,0,0.04052,0.02445,1.61722,0,0.0012,0.04256,0,0,0.05349,0.00481,0.02959,0,0,0.27659,0
t__SGB2318,0.17956,1.83026,0,0,0,8.69294,5.6119,6.8207,5.06621,0,2.60462,3.8726,1.56278,1.49279,3.92604,4.40035,6.40714,0,2.57315,0.0,3.37126,0.1882,4.50026,4.71103,3.61284,4.02568,0,5.91522,0,2.67328,0,0,0,2.347,1.40792,0,0,5.24376,0,4.20417,0,0,2.40453,3.03268,0,5.58144,5.29618,0.06827,0,7.25603,3.74273,2.95355,0,0,8.39835,8.28492,1.58214,2.82325,4.39689,0,0.06774,5.86438,0.66113,2.65743,0
t__SGB15265,0.16278,0.07637,0,0.03672,0.14808,0,0.11674,0,0,0,0.04735,0,0,0.08826,0,0,0.09473,0,0,0.0,0.17659,0,0,0.0743,0.02389,0,0,0,0.21843,0,0,0,0,0.00848,0,0.08032,0.57013,0.08024,0.16312,0,0.02728,0,0.23189,0,0.54291,0,0.67278,0,0.06905,0,0.15768,0,0,0,0,0,0.05242,0.35376,0,0,0.11858,0,0,0,0
t__SGB15346,0.15859,1.02605,0,1.4954,0.63059,0.51467,0,0,0.03032,0,0,0,1.9072,0.08446,0,0,0,0,0.46793,0.0,0,0.09142,0.06837,0,0,0,0,0,0.25978,0,0,0,0,0,0,0.19328,0.23678,0,0.18454,0,0.76845,0,0,0,0.13859,0,0.83638,0,0.11398,0.72335,0.17999,0,0.02889,0.00572,0,0,0,0,1.91891,0,0,0,0.88911,0,0
t__SGB4547,0.15394,0,0,0,0.10079,0,0,0,0,0,0,0,0.02746,0,2.45438,0,0,0,0,0.0,0,2.92067,0.05915,0,0.15564,0,0,0,0.005,0,0,0,0.155,0,0,0.05528,0.00359,0,0.07814,0.04314,0.05011,0,0,0,0.03076,0,0,0,0.11524,0,0,0,2.24359,0,0,0.00322,0,0,0.00803,0,0,0,0,0,0
t__SGB14535_group,0.15163,0,0,0.03606,0.0427,0,0.05216,0,0.02727,0,0.01227,0,0.0324,0.45618,0.51573,0,0.00429,0,0,0.0,0.08345,0.0606,0,0.16961,0.02648,0,0,0,0.12905,0,0,0,0,0.02565,0,0.33844,0.20451,0.04787,0.31515,0,0.01979,0,0,0.01311,0.30043,0.05889,0,0.271,0.10241,0,0.42793,0,1.31272,0,0.0428,0.00555,0,0,0,0,0.67732,0,0,0.01535,0
t__SGB14853,0.14474,0.10963,0.20721,0.02465,0.30576,0,0.8556,0.13603,1.30702,0.21155,0.34583,0,0,0.03986,0.54481,0,0.64021,0,0,0.0,0.45468,0.03235,0,2.02676,0.01098,0.28984,0.22651,0.92823,1.95575,0.63594,0.14811,0,0.17184,0,0.0959,0.31079,0.09307,4.09589,0.24733,0.30561,0.08969,0.04861,0.14963,1.85561,0.00459,0.02554,0.25875,0.13752,1.0773,0,0.4604,0,0.40231,0.04461,0.15681,0.00731,0.0815,0,0,0.44288,0.8654,0,0,1.68203,0
t__SGB4644,0.14381,0,0.12298,0.14813,0.83657,0.22598,0,0.10779,0,0.44134,0,0,0,0,0.07009,0,0,0,0.18261,0.0,0,0.16303,0.00476,0,0,0.0217,0.14977,0,0.16271,0,0.82197,0,0.09475,0.13865,0,0.05564,0.03568,0,0.15975,0.08198,0.66372,0.4324,0,0,0.08667,0,0.85089,0,0.03149,0.21131,0,0,0.24625,0.99752,0,0,0,0,0,2.37759,1.069,0,0,0,0
t__SGB4587,0.14359,0.1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.80893,0,0,0,0,0,0,0,0,0,0,0.36645,0.45557,0,0.04543,0,0,0,0,0,0.30906,0,0,0,0.0536,0,0.31538,0,0.06921,0,0,0,0,0,0,0,0.38148,0,0,0,0
t__SGB15078,0.13512,0.15266,0.05795,0.31927,0.63754,0,0.8298,0.17363,0.06585,0.00686,0.478,0.05168,0.00226,0.06551,0.26761,0.01191,0.37359,0,0.00272,0.0,0.43671,0,0.13408,0.25268,0.16086,0.17283,0.18611,0.17985,0.09572,0.24406,0.11017,0,0,0,0.16083,0.22086,0.61527,1.21347,0.37279,0.08753,0.04092,0,0.19817,0.08583,0.00489,0.23143,0.15235,1.20879,0.65323,0.01226,0.38314,0.10812,0.15746,0.05269,0.12055,0.16082,0.11396,0.08235,0.74092,0.1269,0.16836,0,0.00549,0.30668,0
t__SGB4577,0.1318,0.07497,0,0.05837,0.06802,0,0,0.03196,0,0,0,0,0.06519,0,1.10027,0,0,0,0.00694,0.0,0.07023,0.1166,0.01331,0,0,0.00216,0.02347,0,0.02862,0,0.06092,0,0,0.06644,0,0.29397,0.18683,0,0.1485,0,0.04197,0,0,0,0.25951,0.06568,0,0,0.0488,0,0.21746,0,0.41538,0,0,0.07082,0,0,0,0,0.25156,0,0,0,0
t__SGB5857,0.12538,0.48949,0,0.23161,0.18721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13364,0,0,0,0.00627,0,0,0,1.03683,0,0,0,0,0,0,0.37422,0.27428,0,1.12443,0,0.14986,0,0,0,0.08694,0,0,0,0.37664,0,0.51671,0,0.75402,0,0.07547,0,0,0,0,0,0.41942,0,0,0,0
t__SGB5089,0.11895,0,0.03875,0.05231,0,0,0,0.00353,0,0.01838,0,0.02132,1.22047,0,0.01872,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0.22404,0.02423,0,0.07771,0,0.0454,0.01355,0,0,0,1.19149,0.0252,0.13953,0.01647,0.19757,0,0,0.22144,0.66312,0,0,0,0,0.32877,0,0,0,0.06723,0,0.5104
t__SGB4269,0.11552,0,0.05644,0.07012,0.0625,0.00291,0,0.00078,0,0.00517,0,0,0.09567,0.06048,0,0.007,0,0,0.01833,0.0,0,0.01116,0,0,0,0.00979,0.17766,0,0.03097,0,0.02283,0,0.55705,0,0,0.01732,0,0.10023,0.06272,0,0.1096,0.13288,0,0,0.09577,0.03491,0.58328,0.0663,0.03887,0,0.00969,0,0.05609,0,0,0.36178,0,0,0,0.35754,0,0,0.02303,0.0971,0
t__SGB15216,0.11402,0.28313,0,0,0.10845,0,0,0,0,0,0,0,0.00974,0,0,0,0.04751,0,0,0.0,0.11022,0,0.04262,0,0.52741,0,0.01214,0,0.25602,0,0.01281,0,0,0,0,0.03492,0.38392,0.11392,0.19651,0.149,0,0,0,0,0.2454,0.05327,0.01238,0,0.38246,0.01785,0.29797,0,0.10017,0,0.00296,0,0,0,0.32917,0,0,0,0.0808,0.00992,0
t__SGB4837,0.10627,0.01805,0.02749,0.00602,0.01818,0,0,0.11943,0.068,0.24598,0.0725,0.0085,0.0397,0.49205,0.0406,0,0.05124,0,0,0.0,0.00965,3.10227,0,0.27264,0,0.02171,0.13988,0,0.00893,0.00308,0.40623,0,3.04998,0.03887,0,0.06509,0.0197,0.13772,0.11379,0.04888,0.01713,0.0428,0,0.27833,0.07456,0.05277,0.0475,0.51581,0.02616,0,0.64423,0,0.33158,0.06064,0.16213,0.06183,0,0,0.03454,0.01701,0,0,0,0.12775,1.71064
t__SGB4749,0.10305,0,0,0.21418,0.07233,0,0,0.06124,0,0,0,0,0.00548,0.00284,0.01195,0,0,0,0,0.0,0.02837,0.02459,0,0,0,0.01367,0.20846,0,0.03657,0,0.20317,0,0.08222,0.00129,0,0.1764,0,0,0.22429,0,0.21063,0,0,0,0.12772,0.23046,0.05841,0.08746,0.08751,0,0.04778,0,0.38292,0,0,0.18982,0,0,0,0.24225,0,0,0.03946,0,0
t__SGB15271,0.09398,0.02965,0,0.02961,0.05363,0,0.05639,0,0.11217,0,0.10016,0.0023,0,0.01233,0.91687,0,0.00252,0,0,0.0,0.4007,0.21502,0,0.11181,0.06531,0,0,0,0.24471,0,0,2.59462,0,0,0,0.28851,0.08114,0.32718,0.53373,1.08688,0.02369,0,0,0,0.02425,0.17011,0,0.72101,0.24414,0,0.24438,0,0.70522,0.02432,0.08284,0.03748,0,0,0.27434,0,1.75549,0,0,0.3056,0
t__SGB4938,0.09054,0,0.18263,0.04622,0.33635,0,0,0,0,0.02305,0.0246,0,0,0.02069,0,0,0.06521,0,1.77175,0.0,0.01335,0.06628,0,0.37253,0,0,0.01776,0,0,0.01226,0,0,0,0,0.00476,0,0,0,0,0,0.03723,0.26201,0.0992,0,0.0032,0,0,0,0,0,1.95366,0,0,0,0,0,0.05325,0.1291,0,0.00203,0,0,0.02468,0,0
t__SGB17237,0.08482,0.1416,0,0,0.02194,0,0,0,0,0,0,0,0,0.01691,4.04451,0,0,0,0,0.0,0.16064,0,0,0,0,0,0,0,0.26823,0,0,0,0,0,0,0.24205,0.82263,0,0.29167,0,0.06857,0,0,0,0,0,0,0,0.17987,0,0.09399,0,3.49627,0,0,0.02297,0,0,0,0,0.09696,0,0,0,0
t__SGB4581,0.08394,0.6953,0,0.11178,0.23507,0,0.04143,0.05814,0.05822,0,0.1054,0,0,0.54025,0.94461,0,0.01968,0,0,0.0,0,0.55291,0,0.06887,0,0.11829,0.08633,0,0.1735,0,0.19915,0,1.1461,0.00343,0,0.71204,0.12662,0.1554,0.36432,0,0.05899,0,0,0.0631,0.33668,0.07912,0.04835,0,0.29791,0,0.72149,0.02014,0.59999,0,0.06191,0,0.01543,0.02887,0.0825,0.0273,0.04623,0,0,0.10849,0
t__SGB4425_group,0.08101,0.06266,0,0,0.30271,0,0,0,0.01326,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0551,0,0.02306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02436,0,0.12923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18414,0,0
